angela,アンゲラ
merkel,メルケル
martin,マルティン
schulz,シュルツ
franz,フランツ
mehring,メーリング
luise,ルイーゼ
rainer,ライナー
roman,ローマン
neustädter,ノイシュテッター
klaus,クラウス
ernst,エルンスト
paul,パウル
deussen,ドイセン
konrad,コンラート
adenauer,アデナウアー
emre,エムレ
can,ジャン
james,ジェームス
krüss,クリュス
franzl,フランツル
lang,ラング
von,フォン
stuck,シュトゥック
bernhard,ベルンハルト
langer,ランガー
rudolf,ルドルフ
kriß,クリス
bonhof,ボンホフ
albert,アルベルト
einstein,アインシュタイン
robert,ロベルト
harting,ハルティング
andreas,アンドレアス
eschbach,エシュバッハ
fritz,フリッツ
gerhard,ゲルハルト
schröder,シュレーダー
katja,カーチャ
ebstein,エプシュタイン
joachim,ヨアヒム
gauck,ガウク
christian,クリスティアン
wulff,ヴルフ
karl,カール
albrecht,アルブレヒト
sepp,ゼップ
maier,マイヤー
max,マックス
klinger,クリンガー
jürgen,ユルゲン
grabowski,グラボウスキ
helmut,ヘルムート
kohl,コール
patrick,パトリック
ebert,エーベルト
silvio,シルビオ
gesell,ゲゼル
ludwig,ルートヴィヒ
erhard,エアハルト
christoph,クリストフ
schlingensief,シュリンゲンズィーフ
meisner,マイスナー
gonzalo,ゴンサロ
castro,カストロ
ferdinand,フェルディナント
tönnies,テンニース
marc,マルク
forster,フォルスター
ulrike,ウルリケ
nassemeyfarth,マイフェルト
dirk,ディルク
nowitzki,ノヴィツキー
hanna,ハンナ
schygulla,シグラ
hans,ハンス
wilsdorf,ウィルスドルフ
bayern,バイエルン
zedd,ゼッド
peter,ペーター
sloterdijk,スローターダイク
thomas,トーマス
kraft,クラフト
mößbauer,メスバウアー
valentin,ヴァレンティン
kurt,クルト
georg,ゲオルク
kiesinger,キージンガー
bernd,ベルント
hölzenbein,ヘルツェンバイン
schmidt,シュミット
eugen,オイゲン
roth,ロート
rupert,ルーペルト
mayer,マイヤー
tom,トム
wlaschiha,ヴラシア
walter,ヴァルター
trixi,トリクシー
worrack,ヴォラク
hartwig,ハルトヴィヒ
reinhold,ラインホルト
schünzel,シュンツェル
carl,カール
orff,オルフ
werner,ヴェルナー
herzog,ヘルツォーク
horst,ホルスト
köhler,ケーラー
johannes,ヨハネス
rau,ラウ
stefan,シュテファン
bötticher,ベティヒャー
manfred,マンフレート
wolf,ヴォルフ
xaver,クサーヴァー
schwarz,シュヴァルツ
bloch,ブロッホ
günter,ギュンター
netzer,ネッツァー
bastian,バスティアン
schweinsteiger,シュヴァインシュタイガー
uli,ウリ
hoeneß,ヘーネス
schuster,シュスター
richard,リヒャルト
weizsäcker,ヴァイツゼッカー
scheel,シェール
carstens,カルステンス
reinhard,ラインハルト
baumeister,バウマイスター
björn,ビョルン
lindemann,リンデマン
birol,ビロル
ünel,ユーネル
lothar,ロタール
matthäus,マテウス
hermann,ヘルマン
