ana,アナ
de,デ
la,ラ
reguera,レゲラ
juventud,フベントゥ
guerrera,ゲレーラ
fray,フライ
tormenta,トルメンタ
lucas,ルーカス
barrios,バリオス
carlos,カルロス
fuentes,フエンテス
pablo,パブロ
barrera,バレラ
omar,オマール
bravo,ブラボ
gerardo,ヘラルド
torrado,トラード
porfirio,ポルフィリオ
díaz,ディアス
ángel,アンヘル
zárraga,サラガ
stephen,スティーブン
austin,オースティン
pedro,ペドロ
lascuráin,ラスクライン
manuel,マヌエル
ávila,アビラ
camacho,カマーチョ
vicente,ビセンテ
guerrero,ゲレーロ
gustavo,グスタボ
ordaz,オルダス
salinas,サリナス
gortari,ゴルタリ
kuno,クノ
becker,ベッカー
tania,タニア
libertad,リベルタ
francisco,フランシスコ
león,レオン
barra,バーラ
lorenzo,ロレンソ
barcelata,バルセラータ
ramón,ラモン
vargas,バルガス
carvajal,カルバハル
frida,フリーダ
kahlo,カーロ
cara,カーラ
buono,ブオノ
héctor,エクトル
rebaque,レバーク
paul,パウル
aguilar,アギラール
efraín,エフライン
juárez,フアレス
egidio,エヒディオ
arévalo,アレバロ
ríos,リオス
pável,パベル
pardo,パルド
martín,マルティン
luis,ルイス
guzmán,グスマン
dr,ドクトル
atl,アトル
lupe,ルペ
vélez,ベレス
ricardo,リカルド
osorio,オソリオ
david,ダビド
alfaro,アルファロ
siqueiros,シケイロス
silvestre,シルベストレ
revueltas,レブエルタス
josé,ホセ
clemente,クレメンテ
orozco,オロスコ
abraham,アブラハム
nicolás,ニコラス
nezahualcóyotl,ネサワルコヨトル
laboriel,ラボリエル
bora,ボラ
milutinović,ミルティノビッチ
místico,カリスティコ
andrés,アンドレス
lópez,ロペス
obrador,オブラドール
katy,ケティ
jurado,フラド
dominika,ドミニカ
paleta,パレタ
rosario,ロサリオ
castellanos,カステリャノス
elena,エレナ
poniatowska,ポニアトウスカ
antonio,アントニオ
carbajal,カルバハル
guadalupe,グアダルーペ
victoria,ビクトリア
diego,ディエゴ
luna,ルナ
venustiano,ベヌスティアーノ
carranza,カランサ
jared,ハレド
borgetti,ボルヘッティ
moreno,モレノ
jorge,ホルヘ
campos,カンポス
plutarco,プルタルコ
elías,エリアス
calles,カリェス
portillo,ポルティージョ
miguel,ミゲル
bernal,ベルナル
jiménez,ヒメネス
adolfo,アドルフォ
bautista,バウティスタ
armendáriz,アルメンダリス
gerónimo,ヘロニモ
anahí,アナイ
alexander,アレクサンダー
salkind,サルキンド
leonardo,レオナルド
márquez,マルケス
donaldo,ドナルド
colosio,コロシオ
margo,マルゴ
glantz,グランツ
slim,スリム
thalía,タリア
rivera,リベラ
reygadas,レイガダス
gloria,グロリア
trevi,トレビ
bernardo,ベルナルド
segura,セグラ
israel,イスラエル
castro,カストロ
lila,リラ
downs,ダウンズ
guillermo,ギジェルモ
franco,フランコ
guardado,グアルダード
mario,マリオ
molina,モリーナ
lázaro,ラサロ
cárdenas,カルデナス
enrique,エンリケ
peña,ペーニャ
nieto,ニエト
montalbán,モンタルバン
victoriano,ビクトリアーノ
huerta,ウエルタ
ernesto,エルネスト
zedillo,セディージョ
maribel,マリベル
domínguez,ドミンゲス
jonathan,ジョナタン
dos,ドス
santos,サントス
filippa,フィリッパ
giordano,ジョルダーノ
esteban,エステバン
gutiérrez,グティエレス
mateos,マテオス
guido,ギド
pizarro,ピサロ
carlton,カールトン
cuse,キューズ
oscar,オスカル
pérez,ペレス
rojas,ロハス
yolanda,ヨランダ
ramírez,ラミレス
leo,レオ
santa,サンタ
cruz,クルス
agustín,アグスティン
iturbide,イトゥルビデ
y,イ
green,グリーン
óscar,オスカル
hoya,ホーヤ
valdez,バルデス
saturnino,サトゥルニノ
herrán,エラン
mariano,マリアーノ
arista,アリスタ
hernández,エルナンデス
herrera,エレーラ
fuente,フエンテ
verónica,ベロニカ
orlando,オルランド
salido,サリド
lorena,ロレーナ
ochoa,オチョア
abner,アブネル
mares,マレス
gael,ガエル
garcía,ガルシア
alfonso,アルフォンソ
cuarón,キュアロン
benito,ベニート
aarón,アーロン
galindo,ガリンド
rafael,ラファエル
claudio,クラウディオ
suárez,スアレス
demián,デミアン
bichir,ビチル
kitten,キトゥン
natividad,ナティビダッド
nery,ネリー
castillo,カスティージョ
miramón,ミラモン
ignacio,イグナシオ
comonfort,コモンフォルト
trotski,トロツキー
salvador,サルバドール
contreras,コントレラス
anastasio,アナスタシオ
bustamante,ブスタマンテ
elpidia,エルピディア
carrillo,カリージョ
oswaldo,オスワルド
sánchez,サンチェス
gallardo,ガヤルド
cantinflas,カンティンフラス
juan,フアン
rulfo,ルルフォ
pancho,パンチョ
villa,ビジャ
adam,アダム
mckay,マッケイ
javier,ハビエル
aguirre,アギーレ
azuela,アスエラ
paulina,パウリナ
rubio,ルビオ
max,マックス
aub,アウブ
chávez,チャベス
ulises,ウリセス
dávila,ダビラ
buñuel,ブニュエル
jessica,ジェシカ
alba,アルバ
sara,サラ
anna,アンナ
emiliano,エミリアーノ
zapata,サパタ
christian,クリスチャン
giménez,ヒメネス
canto,カント
oribe,オリベ
peralta,ペラルタ
meza,メサ
víctor,ビクトル
vucetich,ブセティッチ
emilio,エミリオ
fernández,フェルナンデス
john,ジョン
doeg,ドエグ
maría,マリア
félix,フェリックス
super,スペル
caló,ガルシア
sam,サム
dreben,ドレベン
ilan,イラン
stavans,スタバンス
vela,ベラ
cuauhtémoc,クアウテモク
blanco,ブランコ
salcido,サルシド
robles,ロブレス
juventino,フベンティーノ
rosas,ロサス
césar,セサル
millán,ミラン
edward,エドワード
james,ジェームズ
olmos,オルモス
octavio,オクタビオ
paz,パス
edgar,エドガル
lhasa,ラサ
sela,セラ
enriqueta,エンリケッタ
basilio,バシリオ
torres,トーレス
nilo,ニーロ
van,ヴァン
peebles,ピーブルズ
ultiminio,シュガー
ramos,ラモス
adriana,アドリアーナ
barraza,バラッザ
laura,ラウラ
harring,ハリング
danna,ダンナ
paola,パオラ
flores,フローレス
magón,マゴン
salma,サルマ
hayek,ハエック
raúl,ラウル
dmt,ディアマンテ
azul,アスル
armando,アルマンド
archundia,アルチュンディア
urrea,ウレア
fernando,フェルナンド
valenzuela,バレンズエラ
dolores,ドロレス
del,デル
río,リオ
toro,トロ
sutter,サッター
alejandro,アレハンドロ
gonzález,ゴンサレス
iñárritu,イニャリトゥ
patricia,パトリシア
espinosa,エスピノサ
felipe,フェリペ
calderón,カルデロン
ocampo,オカンポ
julieta,フリエッタ
venegas,ベネガス
maite,マイテ
perroni,ペローニ
leonora,レオノーラ
carrington,キャリントン
consuelo,コンスエロ
velázquez,ベラスケス
belinda,ベリンダ
julio,フリオ
alejandra,アレハンドラ
zamora,サモラ
kirchhoff,キルヒホフ
icaza,イカザ
marzán,マルサン
vasconcelos,バスコンセロス
hugo,ウーゴ
anthony,アントニー
quinn,クイン
sergio,セルヒオ
roberto,ロベルト
orci,オーチー
álvaro,アルバロ
obregón,オブレゴン
sicodélico,シコデリコ
jr,ジュニア
rubén,ルベン
olivares,オリバレス
cortina,コルティナ
brazo,ブラソ
plata,プラタ
lamarque,ラマルケ
bárbara,バルバラ
mori,モリ
barragán,バラガン
alfredo,アルフレド
angulo,アングロ
adrián,アドリアン
federico,フェデリコ
mena,メナ
marco,マルコ
fabián,ファビアン
vázquez,バスケス
heavy,ヘビー
metal,メタル
negro,ネグロ
casas,カサス
rodolfo,ロドルフォ
moisés,モイセス
atlantis,アトランティス
giovanni,ジョバンニ
fey,フェイ
salomé,サロメ
pina,ピナ
giovani,ジョバニ
casillas,カシージャス
cien,シエン
caras,カラス
alanís,アラニス
yovani,ヨバニ
ona,オナ
grauer,グローアー
humberto,ウンベルト
soto,ソト
adela,アデラ
noriega,ノリエガ
perfecto,ペルフェクト
cos,コス
rodríguez,ロドリゲス
el,エル
chapo,チャポ
sinaloa,シナロア
winston,ウィンストン
abreu,アブレイユ
horacio,オラシオ
gómez,ゴメス
bolaños,ボラーニョス
lothario,ロザリオ
robinson,ロビンソン
tejeda,テヘーダ
ponce,ポンセ
nigris,ニグリス
ortega,オルテガ
talavera,タラベラ
saúl,サウール
álvarez,アルバレス
monsiváis,モンシバイス
mester,メスター
tomás,トマス
édgar,エドガル
villarreal,ビジャレアル
reinoso,レイノソ
rey,レイ
bucanero,ブカネロ
jesús,ヘスス
corona,コロナ
eduardo,エドゥアルド
nájera,ナヘラ
bueno,ブエノ
beristáin,ベリスタイン
echevarría,エチェバリア
nepomuceno,ネポムセーノ
guerra,ゲーラ
jaime,ハイメ
psicosis,ニチョ
averno,アベルノ
jay,ジェイ
jáuregui,ハウレギ
costilla,コスティージャ
lady,レディ
apache,アパッチェ
rosenda,ロゼンダ
monteros,モンテロス
navarro,ナバーロ
aceves,アセベス
sulaimán,スレイマン
esparragoza,エスパラゴーサ
silver,シルバー
king,キング
sandi,サンディ
perro,ペロ
aguayo,アグアヨ
espericueta,エスペリクエタ
postigo,ポスティーゴ
moctezuma,モクテズマ
usigli,ウシグリ
cecilia,セシリア
cantú,カントゥ
treviño,トレビーニョ
morales,モラレス
delanda,デランダ
boneta,ボネータ
rodrigo,ロドリゴ
prieto,プリエト
abismo,アビスモ
paso,パソ
allende,アジェンデ
érik,エリック
pacheco,パチェコ
araiza,アライサ
eiza,エイザ
