lionel,リオネル
messi,メッシ
massimo,マッシモ
troisi,トロイージ
ettore,エットーレ
scola,スコラ
ilan,イラン
araújo,アラウージョ
dall'igna,ダッリーニャ
antonio,アントニオ
pietrangeli,ピエトランジェリ
gabriele,ガブリエーレ
salvatores,サルヴァトレス
ferzan,フェルザン
özpetek,オズペテク
salvatore,サルヴァトーレ
quasimodo,クァジモド
nino,ニーノ
manfredi,マンフレディ
augusto,アウグスト
genina,ジェニーナ
sandro,サンドロ
pertini,ペルティーニ
francesco,フランチェスコ
cossiga,コッシガ
alessandro,アレッサンドロ
matri,マトリ
robert,ロバート
de,デ
niro,ニーロ
vittorio,ヴィットリオ
gassman,ガスマン
damiano,ダミアーノ
damiani,ダミアーニ
andrea,アンドレア
segre,セグレ
giuseppe,ジュゼッペ
battiston,バッティストン
guido,グイド
calabresi,カラブレージ
angelo,アンジェロ
di,ディ
livio,リヴィオ
giovanni,ジョヴァンニ
gronchi,グロンキ
segni,セーニ
saragat,サーラガト
leone,レオーネ
luciano,ルチアーノ
pavarotti,パヴァロッティ
romano,ロマーノ
prodi,プローディ
ugo,ウーゴ
tognazzi,トニャッツィ
gina,ジーナ
lollobrigida,ロロブリジーダ
luigi,ルイジ
zampa,ザンパ
del,デル
piero,ピエロ
eugenio,エウジェーニオ
montale,モンターレ
marcello,マルチェッロ
mastroianni,マストロヤンニ
elio,エリオ
petri,ペトリ
tornatore,トルナトーレ
carlo,カルロ
azeglio,アツェリオ
ciampi,チャンピ
verdone,ヴェルドーネ
federico,フェデリコ
marchetti,マルケッティ
giorgio,ジョルジョ
napolitano,ナポリターノ
franco,フランコ
zeffirelli,ゼフィレッリ
valerio,ヴァレリオ
zurlini,ズルリーニ
steno,ステーノ
rosi,ロッシ
mario,マリオ
bava,バーヴァ
pupi,プピ
avati,アヴァティ
liliana,リリアーナ
cavani,カヴァーニ
walter,ワルテル
bonatti,ボナッティ
michelangelo,ミケランジェロ
antonioni,アントニオーニ
sergio,セルジオ
corbucci,コルブッチ
emanuele,エマヌエーレ
crialese,クリアレーゼ
monica,モニカ
bellucci,ベルッチ
oscar,オスカル
scalfaro,スカルファロ
camila,カミラ
giorgi,ジョルジ
chiellini,キエッリーニ
gennaro,ジェンナーロ
gattuso,ガットゥーゾ
noemi,ノエミ
diego,ディエゴ
abatantuono,アバタントゥオーノ
valentina,ヴァレンティーナ
cervi,チェルヴィ
lopopolo,ロポポロ
dario,ダリオ
fo,フォ
ludovico,ルドヴィコ
einaudi,エイナウディ
liggio,リッジョ
iván,イバン
piris,ピリス
paola,パオラ
ruffo,ルッフォ
calabria,カラブリア
emiliano,エミリアーノ
sala,サーラ
chiesa,キエーザ
clerici,クレリチ
alfredo,アルフレード
dinale,ディナーレ
valentino,ヴァレンティーノ
gasparella,ガスパレッラ
candreva,カンドレーヴァ
lina,リーナ
wertmüller,ウェルトミューラー
gustav,グスタヴォ
thöni,トエニ
deborah,デボラ
compagnoni,コンパニョーニ
alberto,アルベルト
tomba,トンバ
farina,ファリーナ
cesare,チェーザレ
pavese,パヴェーゼ
sophia,ソフィア
loren,ローレン
lippi,リッピ
enrico,エンリコ
nicola,ニコラ
lattuada,ラットゥアーダ
ricardo,リカルド
martinelli,マルティネッリ
arrighetti,アリゲッティ
francia,フランシア
primo,プリモ
nebiolo,ネビオロ
fabrizio,ファブリツィオ
donato,ドナート
mauro,マウロ
goicoechea,ゴイコエチェア
anita,アニタ
pallenberg,パレンバーグ
danilo,ダニーロ
gallinari,ガリナリ
soldati,ソルダーティ
fabio,ファビオ
cannavaro,カンナヴァーロ
rocco,ロッコ
siffredi,シフレディ
filiberto,フィリベルト
savoia,サヴォイア
kaspar,カスパー
capparoni,カパローニ
romeo,ロメオ
bertini,ベルティーニ
gianni,ジャンニ
infantino,インファンティーノ
arri,アリ
filippo,フィリッポ
inzaghi,インザーギ
oddo,オッド
martin,マルティン
scorsese,スコセッシ
bocelli,ボチェッリ
moggi,モッジ
roberta,ロベルタ
vinci,ビンチ
anna,アンナ
magnani,マニャーニ
ascari,アスカリ
totò,トト
pirlo,ピルロ
tarcisio,タルチジオ
bertone,ベルトーネ
marco,マルコ
borriello,ボリエッロ
pantano,パンターノ
christian,クリスティアン
abbiati,アッビアーティ
josé,ジョゼ
altafini,アルタフィーニ
yves,イヴ
montand,モンタン
virna,ヴィルナ
lisi,リージ
trapattoni,トラパットーニ
amoruso,アモルーゾ
paolo,パオロ
canio,カーニオ
vitti,ヴィッティ
olmo,オルモ
silvana,シルヴァーナ
mangano,マンガーノ
giulietta,ジュリエッタ
masina,マシーナ
calabi,カラビ
sara,サラ
simeoni,シメオニ
pietro,ピエトロ
mennea,メンネア
anastasi,アナスタージ
francesca,フランチェスカ
piccinini,ピッチニーニ
manolo,マノロ
gabbiadini,ガッビアディーニ
maria,マリア
montessori,モンテッソーリ
claudio,クラウディオ
pizarro,ピサーロ
balotelli,バロテッリ
renato,レナート
dulbecco,ドゥルベッコ
fellini,フェリーニ
matteo,マッテオ
renzi,レンツィ
pier,ピエール
bersani,ベルサーニ
agnolo,アーニョロ
bronzino,ブロンズィーノ
eddy,エディ
ottoz,オットツ
darmian,ダルミアン
alida,アリダ
valli,ヴァリ
claudia,クラウディア
cardinale,カルディナーレ
quagliarella,クアリャレッラ
gabriel,ガブリエル
heinze,エインセ
gundi,ガンディ
busch,ブッシュ
raffaele,ラッファエレ
marciello,マルチェッロ
cimatti,チマッティ
terrazzino,テラッツィーノ
benassi,ベナッシ
roberto,ロベルト
baggio,バッジョ
barzagli,バルツァッリ
leo,レオ
ermanno,エルマンノ
olmi,オルミ
margola,マルゴーラ
lola,ローラ
pagnani,パニーニ
paloschi,パロスキ
benetti,ベネッティ
birindelli,ビリンデッリ
bettega,ベッテガ
edmond,エドモンド
fischer,フィッシャー
giampiero,ジャンピエロ
boniperti,ボニペルティ
berruti,ベルッティ
bernardino,ベルナルディーノ
luini,ルイーニ
fermi,フェルミ
gianfranco,ジャンフランコ
fini,フィーニ
brio,ブリオ
daniel,ダニエル
bovet,ボベット
d'alema,ダレマ
beppe,ベッペ
grillo,グリッロ
cabrini,カブリーニ
gianluigi,ジャンルイジ
buffon,ブッフォン
riccardo,リッカルド
scamarcio,スカマルチョ
julio,フリオ
hernán,エルナン
rossi,ロッシ
miccoli,ミッコリ
vaio,ヴァイオ
icardi,イカルディ
simone,シモーネ
collio,コッリオ
cassetti,カッセッティ
silvio,シルヴィオ
berlusconi,ベルルスコーニ
emma,エンマ
bonino,ボニーノ
sordi,ソルディ
ilona,シュターッレル
staller,イロナ
giulio,ジュリオ
andreotti,アンドレオッティ
parmigianino,パルミジャニーノ
gae,ガエ
aulenti,アウレンティ
ildebrando,イルデブランド
d'arcangelo,ダルカンジェロ
abdul,アブドル
rahman,ラフマン
sottsass,ソットサス
zola,ゾラ
luis,ルイス
durnwalder,ドゥルンヴァルダー
giampaolo,ジャンパオロ
pozzo,ポッツォ
stramaccioni,ストラマッチョーニ
potito,ポティート
starace,スタラーチェ
gabrielli,ガブリエッリ
manganelli,マンガネッリ
sinopoli,シノーポリ
stefano,ステファノ
mauri,マウリ
leonardo,レオナルド
sciascia,シャーシャ
cunego,クネゴ
gian,ジャン
volonté,ヴォロンテ
enzo,エンツォ
maresca,マレスカ
agnelli,アニェッリ
gaetano,ガエターノ
martino,マルティーノ
tommaso,トンマーゾ
rocchi,ロッキ
binda,ビンダ
monti,モンティ
umberto,ウンベルト
bossi,ボッシ
langella,ランジェッラ
rocca,ロッカ
giuliano,ジュリアーノ
razzoli,ラッツォーリ
mancini,マンチーニ
giovanna,ジョヴァンナ
mezzogiorno,メッツォジョルノ
eco,エーコ
scarpa,スカルパ
frank,フランク
capra,キャプラ
sica,シーカ
rossellini,ロッセリーニ
ivan,イヴァン
santaromita,サンタロミータ
alfred,アルフレッド
duncan,ダンカン
poggio,ポッジョ
bracciolini,ブラッチョリーニ
fiore,フィオーレ
giannini,ジャンニーニ
arisa,アリーザ
blasetti,ブラゼッティ
germi,ジェルミ
bolognini,ボロニーニ
bernardo,ベルナルド
bertolucci,ベルトルッチ
bellocchio,ベロッキオ
argento,アルジェント
brignone,ブリニョーネ
vanessa,ヴァネッサ
beecroft,ビークロフト
abbado,アバド
malipiero,マリピエロ
arturo,アルトゥーロ
benedetti,ベネデッティ
michelangeli,ミケランジェリ
montolivo,モントリーヴォ
rodolfo,ロドルフォ
graziani,グラツィアーニ
manuele,マヌエーレ
blasi,ブラージ
mussolini,ムッソリーニ
bosic,ボシック
dainelli,ダイネッリ
filippa,フィリッパ
giordano,ジョルダーノ
bergonzi,ベルゴンツィ
comencini,コメンチーニ
toscanini,トスカニーニ
corsetti,コルセッティ
stephan,ステファン
el,エル
shaarawy,シャーラウィ
nanni,ナンニ
loy,ロイ
carmine,カルミネ
gallone,ガローネ
santis,サンティス
