제임스,ジェームズ
드레스녹,ドレスノク
김책,キンサク
강건,キョウケン
박열,ボクレツ
허헌,モトケン
장웅,チョウツヨシ
김철,キムアキラ
최광,チェヒカリ
최현,チェケン
김억,キンオク
김옥,キンギョク
최휘,チェアキラ
백석,シライシ
김웅,カネオ
서휘,ジョアキラ
김무정,タケチン
홍창수,トクヤマアキラモリ
최원,チェトオ
안길,ヤスキチ
장철,チョウトオル
임훈,ニンクン
임화,ハヤシカズ
여정,リョセイ
박훈,ボクイサオ
장혁,チョウカワ
이,リ
한영,カンヒサシ
최,チェ
덕신,トクシン
조,チョウ
영남,ヒデオ
김,キム
명순,アキラアツシ
백,シロ
남순,ミナミアツシ
박,ボク
성철,ナルアキラ
한솔,カンリツ
승진,ウケタマワフ
장,チョウ
성택,ナルサワ
리,リー
승기,マスモト
홍,ヒロシ
용호,リュウヒロシ
영일,エイイツ
허,モト
정,テイ
대세,ダイヨ
사량,シリョウ
창만,アキラミツル
문,ブン
예봉,ゲイホウ
영숙,ヨンスク
정숙,テイシュク
오,ゴ
영순,ヨンスン
명록,アキラロク
려,リョ
춘석,ハルスズ
달준,イタルシュン
지,デ
윤남,インミナミ
안,アン
금애,キンアイ
영대,エイダイ
국태,クニヤスシ
정애,セイアイ
성옥,ナルダマ
금숙,イマヨシ
경희,ケイヒメ
고,コウ
용희,ヨウヒメ
국진,コウハシバミ
철명,アキラサトシ
한,カン
광복,ヒカリフク
세광,ヨコウ
미경,ミギョン
림,リム
정심,ジョンシム
영림,エイリン
영조,ウツハヤ
정남,マサオ
일진,イルジン
헌영,ケンヒサシ
차,クルマ
성남,ナルミナミ
남운,ナグモ
열리,キヨシリ
신,カラシ
신조,シンアサ
원,モト
정화,セイハナ
내성,ライシゲル
상성,シモシゲル
성애,ヒジリアイ
학림,ツルリン
현,ゲン
영철,エイアキラ
계관,ケイカン
양건,ヨウケン
원홍,モトヒロ
도춘,ミチハル
천해,テンカイ
변,アタリ
영립,エイリツ
명도,ミョウドウ
격식,カクウエ
영춘,エイハル
일성,イルソン
정은,セイオン
원봉,モトオオトリ
창익,ショウエキ
노,ノ
금석,コンスズ
동측,ヒガシハカ
의춘,ムベハル
용익,ヨンイク
봉철,タテマツアキラ
정순,セイジュン
용철,イサムアキラ
락겸,ラクケン
재경,ザイケイ
계,ケー
순희,スンヒ
영재,エイサイ
선호,ゼントラ
명식,アキラウエ
명희,アキラヒメ
민철,ミンアキラ
인식,ヒトシウエ
성덕,シゲノリ
송철,マツアキラ
평해,ヒラウミ
형봉,トオルタテマツ
전,チョン
하철,カワアキラ
약수,ワカミズ
국훈,クニカオル
