andrzej,アンジェイ
wajda,ワイダ
zygmunt,ジグムント
chychła,チチラ
margareta,マルガレーテ
kozuch,コズーフ
paul,ポール
baran,バラン
laurent,ローラン
koscielny,コシールニー
krzysztof,クシシュトフ
kieślowski,キェシロフスキ
jerzy,イェジ
stuhr,スチュエル
hermann,ヘルマン
friedmann,フリートマン
zbigniew,ズビグニェフ
boniek,ボニエク
emil,エミール
hirschfeld,ヒルシュフェルト
zanussi,ザヌッシ
zamachowski,ザマホフスキ
donald,ドナルド
tusk,トゥスク
julius,ジュリアス
axelrod,アクセルロッド
kacper,カツペル
przybyłko,プシビウコ
tomasz,トマシュ
majewski,マエフスキ
aleksander,アレクサンデル
kwaśniewski,クファシニェフスキ
isaac,アイザック
bashevis,バシェヴィス
singer,シンガー
ignace,イグナス
gelb,ゲルブ
benoît,ブノワ
mandelbrot,マンデルブロ
raymond,レイモン
kopa,コパ
leon,レオン
jogiches,ヨギヘス
otylia,オティリア
jędrzejczak,イェジェイチャク
anni,アンニ
friesingerpostma,フリージンガー
kevin,ケビン
mirocha,ミロチャ
lech,レフ
kaczyński,カチンスキ
krystyna,クリスティーナ
feldman,フェルドマン
maciej,マチェイ
kozłowski,コズラウスキー
wałęsa,ヴァウェンサ
alexander,アレクサンダー
granach,グラナック
adam,アダム
mickiewicz,ミツキェヴィチ
edyta,エディタ
piecha,ピエーハ
miroslav,ミロスラフ
klose,クローゼ
harry,ハリー
warner,ワーナー
olek,オレク
krupa,クルパ
moris,モリス
rosenfeld,ローゼンフェルド
ryksa,リクサ
śląska,シロンスカ
henryk,ヘンリク
kasperczak,カスペルチャク
anita,アニタ
włodarczyk,ヴォダルチク
stanisław,スタニスワフ
lem,レム
eugen,オイゲン
polanski,ポランスキ
jennifer,ジェニファー
suhr,サー
tadeusz,タデウシュ
reichstein,ライヒスタイン
małgorzata,マウゴジャータ
musierowicz,ムシェロヴィチ
marian,マリアン
woronin,ヴォロニン
harasiewicz,ハラシェヴィチ
maria,マリア
skłodowskacurie,キュリー
ryszard,リシャルト
kaczorowski,カチョロフスキ
wojciech,ヴォイチェフ
jaruzelski,ヤルゼルスキ
marek,マレク
belka,ベルカ
buzek,ブゼク
józef,ユゼフ
oleksy,オレクスィ
mazowiecki,マゾヴィエツキ
stephanie,ステファニー
kwolek,クオレク
kazimierz,カジミェシュ
marcinkiewicz,マルチンキェヴィチ
jarosław,ヤロスワフ
roman,ロマン
giertych,ギェルティフ
karol,カロル
radek,ラデック
rathaus,ラートハウス
josef,ヨーゼフ
jadassohn,ヤーダスゾーン
leszek,レシェク
balcerowicz,バルツェロヴィチ
hanna,ハンナ
suchocka,スホツカ
kokoszka,ココシュカ
lidia,リディア
zamenhof,ザメンホフ
