глюкоза,グリュコーザ,glyukoza
борис,ボリス,boris
акунин,アクーニン,akunin
носорог,ライノ,nosorog
александра,アレクサンドラ,aleksandra
маринина,マリーニナ,marinina
земфира,ゼムフィラ,zemfira
алсу,アルス,alsu
полина,ポリーナ,polina
дашкова,ダシコワ,dashkova
иларион,イラリオン,ilarion
хамелеон,カメレオン,hameleon
лео,レオ,leo
хао,ハオ,hao
витас,ヴィタス,vitas
александр,アレクサンドル,aleksandr
иван,イワン,ivan
александрович,アレクサンドロヴィチ,aleksandrovich
жасмин,ジャスミン,zhasmin
света,スヴェータ,sveta
данг,ダン,dang
ван,バン,van
лам,ラム,lam
револьвер,リボルバー,revolver
оцелот,オセロット,ocelot
витя,ヴィトヤ,vitya
вронски,ヴロンスキー,vronski
джина,ジーナ,dzhina
джерсон,ガーソン,dzherson
владлен,ヴラドレン,vladlen
татарский,タタルスキー,tatarskiy
шара,シャラ,shara
буллет,マゴメドフ,bullet
россия,ロシア,rossiya
автоваз,アフトヴァース,avtovaz
нижегородская,ニジニ,nizhegorodskaya
область,ノヴゴロドシュウ,oblast
жигули,ジグリサンカイ,zhiguli
смоленск,スモレンスク,smolensk
тверь,トヴェリ,tver
москва,モスクワ,moskva
чебоксары,チェボクサル,cheboksary
санктпетербург,サンクトペテルブルク,sanktpeterburg
новосибирск,ノヴォシビルスク,novosibirsk
абакан,アバカン,abakan
ярославль,ヤロスラヴリ,yaroslavl
кострома,コストロマ,kostroma
туманная,トウマンコウ,tumannaya
екатеринбург,エカテリンブルク,ekaterinburg
нижний,ニジニ,nizhniy
новгород,ノヴゴロド,novgorod
самара,サマーラ,samara
иваново,イヴァノヴォ,ivanovo
байкал,バイカルコ,baykal
омск,オムスク,omsk
пенза,ペンザ,penza
казань,カザン,kazan
челябинск,チェリャビンスク,chelyabinsk
зеленоградск,ゼレノグラーツク,zelenogradsk
академгородок,アカデムゴロドク,akademgorodok
волгоград,ヴォルゴグラード,volgograd
ульяновск,ウリヤノフスク,ulyanovsk
рязань,リャザン,ryazan
сибирские,シベリア,sibirskie
траппы,トラップ,trappy
пермь,ペルミ,perm
брянск,ブリャンスク,bryansk
виштынецкое,ヴィシュティーティスコ,vishtyneckoe
уфа,ウファ,ufa
тула,トゥーラ,tula
нивхи,ニヴフ,nivhi
владивосток,ウラジオストク,vladivostok
красноярск,クラスノヤルスク,krasnoyarsk
орёл,オリョール,oryol
калуга,カルーガ,kaluga
светлый,スヴェトルイ,svetlyy
курск,クルスク,kursk
томск,トムスク,tomsk
советск,ソヴィェツク,sovetsk
черняховск,チェルニャホフスク,chernyahovsk
лапландия,ラップランド,laplandiya
балтийск,バルチースク,baltiysk
гусев,グセフ,gusev
белгород,ベルゴロド,belgorod
тольятти,トリヤッチ,tolyatti
гвардейск,グヴァルジェイスク,gvardeysk
неман,ネマン,neman
воронеж,ヴォロネジ,voronezh
тюмень,チュメニ,tyumen
тамбов,タンボフ,tambov
дзержинск,ジェルジンスク,dzerzhinsk
липецк,リペツク,lipeck
мурманск,ムルマンスク,murmansk
калининград,カリーニングラード,kaliningrad
краснодар,クラスノダール,krasnodar
архангельск,アルハンゲリスク,arhangelsk
евразийская,ユーラシア,evraziyskaya
степь,ステップ,step
барнаул,バルナウル,barnaul
янтарный,ヤンタルヌイ,yantarnyy
кызыл,クズル,kyzyl
кемерово,ケメロヴォ,kemerovo
петрозаводск,ペトロザヴォーツク,petrozavodsk
майкоп,マイコープ,maykop
вологда,ヴォログダ,vologda
маньчжурия,マンシュウ,manchzhuriya
астрахань,アストラハン,astrahan
салехард,サレハルド,salehard
череповец,チェレポヴェツ,cherepovec
тотьма,トチマ,totma
сыктывкар,スィクティフカル,syktyvkar
элиста,エリスタ,elista
иркутск,イルクーツク,irkutsk
боровичи,ボロヴィチ,borovichi
боровск,ボロフスク,borovsk
хабаровск,ハバロフスク,habarovsk
братск,ブラーツク,bratsk
бронницы,ブロンニツィ,bronnicy
сызрань,シズラニ,syzran
псков,プスコフ,pskov
буинск,ブインスク,buinsk
якутск,ヤクーツク,yakutsk
бугульма,ブグリマ,bugulma
буй,ブイ,buy
буйнакск,ブイナクスク,buynaksk
валдай,ヴァルダイ,valday
велиж,ヴェリジ,velizh
венёв,ヴェニョーフ,venyov
углегорск,ウグレゴルスク,uglegorsk
грозный,グロズヌイ,groznyy
дальнегорск,ダリネゴルスク,dalnegorsk
гатчина,ガッチナ,gatchina
махачкала,マハチカラ,mahachkala
унеча,ウネーチャ,unecha
удачный,ウダーチヌイ,udachnyy
углич,ウグリチ,uglich
удомля,ウドムリャ,udomlya
коломна,コロムナ,kolomna
ставрополь,スタヴロポリ,stavropol
севастополь,セヴァストポリ,sevastopol
магас,マガス,magas
верхоянск,ベルホヤンスク,verhoyansk
вилючинск,ヴィリュチンスク,vilyuchinsk
вичуга,ヴィチュガ,vichuga
волгодонск,ヴォルゴドンスク,volgodonsk
узловая,ウズロヴァヤ,uzlovaya
благовещенск,ブラゴヴェシチェンスク,blagoveshchensk
устюжна,ウスチュジナ,ustyuzhna
ухта,ウフタ,uhta
уссурийск,ウスリースク,ussuriysk
видное,ヴィドノエ,vidnoe
весьегонск,ヴェシエゴンスク,vesegonsk
вилюйск,ヴィリュイスク,vilyuysk
владикавказ,ウラジカフカス,vladikavkaz
нальчик,ナリチク,nalchik
острог,オストログ,ostrog
фурманов,フルマノフ,furmanov
фрязино,フリャジノ,fryazino
фокино,フォーキノ,fokino
яндекс,ヤンデックス,yandeks
черкесск,チェルケスク,cherkessk
коммунар,コムナル,kommunar
новокузнецк,ノヴォクズネツク,novokuzneck
волгореченск,ヴォルゴレチェンスク,volgorechensk
набережные,ナーベレジヌイェ,naberezhnye
челны,チェルヌイ,chelny
воркута,ヴォルクタ,vorkuta
химки,ヒムキ,himki
холм,ホルム,holm
холмск,ホルムスク,holmsk
саратов,サラトフ,saratov
оренбург,オレンブルク,orenburg
магнитогорск,マグニトゴルスク,magnitogorsk
воскресенск,ヴォスクレセンスク,voskresensk
карабаново,カラバノヴォ,karabanovo
воткинск,ヴォトキンスク,votkinsk
биробиджан,ビロビジャン,birobidzhan
тагил,タギル,tagil
сахалин,カラフト,sahalin
волжский,ヴォルシスキー,volzhskiy
чайковский,チャイコフスキー,chaykovskiy
чапаевск,チャパエフスク,chapaevsk
вышний,ヴイシニー,vyshniy
волочёк,ヴォロチョーク,volochyok
вяземский,ヴャーゼムスキー,vyazemskiy
чекалин,チェカリン,chekalin
саранск,サランスク,saransk
киров,キーロフ,kirov
айны,アイヌ,ayny
великие,ヴェリーキエ,velikie
луки,ルーキ,luki
луганск,ルハーンシク,lugansk
вязники,ヴャズニキ,vyazniki
ижевск,イジェフスク,izhevsk
южносахалинск,ユジノサハリンスク,yuzhnosahalinsk
вязьма,ヴャジマ,vyazma
волоколамск,ヴォロコラムスク,volokolamsk
ковров,コヴロフ,kovrov
ельня,エリニャ,elnya
чудово,チュドヴォ,chudovo
чкаловск,チカロフスク,chkalovsk
сибирь,シベリア,sibir
городец,ゴロジェッツ,gorodec
чухлома,チューフロマ,chuhloma
шахтёрск,シャフチョルスク,shahtyorsk
шарья,シャリヤ,sharya
дмитров,ドミトロフ,dmitrov
гдов,グドフ,gdov
глазов,グラゾフ,glazov
елец,エレツ,elec
гагарин,ガガーリン,gagarin
галич,ガーリチ,galich
чистополь,チストポリ,chistopol
чехов,チェーホフ,chehov
бийск,ビイスク,biysk
газпром,ガスプロム,gazprom
пушкин,プーシキン,pushkin
гороховец,ゴロホヴェツ,gorohovec
шахты,シャフティ,shahty
магадан,マガダン,magadan
азнакаево,アズナカエヴォ,aznakaevo
агрыз,アグルィズ,agryz
гудермес,グデルメス,gudermes
азов,アゾフ,azov
щёкино,シチョーキノ,shchyokino
камов,カモフ,kamov
шуя,シューヤ,shuya
приозерск,プリオゼルスク,priozersk
анадырь,アナディリ,anadyr
гурьевск,グリエフスク,gurevsk
давлеканово,ダブレカノボ,davlekanovo
алдан,アルダン,aldan
щёлково,シチョルコヴォ,shchyolkovo
александров,アレクサンドロフ,aleksandrov
энгельс,エンゲリス,engels
наука,ナウカ,nauka
протон,プロトン,proton
дальнереченск,ダリネレチェンスク,dalnerechensk
данилов,ダニーロフ,danilov
электрогорск,エレクトロゴルスク,elektrogorsk
электросталь,エレクトロスタリ,elektrostal
электроугли,エレクトロウグリ,elektrougli
демидов,デミドフ,demidov
дедовск,デドフスク,dedovsk
десногорск,デスノゴルスク,desnogorsk
алексин,アレクシン,aleksin
юрга,ユルガ,yurga
альметьевск,アリメチエフスク,almetevsk
амурск,アムールスク,amursk
димитровград,ディミトロフグラード,dimitrovgrad
дмитровск,ドミトロフスク,dmitrovsk
ангарск,アンガルスク,angarsk
дзержинский,ジェルジンスキー,dzerzhinskiy
донавиа,ドンアヴィア,donavia
новатэк,ノヴァテク,novatek
андреаполь,アンドレアポリ,andreapol
анива,アニワ,aniva
домодедово,ドモジェドヴォ,domodedovo
долинск,ドリンスク,dolinsk
долгопрудный,ドルゴプルドニ,dolgoprudnyy
юхнов,ユーフノフ,yuhnov
дно,ドノー,dno
апатиты,アパチートゥイ,apatity
ярцево,ヤールツェヴォ,yarcevo
ясногорск,ヤスノゴルスク,yasnogorsk
апрелевка,アプレレフカ,aprelevka
дубна,ドゥブナ,dubna
донской,ドンスコイ,donskoy
дорогобуж,ドロゴブージ,dorogobuzh
клипер,クリーペル,kliper
ейск,エイスク,eysk
егорьевск,エゴリエフスク,egorevsk
елабуга,エラブガ,elabuga
духовщина,ドゥホフシチーナ,duhovshchina
дудинка,ドゥディンカ,dudinka
приамурье,ソトマンシュウ,priamure
ханка,ハンカコ,hanka
прохоровка,プロホロフカ,prohorovka
арск,アルスク,arsk
арсеньев,アルセーニエフ,arsenev
арзамас,アルザマス,arzamas
артём,アルテム,artyom
дятьково,ジャチコヴォ,dyatkovo
елизово,エリゾヴォ,elizovo
асино,アシノ,asino
