陈定,チンサダ
万钢,マンコウ
王选,オウセン
张昊,チョウヒロシ
张洁,チョウキヨシ
阳蕾,ヒツボミ
张帅,チョウソチ
杜丽,モリウララ
张立,チョウリツ
张军,チョウグン
仲满,ナカミツル
郑智,テイサトシ
周强,シュウツヨシ
郭跃,カクオド
巴金,トモエキン
张宁,チョウヤスシ
周洋,シュウヒロシ
张楠,チョウクスノキ
丁宁,テイネイ
白雪,ハクユキ
梁挺,ヤナテイ
丁玲,チョウレイ
韩端,カンタダシ
钱琳,リンリン
刘翔,リュウショウ
陈露,チンロ
何姿,ナニスガタ
胡佳,エビスケイ
金庸,キムイサオ
赵丹,チョウマコト
王楠,オウクスノキ
郑义,テイヨシ
郑洁,テイキヨシ
刘芳,リュウカオル
申雪,サルユキ
刘洋,リュウヒロシ
溥仪,アイシンサトシラフギ
江青,コウセイ
汤唯,ユタダ
方方,ホウボウ
李玉,リタマ
李鹏,リホウ
陈毅,チンアツシ
龙云,リュウクモ
陈好,チンヨシミ
乔红,タカシベニ
刘艳,リュウツヤ
田佳,タケイ
张丹,チョウマコト
刘虹,リュウニジ
韩聪,カンサトシ
朱德,シュイサオ
孔杰,アナスグル
张阳,チョウヨウ
热比娅,ラビア
卡德尔,カーディル
阿来,オモネコ
艾斯海提,アシハテ
克里木拜,クリムバ
陈仪,チンタダシ
王皓,オウアキラ
李宁,リヤスシ
谭盾,タンタテ
吴京,ゴミヤコ
卢汉,ノカン
陈方安生,チンカタヤスセイ
吴仪,ゴタダシ
韩正,カンタダシ
老舍,ロウシャ
林彪,ハヤシピョウ
王君,オウクン
刀郎,カタナロウ
高峰,タカミネ
潘岳,ハンタケシ
李山,スモモヤマ
郎平,ロウタイラ
潘松,ハンマツ
宁浩,ヤスシヒロシ
茅盾,カヤタテ
黄昆,キコン
吐赫提,トフティ
土亚兹,トゥニヤズ
汪晖,ヒロシアキラ
柴静,シバシズ
李平,スモモダイラ
宋茜,ビクトリア
胡风,エビスフウ
陈楠,チンクスノキ
姜文,キョウブン
石俊,イシシュン
德穆楚克栋鲁普,デムチュクドンロブ
王刚,オウツヨシ
王兵,オウヘイ
吕林,リョリン
雷锋,カミナリホコサキ
余华,ヨハナ
包尔汉,ブルハン
沙希迪,シャヒディ
柳超,ヤナギチョウ
刘霞,リュウカスミ
陈静,チンシズ
伊力哈木,イリハム
土赫提,トフティ
黄华,キハナ
徐冰,ジョコオリ
春丽,ハルウララ
李俊,リシュン
韩庚,カンカノエ
铃木惠美,スズキエミ
王力,オウツトム
吕乐,リョラク
金晶,キムアキラ
田汉,タカン
班禅额尔德尼,ギェンツェン
确吉杰布,ノルブ
汪洋,オウヨウ
天宝,テンポウ
汤汉,ユカン
徐星,ジョホシ
苏童,ソワラベ
王洁,オウキヨシ
叶群,ハグン
夏达,ナツイタル
丁伟,ヒノトエラ
谢飞,シャヒ
朱启,シュアキラ
王超,オウチョウ
何洁,ナニキヨシ
李玲,リレイ
粟裕,アワヒロシ
陈飞,チンヒ
周挺,シュウテイ
朱波,シュナミ
阿英,オモネエイ
古华,コハナ
孙楠,マゴクスノキ
马健,ウマケン
田野,デンヤ
刘健,リュウケン
朴成,ボクシゲル
梦鸽,ユメドバト
铁凝,テツコゴ
端木正和,ハジキショウワ
荣昊,サカエヒロシ
孟克巴特尔,トモエトクナンジ
宋丹,ソウマコト
卢兰,ノラン
王喜,オウキ
丰云,ユタカクモ
李帅,リソチ
马龙,ウマリュウ
格非,カクヒ
唐豪,トウゴウ
王勇,オウイサム
李强,リツヨシ
姜波,キョウナミ
田刚,タツヨシ
艾尔肯,エルキン
阿布甫泰肯,アルプテキン
韩红,カラクレナイ
李铁,リテツ
王菲,ウォンフェイ
启功,ケイコウ
小悦悦事件,チュウゴクホトケヤマシジョジヒキニゲジケン
李明,リアキラ
葛优,カズラユウ
许岩,モトイワ
韩寒,カンカン
李锐,リスルド
万里,バンリ
慧文,ケイブン
朱玲,シュレイ
董洁,タダシキヨシ
易纲,エキツナ
韩松,カンマツ
黄菊,キキク
苏聪,ソサトシ
杜威,モリイ
周济,シュウワタル
巴燕,トモエツバメ
汪嵩,ヒロシカサ
白洁,ハクキヨシ
周觅,チョウミ
张杰,チョウスグル
吐尔贡,トルグン
阿力玛斯,アルマス
马洪,ウマヒロシ
陆昊,リクヒロシ
常昊,ツネヒロシ
曲波,キョクハ
王震,オウシン
孙悦,マゴエツ
