gerónimo,제로니모,jeronimo
andrépierre,앙드레피에르,angdeurepiereu
gignac,지냐크,jinyakeu
stephen,스티븐,seutibeun
austin,오스틴,oseutin
porfirio,포르피리오,poreupirio
díaz,디아스,diaseu
frida,프리다,peurida
kahlo,칼로,kalro
alfonso,알폰소,alponso
cuarón,쿠아론,kuaron
león,레온,reon
trotski,트로츠키,teuroceuki
lucero,루세로,rusero
gustavo,구스타보,guseutabo
ordaz,오르다스,oreudaseu
inés,이네스,ineseu
efron,에프론,epeuron
carlos,카를로스,kareulroseu
salinas,살리나스,salrinaseu
de,데,de
gortari,고르타리,goreutari
lorena,로레나,rorena
ochoa,오초아,ocoa
thalía,탈리아,talria
diego,디에고,diego
rivera,리베라,ribera
lupe,루프,rupeu
vélez,벨레스,belreseu
josé,호세,hose
lópez,로페스,ropeseu
portillo,포르티요,poreutiyo
manuel,마누엘,manuel
ávila,아빌라,abilra
camacho,카마초,kamaco
nicolás,니콜라스,nikolraseu
bravo,브라보,beurabo
miguel,미겔,migel
alemán,알레만,alreman
valdés,발데스,baldeseu
vicente,비센테,bisente
guerrero,게레로,gerero
jonathan,호나탄,honatan
dos,도스,doseu
santos,산토스,santoseu
lucas,루카스,rukaseu
barrios,바리오스,barioseu
fuentes,푸엔테스,puenteseu
andrés,안드레스,andeureseu
guardado,과르다도,gwareudado
anahí,아나이,anai
pablo,파블로,pabeulro
barrera,바레라,barera
omar,오마르,omareu
guadalupe,과달루페,gwadalrupe
victoria,빅토리아,bigtoria
gerardo,헤라르도,herareudo
torrado,토라도,torado
javier,하비에르,habiereu
hernández,에르난데스,ereunandeseu
balcázar,발카사르,balkasareu
héctor,엑토르,egtoreu
moreno,모레노,moreno
venustiano,베누스티아노,benuseutiano
carranza,카란사,karansa
lila,릴라,rilra
downs,다운스,daunseu
zuria,수리아,suria
vega,베가,bega
katy,카티,kati
jurado,후라도,hurado
kuno,쿠노,kuno
becker,베커,bekeo
joaquín,호아킨,hoakin
herrera,에레라,erera
pedro,페드로,pedeuro
armendáriz,아르멘다리스,areumendariseu
jared,하레드,haredeu
borgetti,보르헤티,boreuheti
slim,슬림,seulrim
plutarco,플루타르코,peulrutareuko
elías,엘리아스,elriaseu
calles,카예스,kayeseu
jorge,호르헤,horeuhe
campos,캄포스,kamposeu
ramón,라몬,ramon
vargas,바르가스,bareugaseu
francisco,프란시스코,peuransiseuko
la,라,ra
barra,바라,bara
guillermo,기예르모,giyereumo
franco,프랑코,peurangko
daniel,다니엘,daniel
bautista,바우티스타,bautiseuta
edith,에디트,editeu
gonzález,곤살레스,gonsalreseu
luna,루나,runa
antonio,안토니오,antonio
carbajal,카르바할,kareubahal
sara,사라,sara
ramírez,라미레스,ramireseu
emiliano,에밀리아노,emilriano
zapata,사파타,sapata
emilio,에밀리오,emilrio
portes,포르테스,poreuteseu
gil,힐,hil
paul,파울,paul
aguilar,아길라르,agilrareu
efraín,에프라인,epeurain
juárez,후아레스,huareseu
sebastián,세바스티안,sebaseutian
lerdo,레르도,rereudo
tejada,테하다,tehada
agustín,아구스틴,aguseutin
lara,라라,rara
gloria,글로리아,geulroria
trevi,트레비,teurebi
ricardo,리카르도,rikareudo
osorio,오소리오,osorio
gael,가엘,gael
garcía,가르시아,gareusia
bernal,베르날,bereunal
jessica,제시카,jesika
alba,알바,alba
dolores,돌로레스,dolroreseu
heredia,에레디아,eredia
ximena,히메나,himena
navarrete,나바레테,nabarete
octavio,옥타비오,ogtabio
paz,파스,paseu
benito,베니토,benito
bora,보라,bora
milutinović,밀루티노비치,milrutinobici
místico,미스티코,miseutiko
alessandra,알레산드라,alresandeura
rosaldo,로살도,rosaldo
cara,카라,kara
buono,부오노,buono
giselle,지젤,jijel
itié,이티에,itie
pável,파벨,pabel
pardo,파르도,pareudo
vela,벨라,belra
luis,루이스,ruiseu
