stefano,스테파노,seutepano
cerioni,체리오니,cerioni
ettore,에토레,etore
scola,스콜라,seukolra
giorgio,조르조,joreujo
napolitano,나폴리타노,napolritano
alessandro,알레산드로,alresandeuro
matri,마트리,mateuri
aldo,알도,aldo
fabrizi,파브리지,pabeuriji
vittorio,비토리오,bitorio
gassman,가스만,gaseuman
salvatore,살바토레,salbatore
quasimodo,콰시모도,kwasimodo
romano,로마노,romano
prodi,프로디,peurodi
luciano,루차노,rucano
pavarotti,파바로티,pabaroti
martin,마틴,matin
scorsese,스코세이지,seukoseiji
marcello,마르첼로,mareucelro
mastroianni,마스트로이안니,maseuteuroianni
romeo,로메오,romeo
bertini,베르티니,bereutini
ugo,우고,ugo
tognazzi,토냐치,tonyaci
gabriele,가브리엘레,gabeurielre
detti,데티,deti
del,델,del
piero,피에로,piero
antonio,안토니오,antonio
candreva,칸드레바,kandeureba
lina,리나,rina
wertmüller,베르트뮐러,bereuteumwilreo
emiliano,에밀리아노,emilriano
sala,살라,salra
franco,프랑코,peurangko
zeffirelli,체피렐리,cepirelri
giuseppe,주세페,jusepe
tornatore,토르나토레,toreunatore
federico,페데리코,pederiko
marchetti,마르케티,mareuketi
dario,다리오,dario
fo,포,po
chiellini,키엘리니,kielrini
gennaro,젠나로,jennaro
gattuso,가투소,gatuso
valentina,발렌티나,balrentina
cervi,체르비,cereubi
carlo,카를로,kareulro
azeglio,아첼리오,acelrio
ciampi,참피,campi
gregoretti,그레고레티,geuregoreti
oscar,오스카르,oseukareu
luigi,루이지,ruiji
scalfaro,스칼파로,seukalparo
francesco,프란체스코,peuranceseuko
cossiga,코시가,kosiga
gianni,잔니,janni
infantino,인판티노,inpantino
nino,니노,nino
manfredi,맘프레디,mampeuredi
eugenio,에우제니오,eujenio
montale,몬탈레,montalre
michele,미켈레,mikelre
besso,베소,beso
massimo,마시모,masimo
oddo,오도,odo
giorgia,조르자,joreuja
würth,뷔르트,bwireuteu
noemi,노에미,noemi
ludovico,루도비코,rudobiko
einaudi,에이나우디,einaudi
iván,이반,iban
piris,피리스,piriseu
mario,마리오,mario
bava,바바,baba
michelangelo,미켈란젤로,mikelranjelro
antonioni,안토니오니,antonioni
liliana,릴리아나,rilriana
cavani,카바니,kabani
angelo,안젤로,anjelro
di,디,di
livio,리비오,ribio
monica,모니카,monika
bellucci,벨루치,belruci
giovanni,조반니,jobanni
leone,레오네,reone
sandro,산드로,sandeuro
pertini,페르티니,pereutini
saragat,사라가트,saragateu
andrea,안드레아,andeurea
bocelli,보첼리,bocelri
zeno,체노,ceno
colò,콜로,kolro
gina,지나,jina
lollobrigida,롤로브리지다,rolrobeurijida
anna,안나,anna
magnani,마냐니,manyani
ermanno,에르만노,ereumanno
wolfferrari,볼프페라리,bolpeuperari
rocco,로코,roko
siffredi,시프레디,sipeuredi
fabio,파비오,pabio
cannavaro,칸나바로,kannabaro
kaspar,카스파르,kaseupareu
capparoni,카파로니,kaparoni
emanuele,에마누엘레,emanuelre
filiberto,필리베르토,pilribereuto
savoia,사보이아,saboia
zucchero,주케로,jukero
fornaciari,포나치아리,ponaciari
filippo,필리포,pilripo
inzaghi,인차기,incagi
anita,아니타,anita
pallenberg,팔렌버그,palrenbeogeu
alberto,알베르토,albereuto
lattuada,라투아다,ratuada
ricardo,리카르도,rikareudo
martinelli,마르티넬리,mareutinelri
vitti,비티,biti
yves,이브,ibeu
montand,몽탕,mongtang
giovanna,조반나,jobanna
ralli,랄리,ralri
alida,알리다,alrida
valli,발리,balri
mariangela,마리안젤라,marianjelra
melato,멜라토,melrato
silvana,실바나,silbana
mangano,망가노,manggano
gronchi,그론키,geuronki
segni,세니,seni
lucas,루카스,rukaseu
piazon,피아종,piajong
giulietta,줄리에타,julrieta
masina,마시나,masina
trapattoni,트라파토니,teurapatoni
lippi,리피,ripi
pirlo,피를로,pireulro
tarcisio,타르치시오,tareucisio
bertone,베르토네,bereutone
marco,마르코,mareuko
borriello,보리엘로,borielro
enrico,엔리코,enriko
de,데,de
nicola,니콜라,nikolra
sophia,소피아,sopia
loren,로렌,roren
sodano,소다노,sodano
paolo,파올로,paolro
canio,카니오,kanio
christian,크리스티안,keuriseutian
abbiati,아비아티,abiati
josé,조제,joje
altafini,알타피니,altapini
balotelli,발로텔리,balrotelri
manolo,마놀로,manolro
gabbiadini,가비아디니,gabiadini
barzagli,바르찰리,bareucalri
renato,레나토,renato
dulbecco,둘베코,dulbeko
claudio,클라우디오,keulraudio
pizarro,피사로,pisaro
tomba,톰바,tomba
gustav,구스타프,guseutapeu
thöni,퇴니,toeni
deborah,데보라,debora
compagnoni,콤파뇨니,kompanyoni
cesare,체사레,cesare
pavese,파베세,pabese
matteo,마테오,mateo
darmian,다르미안,dareumian
gianluigi,잔루이지,janruiji
buffon,부폰,bupon
sergio,세르조,sereujo
brio,브리오,beurio
gabriel,가브리엘,gabeuriel
heinze,에인세,einse
gundi,군디,gundi
busch,부슈,busyu
roberto,로베르토,robereuto
baggio,바조,bajo
claudia,클라우디아,keulraudia
cardinale,카르디날레,kareudinalre
giancarlo,잔카를로,jankareulro
bercellino,베르첼리노,bereucelrino
benetti,베네티,beneti
bertolini,베르톨리니,bereutolrini
olmi,올미,olmi
paloschi,팔로스키,palroseuki
cabrini,카브리니,kabeurini
bettega,베테가,betega
quagliarella,콸리아렐라,kwalriarelra
giampiero,잠피에로,jampiero
boniperti,보니페르티,bonipereuti
felice,펠리체,pelrice
borel,보렐,borel
francesca,프란체스카,peuranceseuka
piccinini,피치니니,picinini
daniel,다니엘,daniel
bovet,보베,bobe
maria,마리아,maria
montessori,몬테소리,montesori
ascari,아스카리,aseukari
totò,토토,toto
leo,레오,reo
renzi,렌치,renci
pier,피에르,piereu
bersani,베르사니,bereusani
hösle,회슬레,hoeseulre
tommaso,톰마소,tommaso
rocchi,로키,roki
karin,카린,karin
schubert,슈베르트,syubereuteu
riccardo,리카르도,rikareudo
scamarcio,스카마르초,seukamareuco
fabrizio,파브리치오,pabeuricio
miccoli,미콜리,mikolri
mauro,마우로,mauro
icardi,이카르디,ikareudi
vaio,바이오,baio
d'alema,달레마,dalrema
