セッシュウ,셋슈,sesshuu,sessyu
ブリキ,브리키,buriki,beuriki
ツグミ,츠구미,tsugumi,ceugumi
リノリコ,이방자,rinoriko,ibangja
オノ,오노,ono,ono
ヨーコ,요코,yōko,yoko
ナツサイ,나츠나,natsusai,naceuna
ゼアミ,제아미,zeami,jeami
アキヒト,아키히토,akihito,akihito
アルベルト,알베르토,aruberuto,albereuto
フジモリ,후지모리,fujimori,hujimori
ツルネン,쓰루넨,tsurunen,sseurunen
マルテイ,마루테이,marutei,marutei
トクヒトシ,나루히토,tokuhitoshi,naruhito
オゾンファ,오선화,ozonfa,oseonhwa
リキヨシ,이청,rikiyoshi,iceong
チョウホンクン,장훈,chouhonkun,janghun
ハヤシミホ,린하이펑,hayashimiho,rinhaipeong
キフミオ,고분유,kifumio,gobunyu
クウカイ,구카이,kuukai,gukai
ブンヨコウ,문세광,bunyokou,munsegwang
トクヤマアキラモリ,홍창수,tokuyamaakiramori,hongcangsu
アキヤマシゲルクン,추성훈,akiyamashigerukun,cuseonghun
ディーン,딘,dīn,din
フジオカ,후지오카,fujioka,hujioka
マサムネ,마사무네,masamune,masamune
キョウトオルユウ,강창웅,kyoutooruyuu,gangcangung
シンゼイ,신제이,shinzei,sinjei
シンラン,신란,shinran,sinran
リヨシエ,이양지,riyoshie,iyangji
ジエン,지엔,jien,jien
アンジェラ,안젤라,anjera,anjelra
アキ,아키,aki,aki
セルヒオ,세르히오,seruhio,sereuhio
エスクデロ,에스쿠데로,esukudero,eseukudero
カトウ,사토리,katou,satori
サトリ,카토,satori,kato
アヤカ,아야카,ayaka,ayaka
エンニン,엔닌,ennin,ennin
ヒトミ,히토미,hitomi,hitomi
ブライアン,브라이언,buraian,beuraieon
ティー,티,tī,ti
ノヤマハツツヨシ,노초웅,noyamahatsutsuyoshi,nocoung
ショー,쇼,shō,syo
コスギ,코스기,kosugi,koseugi
ノハラミサエ,봉미선,noharamisae,bongmiseon
ヨドドノ,요도도노,yododono,yododono
ゴセイゲン,오청원,goseigen,oceongweon
セミマル,세미마루,semimaru,semimaru
キセン,기센,kisen,gisen
シュレッダー,슈레더,shureddā,syuredeo
フィオナ,피오나,fiona,piona
グラハム,그레이엄,gurahamu,geureieom
コウヒロシヒメ,고용희,kouhiroshihime,goyonghyi
カスガノツボネ,가스가노쓰보네,kasuganotsubone,gaseuganosseubone
マツコ,마츠코,matsuko,maceuko
デラックス,디럭스,derakkusu,direogseu
タムリン,탬린,tamurin,taemrin
トミタ,토미타,tomita,tomita
アサヒヒメ,아사히히메,asahihime,asahihime
デキスギエイサイ,박영민,dekisugieisai,bagyeongmin
ルルティア,루루티아,rurutia,rurutia
ミハエル,미하엘,mihaeru,mihael
コーガン,코간,kōgan,kogan
コオリアオ,효세이,kooriao,hyosei
イセ,이세,ise,ise
コユキ,코유키,koyuki,koyuki
カズオ,가즈오,kazuo,gajeuo
イシグロ,이시구로,ishiguro,isiguro
キタロウ,키타로,kitarou,kitaro
ミナモトシズカ,신이슬,minamotoshizuka,siniseul
カシノユカ,카시유카,kashinoyuka,kasiyuka
ワタルスケ,야스케,watarusuke,yaseuke
アレックス,알렉스,arekkusu,alregseu
ラミレス,라미레스,ramiresu,ramireseu
イサム,이사무,isamu,isamu
ノグチ,노구치,noguchi,noguci
タモリ,타모리,tamori,tamori
サイチョウ,사이초,saichou,saico
ボクシュンキン,박춘금,bokushunkin,bagcungeum
カンショウユウ,한창우,kanshouyuu,hancangu
ツナコ,츠나코,tsunako,ceunako
キンジョウハジメヤスシ,김기태,kinjouhajimeyasushi,gimgitae
ナツダカネカブト,우종갑,natsudakanekabuto,ujonggab
キムイタルコトブキ,김달수,kimuitarukotobuki,gimdalsu
カレン,로버트,karen,robeoteu
ロバート,컬런,robāto,keolreon
タケロンミコト,부론손,takeronmikoto,buronson
オオヤマバイタチ,최영의,ooyamabaitachi,coeyeongyi
ナターシャ,나탈리야,natāsha,natalriya
グジー,구지,gujī,guji
