aleksandrs,알렉산드르스,alregsandeureuseu
starkovs,스타르코우스,seutareukouseu
ernests,에르네스츠,ereuneseuceu
gulbis,굴비스,gulbiseu
mihails,미하일,mihail
barišņikovs,바리시니코프,barisinikopeu
kārlis,카를리스,kareulriseu
ulmanis,울마니스,ulmaniseu
artjoms,아르툠스,areutyomseu
rudņevs,루드네우스,rudeuneuseu
juris,유리스,yuriseu
hartmanis,하르트마니스,hareuteumaniseu
vasilijs,바실리스,basilriseu
stepanovs,스테파노우스,seutepanouseu
tāls,탈스,talseu
rainis,라이니스,rainiseu
egils,에길스,egilseu
levits,레비츠,rebiceu
andrejs,안드레이스,andeureiseu
perepļotkins,페레플료트킨스,perepeulryoteukinseu
andris,안드리스,andeuriseu
bērziņš,베르진슈,bereujinsyu
inta,인타,inta
kļimovičadrēviņa,클리모비차,keulrimobica
jānis,야니스,yaniseu
lūsis,루시스,rusiseu
sandis,산디스,sandiseu
ozoliņš,오졸린슈,ojolrinsyu
valdis,발디스,baldiseu
dombrovskis,돔브로우스키스,dombeurouseukiseu
guntis,군티스,guntiseu
mariss,마리스,mariseu
jansons,얀손스,yansonseu
ainārs,아이나르스,ainareuseu
kovals,코발스,kobalseu
čakste,착스테,cagseute
aigars,아이가르스,aigareuseu
fadejevs,파데예우스,padeyeuseu
staņislavs,스타니슬라우스,seutaniseulrauseu
olijars,올리야르스,olriyareuseu
vaira,바이라,baira
vīķefreiberga,비케프레이베르가,bikepeureibereuga
vadims,바딤스,badimseu
vasiļevskis,바실레우스키스,basilreuseukiseu
edvīns,에드빈스,edeubinseu
bietags,비에탁스,bietagseu
jevgeņijs,예우게니스,yeugeniseu
saproņenko,사프로넨코,sapeuronenko
igors,이고르스,igoreuseu
vihrovs,비흐로우스,biheurouseu
mārtiņš,마르틴슈,mareutinsyu
rubenis,루베니스,rubeniseu
oskars,오스카르스,oseukareuseu
dankers,당케르스,dangkereuseu
viktors,빅토르스,bigtoreuseu
ščerbatihs,슈체르바티흐스,syucereubatiheuseu
indulis,인둘리스,indulriseu
emsis,엠시스,emsiseu
skrastiņš,스크라스틴슈,seukeuraseutinsyu
arājs,아라이스,araiseu
martins,마르틴스,mareutinseu
dukurs,두쿠르스,dukureuseu
moriss,모리스,moriseu
halle,할레,halre
