lech,레흐,reheu
wałęsa,바웬사,bawensa
donald,도날트,donalteu
tusk,투스크,tuseukeu
laurent,로랑,rorang
koscielny,코시엘니,kosielni
kaczyński,카친스키,kacinseuki
jerzy,예지,yeji
stuhr,스투흐르,seutuheureu
jan,얀,yan
frycz,프리치,peurici
franciszek,프란치셰크,peurancisyekeu
smuda,스무다,seumuda
julius,줄리어스,julrieoseu
axelrod,액설로드,aegseolrodeu
stanisław,스타니스와프,seutaniseuwapeu
wojciechowski,보이치에호프스키,boiciehopeuseuki
marek,마레크,marekeu
belka,벨카,belka
włodzimierz,브워지미에시,beuweojimiesi
cimoszewicz,치모셰비치,cimosyebici
buzek,부제크,bujekeu
natalia,나탈리아,natalria
avelon,아벨론,abelron
tomasz,토마시,tomasi
majewski,마예프스키,mayepeuseuki
maria,마리아,maria
skłodowskacurie,퀴리,kwiri
krzysztof,크시슈토프,keusisyutopeu
kieślowski,키에슬로프스키,kieseulropeuseuki
anni,아니,ani
friesingerpostma,프리징거포스트마,peurijinggeoposeuteuma
zbigniew,즈비그니에프,jeubigeuniepeu
boniek,보니에크,boniekeu
otylia,오틸리아,otilria
jędrzejczak,옝제이차크,yengjeicakeu
andrzej,안제이,anjei
wajda,바이다,baida
paul,폴,pol
baran,배런,baereon
thomas,토마스,tomaseu
godoj,고도이,godoi
wojciech,보이치에흐,boicieheu
jaruzelski,야루젤스키,yarujelseuki
paweł,파베우,pabeu
kukiz,쿠키스,kukiseu
stephanie,스테퍼니,seutepeoni
kwolek,퀄렉,kweolreg
eugen,오이겐,oigen
polanski,폴란스키,polranseuki
zamachowski,자마호프스키,jamahopeuseuki
anita,아니타,anita
włodarczyk,브워다르치크,beuweodareucikeu
lem,렘,rem
leszek,레셰크,resyekeu
miller,밀레르,milrereu
władysław,브와디스와프,beuwadiseuwapeu
raczkiewicz,라치키에비치,racikiebici
aleksander,알렉산데르,alregsandereu
kwaśniewski,크바시니에프스키,keubasiniepeuseuki
agata,아가타,agata
kulesza,쿨레샤,kulresya
adam,아담,adam
kokoszka,코코슈카,kokosyuka
wisława,비스와바,biseuwaba
szymborska,심보르스카,simboreuseuka
henryk,헨리크,henrikeu
sienkiewicz,시엔키에비치,sienkiebici
sławomir,스와보미르,seuwabomireu
mrożek,므로제크,meurojekeu
jarosław,야로스와프,yaroseuwapeu
waldemar,발데마르,baldemareu
pawlak,파블라크,pabeulrakeu
tadeusz,타데우시,tadeusi
mazowiecki,마조비에츠키,majobieceuki
kazimierz,카지미에시,kajimiesi
marcinkiewicz,마르친키에비치,mareucinkiebici
alexander,알렉산더,alregsandeo
granach,그라나흐,geuranaheu
mickiewicz,미츠키에비치,miceukiebici
raymond,레몽,remong
kopa,코파,kopa
leon,레온,reon
jogiches,요기헤스,yogiheseu
monika,모니카,monika
sozanska,조찬스카,jocanseuka
lestek,레스테크,reseutekeu
józef,유제프,yujepeu
gosławski,고스와프스키,goseuwapeuseuki
funk,풍크,pungkeu
harasiewicz,하라셰비치,harasyebici
miroslav,미로슬라프,miroseulrapeu
klose,클로제,keulroje
łukasz,우카시,ukasi
fabiański,파비안스키,pabianseuki
olek,알렉산데르,alregsandereu
krupa,크루파,keurupa
kamil,카밀,kamil
glik,글리크,geulrikeu
anna,안나,anna
jopek,요페크,yopekeu
małgorzata,마우고자타,maugojata
bela,벨라,belra
hanna,한나,hanna
suchocka,수호츠카,suhoceuka
kożuchowska,코주호프스카,kojuhopeuseuka
lukas,루카스,rukaseu
podolski,포돌스키,podolseuki
arkadiusz,아르카디우시,areukadiusi
milik,밀리크,milrikeu
bezprym,베스프림,beseupeurim
edward,에드바르트,edeubareuteu
strasburger,슈트라스부르거,syuteuraseubureugeo
marcel,마르첼,mareucel
reichranicki,라이히라니츠키,raihiraniceuki
halina,할리나,halrina
mlynkova,믈린코바,meulrinkoba
wałdoch,바우도흐,baudoheu
karol,카롤,karol
radek,라데크,radekeu
igo,이고,igo
sym,심,sim
benoît,브누아,beunua
mandelbrot,망델브로,mangdelbeuro
menachem,메나헴,menahem
begin,베긴,begin
bronisław,브로니스와프,beuroniseuwapeu
komorowski,코모로프스키,komoropeuseuki
ewa,에바,eba
gawryluk,가브릴루크,gabeurilrukeu
john,존,jon
tavares,타바레스,tabareseu
szarmach,샤르마흐,syareumaheu
krystian,크리스티안,keuriseutian
zimerman,지메르만,jimereuman
nawałka,나바우카,nabauka
ryłko,리우코,riuko
kutrzeba,쿠트셰바,kuteusyeba
jakub,야쿠프,yakupeu
świerczok,시비에르초크,sibiereucokeu
rob,랍,rab
van,밴,baen
dam,댐,daem
bolesław,볼레스와프,bolreseuwapeu
prus,프루스,peuruseu
błaszczykowski,브와슈치코프스키,beuwasyucikopeuseuki
roman,로만,roman
polański,폴란스키,polranseuki
adrian,아드리안,adeurian
mierzejewski,미에르제예프스키,miereujeyepeuseuki
skolimowski,스콜리모프스키,seukolrimopeuseuki
robert,로베르트,robereuteu
lewandowski,레반도프스키,rebandopeuseuki
irena,이레나,irena
sendlerowa,센들러,sendeulreo
zagajewski,자가예프스키,jagayepeuseuki
maciej,마치에이,maciei
szczęsny,슈쳉스니,syucengseuni
magdalena,마그달레나,mageudalrena
boczarska,보차르스카,bocareuseuka
skrodzki,스크로츠키,seukeuroceuki
samuel,사무엘,samuel
eilenberg,에일렌베르크,eilrenbereukeu
polony,폴로니,polroni
pilch,필흐,pilheu
sikorski,시코르스키,sikoreuseuki
georges,조르주,joreuju
charpak,샤르파크,syareupakeu
piszczek,피슈체크,pisyucekeu
penderecki,펜데레츠키,pendereceuki
przeworski,쉐보르스키,sweboreuseuki
witold,비톨트,bitolteu
lutosławski,루토스와프스키,rutoseuwapeuseuki
daniel,다니엘,daniel
libeskind,리버스킨드,ribeoseukindeu
sebastian,세바스티안,sebaseutian
boenisch,뵈니슈,boenisyu
szpilman,슈필만,syupilman
leonid,레오니트,reoniteu
hurwicz,후르비치,hureubici
geremek,게레메크,geremekeu
kowalewski,코발레프스키,kobalrepeuseuki
emmanuel,이매뉴얼,imaenyueol
olisadebe,올리사데베,olrisadebe
jadwiga,야드비가,yadeubiga
jankowskacieślak,얀코프스카치에실라크,yankopeuseukaciesilrakeu
spławaneyman,네이만,neiman
romain,로맹,romaeng
gary,가리,gari
zygmunt,지그문트,jigeumunteu
bauman,바우만,bauman
rafał,라파우,rapau
wolski,볼스키,bolseuki
janusz,야누시,yanusi
palikot,팔리코트,palrikoteu
kubica,쿠비카,kubika
marcin,마르친,mareucin
gortat,고르타트,goreutateu
bartosz,바르토시,bareutosi
kurek,쿠레크,kurekeu
mariusz,마리우시,mariusi
jop,요프,yopeu
nastula,나스툴라,naseutulra
dominika,도미니카,dominika
ostałowska,오스타워프스카,oseutaweopeuseuka
szczepański,슈체판스키,syucepanseuki
marian,마리안,marian
rejewski,레예프스키,reyepeuseuki
lepper,레페르,repereu
saganowski,사가노프스키,saganopeuseuki
ochab,오하프,ohapeu
olbiński,올빈스키,olbinseuki
dawid,다비트,dabiteu
kubacki,쿠바츠키,kubaceuki
stefan,스테판,seutepan
wyszyński,비신스키,bisinseuki
anders,안데르스,andereuseu
herbert,헤르베르트,hereubereuteu
foremniak,포렘니아크,poremniakeu
éric,에리크,erikeu
srecki,스레키,seureki
kuratowski,쿠라토프스키,kuratopeuseuki
siemomysł,시에모미수,siemomisu
dmitrij,드미트리,deumiteuri
chromin,흐로민,heuromin
bortkiewicz,보르트키에비치,boreuteukiebici
glemp,글렘프,geulrempeu
kamiński,카민스키,kaminseuki
czernystefańska,체르니스테판스카,cereuniseutepanseuka
łobodziński,워보진스키,weobojinseuki
katarzyna,카타지나,katajina
zielińska,지엘린스카,jielrinseuka
tomaszewski,토마셰프스키,tomasyepeuseuki
lisiecki,리시에츠키,risieceuki
mateusz,마테우시,mateusi
kusznierewicz,쿠슈니에레비치,kusyunierebici
grechuta,그레후타,geurehuta
tansman,탄스만,tanseuman
teodor,테오도르,teodoreu
leszetycki,레셰티츠키,resyeticeuki
grzegorz,그제고시,geujegosi
schetyna,스헤티나,seuhetina
piasecki,피아세츠키,piaseceuki
cybulski,치불스키,cibulseuki
zieliński,지엘린스키,jielrinseuki
artur,아르투르,areutureu
rodziński,로진스키,rojinseuki
preisner,프레이스네르,peureiseunereu
michał,미하우,mihau
chałbiński,차우빈스키,caubinseuki
dariusz,다리우시,dariusi
słowiński,슬로윈스키,seulrowinseuki
zapasiewicz,자파시에비치,japasiebici
braun,브라운,beuraun
zdzisław,지스와프,jiseuwapeu
beksiński,벡신스키,begsinseuki
acquafresca,아콰프레스카,akwapeureseuka
kusociński,쿠소친스키,kusocinseuki
stanisława,스타니스와바,seutaniseuwaba
walasiewicz,발라시에비치,balrasiebici
biedroń,비에드론,biedeuron
heller,헬레르,helrereu
zajonc,자욘스,jayonseu
mieczysław,미에치스와프,mieciseuwapeu
horszowski,호르초프스키,horeucopeuseuki
grudzień,그루지엔,geurujien
golański,골란스키,golranseuki
joe,조,jo
pavelski,파벨스키,pabelseuki
alain,알랭,alraeng
finkielkraut,핑켈크로트,pingkelkeuroteu
boris,보리스,boriseu
sawinkow,사빈코프,sabinkopeu
ernest,에른스트,ereunseuteu
wilimowski,빌리모프스키,bilrimopeuseuki
przybyszewski,프시비셰프스키,peusibisyepeuseuki
żewłakow,제브와코프,jebeuwakopeu
lipień,리피엔,ripien
piotr,피오트르,pioteureu
anderszewski,안데르셰프스키,andereusyepeuseuki
timothée,티모테,timote
kolodziejczak,콜로지에이차크,kolrojieicakeu
żyła,지와,jiwa
klempel,클렘펠,keulrempel
wszołek,프쇼웨크,peusyowekeu
radosław,라도스와프,radoseuwapeu
kuchciński,쿠흐친스키,kuheucinseuki
warzycha,바지하,bajiha
ryszard,리샤르트,risyareuteu
bolesławski,볼레스라브스키,bolreseurabeuseuki
agnieszka,아그니에슈카,ageuniesyuka
grochowska,그로호프스카,geurohopeuseuka
nâzım,나짐,najim
hikmet,히크메트,hikeumeteu
harald,하랄트,haralteu
konopka,코노프카,konopeuka
adamczyk,아담치크,adamcikeu
léon,레옹,reong
glovacki,글로바츠키,geulrobaceuki
krychowiak,크리호비아크,keurihobiakeu
łeonid,레오니드,reonideu
krawczuk,크라우추크,keuraucukeu
ignacy,이그나치,igeunaci
paderewski,파데레프스키,paderepeuseuki
wacław,바츠와프,baceuwapeu
niżyński,니진스키,nijinseuki
dudek,두데크,dudekeu
peszko,페슈코,pesyuko
świerczewski,시비에르체프스키,sibiereucepeuseuki
brzęczek,브젱체크,beujengcekeu
dolniak,돌니아크,dolniakeu
mark,마크,makeu
grudzielanek,그루질라넥,geurujilraneg
oscar,오스카르,oseukareu
lewicki,레비츠키,rebiceuki
natasza,나타샤,natasya
urbańska,우르반스카,ureubanseuka
frankowski,프란코프스키,peurankopeuseuki
doda,도다,doda
zahorski,자호르스키,jahoreuseuki
violetta,비올레타,biolreta
villas,빌라스,bilraseu
boruc,보루츠,boruceu
jacek,야체크,yacekeu
paździor,파지지오르,pajijioreu
kayah,카야,kaya
długopolski,두고폴스키,dugopolseuki
sucharski,수하르스키,suhareuseuki
alfred,알프레트,alpeureteu
tarski,타르스키,tareuseuki
radwańska,라드반스카,radeubanseuka
baszanowski,바샤노프스키,basyanopeuseuki
napieralski,나피에랄스키,napieralseuki
fajans,파얀스,payanseu
szymon,시몬,simon
ziółkowski,지우코프스키,jiukopeuseuki
jodłowiec,요드워비에츠,yodeuweobieceu
moriz,모리츠,moriceu
rosenthal,로젠탈,rojental
kapuściński,카푸시친스키,kapusicinseuki
kaczyńska,카친스카,kacinseuka
felix,펠릭스,pelrigseu
nussbaum,누스바움,nuseubaum
kalecki,칼레츠키,kalreceuki
florian,플로리안,peulrorian
znaniecki,즈나니에츠키,jeunanieceuki
pawlikowski,파블리코프스키,pabeulrikopeuseuki
carl,칼,kal
yastrzemski,야스트렘스키,yaseuteuremseuki
szewińska,셰빈스카,syebinseuka
pola,폴라,polra
negri,네그리,negeuri
izabella,이자벨라,ijabelra
scorupco,스코룹코,seukorubko
małachowski,마와호프스키,mawahopeuseuki
panufnik,파누프니크,panupeunikeu
błażej,브와제이,beuwajei
augustyn,아우구스틴,auguseutin
siatka,시아카,siaka
gowin,고빈,gobin
hugo,후고,hugo
steinhaus,스테인하우스,seuteinhauseu
sobiech,소비에흐,sobieheu
wiśniewska,비시니에프스카,bisiniepeuseuka
karolina,카롤리나,karolrina
wydra,비드라,bideura
rotblat,로트블랫,roteubeulraes
jagodzińska,야고진스카,yagojinseuka
odonic,오도니츠,odoniceu
kasprowicz,카스프로비치,kaseupeurobici
skrowaczewski,스크로바체프스키,seukeurobacepeuseuki
kołecki,코웨츠키,koweceuki
holland,홀란트,holranteu
grażyna,그라지나,geurajina
bacewicz,바체비치,bacebici
tara,타라,tara
lipinski,리핀스키,ripinseuki
jagiellonka,야기엘론카,yagielronka
figura,피구라,pigura
martha,마사,masa
stewart,스튜어트,seutyueoteu
justyna,유스티나,yuseutina
kowalczyk,코발치크,kobalcikeu
basia,바시아,basia
kinga,킨가,kinga
preis,프레이스,peureiseu
zawrotniak,자브로트니아크,jabeuroteuniakeu
więckiewicz,비에츠키에비치,bieceukiebici
stępiński,스텡핀스키,seutengpinseuki
anja,아냐,anya
rubik,루비크,rubikeu
edyta,에디타,edita
górniak,구르니아크,gureuniakeu
kamila,카밀라,kamilra
skolimowska,스콜리모프스카,seukolrimopeuseuka
bronisława,브로니스와바,beuroniseuwaba
niżyńska,니진스카,nijinseuka
