leandro,레안드루,reandeuru
damião,다미앙,damiang
joão,주앙,juang
carlos,카를루스,kareulruseu
dos,두스,duseu
santos,산투스,santuseu
thiago,치아구,ciagu
alcântara,알칸타라,alkantara
júlio,줄리우,julriu
baptista,바프티스타,bapeutiseuta
gisele,지젤,jijel
bündchen,번천,beonceon
paulo,파울루,paulru
coelho,코엘류,koelryu
luiz,루이스,ruiseu
adriano,아드리아누,adeurianu
helena,엘레나,elrena
ignez,이그네스,igeuneseu
nélson,넬송,nelsong
luís,루이스,ruiseu
kerchner,케르슈네르,kereusyunereu
ayrton,아이르통,aireutong
senna,세나,sena
valdir,발디르,baldireu
benedito,베네디토,benedito
pelé,펠레,pelre
zilda,지우다,jiuda
arns,아른스,areunseu
juninho,주니뉴,juninyu
pernambucano,페르남부카누,pereunambukanu
hulk,헐크,heolkeu
kléber,클레베르,keulrebereu
laube,라우비,raubi
pinheiro,피녜이루,pinyeiru
ricardo,히카르두,hikareudu
alexandre,알레샨드리,alresyandeuri
heitor,에이토르,eitoreu
villalobos,빌라로부스,bilrarobuseu
mário,마리우,mariu
de,지,ji
andrade,안드라지,andeuraji
oscar,오스카르,oseukareu
niemeyer,니에메예르,niemeyereu
glória,글로리아,geulroria
pires,피리스,piriseu
alessandra,알레산드라,alresandeura
ambrósio,암브로지우,ambeurojiu
adriana,아드리아나,adeuriana
lima,리마,rima
pato,파투,patu
donizete,도니제치,donijeci
oliveira,올리베이라,olribeira
emboaba,임보아바,imboaba
júnior,주니오르,junioreu
zinho,지뉴,jinyu
felipe,펠리피,pelripi
melo,멜루,melru
bebeto,베베투,bebetu
bernardo,베르나르두,bereunareudu
fernandes,페르난지스,pereunanjiseu
da,다,da
silva,시우바,siuba
ramires,하미리스,hamiriseu
carolina,카롤리나,karolrina
dieckmann,지에크망,jiekeumang
césar,세자르,sejareu
soares,소아리스,soariseu
espíndola,이스핀돌라,iseupindolra
kevin,케빈,kebin
kurányi,쿠라니,kurani
mano,마누,manu
menezes,메네지스,menejiseu
jorge,조르즈,joreujeu
amado,아마두,amadu
havelange,아벨란제,abelranje
zizinho,지지뉴,jijinyu
nilmar,니우마르,niumareu
elano,일라누,ilranu
éverton,이베르통,ibereutong
reinaldo,헤이나우두,heinaudu
cruz,크루스,keuruseu
willian,윌리앙,wilriang
borges,보르지스,boreujiseu
montera,몬테라,montera
edmilson,에드미우송,edeumiusong
deodoro,데오도루,deodoru
fonseca,폰세카,ponseka
neymar,네이마르,neimareu
juan,주앙,juang
silveira,시우베이라,siubeira
cléo,클레우,keulreu
nathalia,나탈리아,natalria
dill,딜,dil
isabeli,이자벨리,ijabelri
fontana,폰타나,pontana
juscelino,주셀리누,juselrinu
kubitschek,쿠비체크,kubicekeu
júlia,줄리아,julria
lemmertz,레멘츠,remenceu
massa,마사,masa
dida,지다,jida
rafael,하파에우,hapaeu
pereira,페레이라,pereira
nílton,니우통,niutong
gilberto,지우베르투,jiubereutu
gustavo,구스타부,guseutabu
kuerten,키르텡,kireuteng
fumagalli,푸마갈리,pumagalri
goulart,굴라르,gulrareu
inácio,이나시우,inasiu
lula,룰라,rulra
benny,베니,beni
feilhaber,페일하버,peilhabeo
getúlio,제툴리우,jetulriu
vargas,바르가스,bareugaseu
aílton,아이우통,aiutong
gonçalves,곤사우베스,gonsaubeseu
grafite,그라피치,geurapici
alberto,아우베르투,aubereutu
parreira,파헤이라,paheira
josé,조제,joje
ferreira,페헤이라,peheira
filho,필류,pilryu
motta,모타,mota
jairzinho,자이르지뉴,jaireujinyu
tite,치치,cici
dilma,지우마,jiuma
rousseff,호세프,hosepeu
freire,프레이리,peureiri
giovane,지오바니,jiobani
élber,에우베르,eubereu
jorginho,조르지뉴,joreujinyu
putinatti,푸틴나티,putinnati
gil,지우,jiu
ben,벵,beng
jor,조르,joreu
figueiredo,피게이레두,pigeiredu
fabiano,파비아누,pabianu
dias,지아스,jiaseu
euller,이울레르,iulrereu
dunga,둥가,dungga
robert,호베르트,hobereuteu
almeida,아우메이다,aumeida
vilém,빌렘,bilrem
flusser,플루세르,peulrusereu
denílson,데니우송,deniusong
neves,네베스,nebeseu
ronald,로널드,roneoldeu
golias,골리앗,golrias
sandro,산드루,sandeuru
cardoso,카르도주,kareudoju
correia,코헤이아,koheia
eder,에데르,edereu
citadin,시타징,sitajing
martins,마르칭스,mareucingseu
sammir,사미르,samireu
zeca,제카,jeka
pagodinho,파고딩요,pagodingyo
marcos,마르쿠스,mareukuseu
david,다비드,dabideu
rubens,후벵스,hubengseu
barrichello,바히셸루,bahisyelru
liedson,리에드송,riedeusong
fabio,파비우,pabiu
djalminha,자우밍야,jaumingya
zico,지쿠,jiku
edu,에두,edu
marangon,마랑공,maranggong
dante,단치,danci
amaral,아마라우,amarau
silas,실라스,silraseu
carmen,카르멩,kareumeng
miranda,미란다,miranda
alex,알레스,alreseu
rodrigo,호드리구,hodeurigu
costa,코스타,koseuta
oséas,오세아스,oseaseu
marcel,마르세우,mareuseu
augusto,아우구스투,auguseutu
ortolan,오르톨랑,oreutolrang
tartá,타르타,tareuta
fábio,파비우,pabiu
aurélio,아우렐리우,aurelriu
andré,안드레,andeure
moritz,모리츠,moriceu
antônio,안토니우,antoniu
lucas,루카스,rukaseu
piazón,피아종,piajong
vera,베라,bera
fischer,피셔,pisyeo
eduardo,에두아르두,eduareudu
francisco,프란시스쿠,peuransiseuku
neto,네투,netu
almir,아우미르,aumireu
souza,소자,soja
fraga,프라가,peuraga
daniel,다니에우,danieu
alves,아우베스,aubeseu
zé,제,je
roberto,호베르투,hobereutu
cacau,카카우,kakau
adhemar,아데마르,ademareu
rocha,호샤,hosya
elkeson,이우케종,iukejong
robinho,호비뉴,hobinyu
barbosa,바르보자,bareuboja
astrud,아스트루드,aseuteurudeu
ivete,이베치,ibeci
sangalo,상갈루,sanggalru
emerson,이메르송,imereusong
sheik,세이크,seikeu
rivellino,히벨리누,hibelrinu
leiva,레이바,reiba
maurren,마우렌,mauren
maggi,마지,maji
alice,앨리스,aelriseu
braga,브라가,beuraga
morena,모레나,morena
baccarin,바카링,bakaring
lateef,라티프,ratipeu
crowder,크로더,keurodeo
cicinho,시시뉴,sisinyu
jordana,조대나,jodaena
brewster,브루스터,beuruseuteo
ana,아나,ana
paula,파울라,paulra
arósio,아로지우,arojiu
izabel,이자베우,ijabeu
chico,시쿠,siku
mendes,멘지스,menjiseu
sarah,사라,sara
sebastião,세바스티앙,sebaseutiang
lazaroni,라자로니,rajaroni
amauri,아마우리,amauri
carvalho,카르발류,kareubalryu
maicon,마이콩,maikong
douglas,도글라스,dogeulraseu
sisenando,시제난두,sijenandu
romário,호마리우,homariu
gal,가우,gau
cafu,카푸,kapu
caroline,카롤리니,karolrini
trentini,트렌치니,teurencini
rômulo,호물루,homulru
monteiro,몬테이루,monteiru
artur,아르투르,areutureu
moraes,모라이스,moraiseu
bismarck,비스마르크,biseumareukeu
barreto,바레투,baretu
faria,파리아,paria
garrincha,가린샤,garinsya
marina,마리나,marina
sônia,소냐,sonya
floriano,플로리아누,peulrorianu
peixoto,페이쇼투,peisyotu
beatriz,베아트리스,beateuriseu
barros,바후스,bahuseu
danilo,다닐루,danilru
gabriel,가브리에우,gabeurieu
oswaldo,오즈와우두,ojeuwaudu
toquinho,토키뉴,tokinyu
lachowski,라쇼우스키,rasyouseuki
joubert,조베르트,jobereuteu
araújo,아라우주,arauju
márcio,마르시우,mareusiu
rodrigues,호드리게스,hodeurigeseu
jennifer,제니퍼,jenipeo
o'neill,오닐,onil
cristiane,크리스치아니,keuriseuciani
rozeira,호제이라,hojeira
sarney,사르네이,sareunei
raquel,하케우,hakeu
zimmermann,지메르망,jimereumang
tabata,다바타,dabata
dracena,드라세나,deurasena
roque,호케,hoke
hermeto,에르메투,ereumetu
pascoal,파스코아우,paseukoau
arthur,아르투르,areutureu
zanetti,자네치,janeci
sérgio,세르지우,sereujiu
alfie,앨프리드,aelpeurideu
enoch,이넉,ineog
roniéliton,호니엘리통,honielritong
victor,빅투르,bigtureu
bagy,바기,bagi
buarque,부아르케,buareuke
holanda,올란다,olranda
negrão,네그랑,negeurang
ânderson,안데르송,andereusong
miguel,미겔,migel
polga,포우가,pouga
fabrício,파브리시우,pabeurisiu
werdum,베르둥,bereudung
moreira,모레이라,moreira
ribeiro,히베이루,hibeiru
hickmann,이크망,ikeumang
renato,헤나투,henatu
