alexandra,알렉산드라,alregsandeura
stan,스탄,seutan
ikechi,이케치,ikeci
anya,안야,anya
inna,이나,ina
george,제오르제,jeoreuje
emil,에밀,emil
palade,펄레이드,peolreideu
nechita,네치타,necita
liviu,리비우,ribiu
librescu,리브레스쿠,ribeureseuku
dan,단,dan
balan,벌란,beolran
cristian,크리스티안,keuriseutian
mungiu,문지우,munjiu
herta,헤르타,hereuta
müller,뮐러,mwilreo
ion,이온,ion
antonescu,안토네스쿠,antoneseuku
simona,시모나,simona
halep,할레프,halrepeu
mihai,미하이,mihai
răzvan,러즈반,reojeuban
ungureanu,운구레아누,ungureanu
iolanda,이올란다,iolranda
balaș,발라슈,balrasyu
nadia,나디아,nadia
comăneci,코마네치,komaneci
elena,엘레나,elrena
ceaușescu,차우셰스쿠,causyeseuku
octavian,옥타비안,ogtabian
goga,고가,goga
gheorghe,게오르게,georeuge
popescu,포페스쿠,popeseuku
raț,라츠,raceu
nicolae,니콜라에,nikolrae
timofti,티모프티,timopeuti
sergiu,세르지우,sereujiu
celibidache,첼리비다케,celribidake
traian,트라이안,teuraian
băsescu,버세스쿠,beoseseuku
regina,엘리사베타,elrisabeta
elisabeta,아,a
a,로므니에이,romeuniei
greciei,왕녀,wangnyeo
marian,마리안,marian
aliuță,알리우차,alriuca
cătălina,커털리나,keoteolrina
ponor,포노르,ponoreu
dinu,디누,dinu
lipatti,리파티,ripati
ștefan,슈테판,syutepan
radu,라두,radu
tristan,트리스탕,teuriseutang
tzara,차라,cara
andreo,체흐,ceheu
cseh,언도르,eondoreu
laura,라우라,raura
badea,바데아,badea
eugen,에우젠,eujen
ionescu,이오네스쿠,ioneseuku
györgy,죄르지,joereuji
kurtág,쿠르탁,kureutag
lavinia,라비니아,rabinia
miloșovici,밀로쇼비치,milrosyobici
monica,모니카,monika
roșu,로슈,rosyu
anamaria,아나마리아,anamaria
marinca,마린카,marinka
alma,알마,alma
gluck,글루크,geulrukeu
gabriela,가브리엘라,gabeurielra
szabó,사보,sabo
aurelia,아우렐리아,aurelria
dobre,도브레,dobeure
boc,보크,bokeu
constantinescu,콘스탄티네스쿠,konseutantineseuku
ciprian,치프리안,cipeurian
marica,마리카,marika
petru,페트루,peteuru
groza,그로자,geuroja
edward,에드워드,edeuweodeu
maya,마야,maya
corneliu,코르넬리우,koreunelriu
zelea,젤레아,jelrea
codreanu,코드레아누,kodeureanu
chivu,키부,kibu
stoica,스토이카,seutoika
dudu,두두,dudu
georgescu,제오르제스쿠,jeoreujeseuku
paul,파울,paul
celan,첼란,celran
văcăroiu,버커로이우,beokeoroiu
angela,안젤라,anjelra
gheorghiu,게오르기우,georeugiu
bogdan,보그단,bogeudan
lobonț,로본츠,robonceu
ana,아나,ana
pauker,파우커,paukeo
vlad,블라드,beulradeu
filat,필라트,pilrateu
victor,빅토르,bigtoreu
ponta,폰타,ponta
sorin,소린,sorin
ghionea,기오네아,gionea
alexandru,알렉산드루,alregsandeuru
averescu,아베레스쿠,abereseuku
maia,마이아,maia
morgenstern,모르겐스테른,moreugenseutereun
sandra,산드라,sandeura
izbașa,이즈바샤,ijeubasya
hagi,하지,haji
jean,진,jin
negulesco,네글레스코,negeulreseuko
maria,마리아,maria
lara,라라,rara
ecaterina,에카테리나,ekaterina
iliescu,일리에스쿠,ilrieseuku
adrian,아드리안,adeurian
neaga,네아가,neaga
brânză,포페스쿠,popeseuku
paula,파울라,paulra
ivan,이반,iban
doina,도이나,doina
melinte,멜린테,melrinte
harvey,하비,habi
keitel,카이텔,kaitel
zamfir,잠피르,jampireu
amânar,아므나르,ameunareu
blandiana,블란디아나,beulrandiana
linda,린다,rinda
baros,바로스,baroseu
gabriel,가브리엘,gabeuriel
tamaș,타마슈,tamasyu
viorel,비오렐,biorel
moldovan,몰도반,moldoban
seling,셀린그,selringeu
daniela,다니엘라,danielra
silivaș,실리바슈,silribasyu
mircea,미르체아,mireucea
lucescu,루체스쿠,ruceseuku
dinică,디니커,dinikeo
daniel,다니엘,daniel
niculae,니쿨라에,nikulrae
constantina,콘스탄티나,konseutantina
dițătomescu,디처,diceo
enescu,에네스쿠,eneseuku
cioran,시오랑,siorang
mutu,무투,mutu
pintea,핀테아,pintea
pavel,파벨,pabel
robert,로베르트,robereuteu
steinberg,스테인베르그,seuteinbereugeu
walter,발테르,baltereu
zenga,젱가,jengga
ghimpu,김푸,gimpu
cosmin,코스민,koseumin
contra,콘트라,konteura
petre,페트레,peteure
becheru,베체루,beceru
gheorghiudej,게오르기우데지,georeugiudeji
hermann,헤르만,hereuman
oberth,오베르트,obereuteu
gray,그레이,geurei
stefan,슈테판,syutepan
hell,헬,hel
diana,디아나,diana
mocanu,모카누,mokanu
călin,컬린,keolrin
popescutăriceanu,포페스쿠터리체아누,popeseukuteoriceanu
maricica,마리시카,marisika
puică,푸이커,puikeo
mihaela,미하엘라,mihaelra
peneș,페네슈,penesyu
camelia,카멜리아,kamelria
potec,포테크,potekeu
lucinschi,루친스키,rucinseuki
maurer,마우레르,maurereu
florin,플로린,peulrorin
răducioiu,러두치오이우,reoducioiu
ilie,일리에,ilrie
pițurcă,피추르커,picureukeo
cociș,코치슈,kocisyu
lucian,루치안,rucian
blaga,블라가,beulraga
dorin,도린,dorin
goian,고이안,goian
marius,마리우스,mariuseu
dănălache,더널라케,deoneolrake
urzică,우르지커,ureujikeo
pintilii,핀틸리,pintilri
năstase,너스타세,neoseutase
viorica,비오리카,biorika
viscopoleanu,비스코폴레아누,biseukopolreanu
săpunaru,서푸나루,seopunaru
dobrin,도브린,dobeurin
jude,주데,jude
kovács,코바치,kobaci
nicu,니쿠,niku
eduard,에두아르드,eduareudeu
pană,파너,paneo
gardoș,가르도슈,gareudosyu
zalomir,잘로미르,jalromireu
tiberiu,티베리우,tiberiu
dolniceanu,돌니체아누,dolniceanu
draica,드라이카,deuraika
dică,디커,dikeo
rusu,루수,rusu
chipciu,킵치우,kibciu
drăguș,드라구스,deuraguseu
dorinel,도리넬,dorinel
munteanu,문테아누,munteanu
geoană,제오아너,jeoaneo
berceanu,베르체아누,bereuceanu
alfred,알프레드,alpeuredeu
eisenbeisser,에젠베이저,ejenbeijeo
eric,에리크,erikeu
