нюша,뉴샤,nyusha,nyusya
тимати,티마티,timati,timati
колосс,콜로서스,koloss,kolroseoseu
хамелеон,카멜레온,hameleon,kamelreon
земфира,젬피라,zemfira,jempira
носорог,라이노,nosorog,raino
алсу,알수,alsu,alsu
наташа,나타샤,natasha,natasya
королёва,코롤료바,korolyova,korolryoba
пелагея,펠라게야,pelageya,pelrageya
россияне,로시야네,rossiyane,rosiyane
валерия,발레리야,valeriya,balreriya
витас,비타스,vitas,bitaseu
мэджик,매직,medzhik,maejig
джиган,지간,dzhigan,jigan
тутта,투타,tutta,tuta
ларсен,라르센,larsen,rareusen
малком,마우콩,malkom,maukong
настя,나스탸,nastya,naseutya
стен,스텐,sten,seuten
манижа,마니자,manizha,manija
лия,리야,liya,riya
сильвер,실버,silver,silbeo
россия,러시아,rossiya,reosia
новосибирск,노보시비르스크,novosibirsk,nobosibireuseukeu
автоваз,아브토바즈,avtovaz,abeutobajeu
йошкарола,요시카르올라,yoshkarola,yosikareuolra
москва,모스크바,moskva,moseukeuba
санктпетербург,상트페테르부르크,sanktpeterburg,sangteupetereubureukeu
смоленск,스몰렌스크,smolensk,seumolrenseukeu
абакан,아바칸,abakan,abakan
екатеринбург,예카테린부르크,ekaterinburg,yekaterinbureukeu
ярославль,야로슬라블,yaroslavl,yaroseulrabeul
самара,사마라,samara,samara
кострома,코스트로마,kostroma,koseuteuroma
уйгуры,위구르족,uygury,wigureujog
моздок,모즈도크,mozdok,mojeudokeu
смидович,스미도비치,smidovich,seumidobici
чита,치타,chita,cita
тверь,트베리,tver,teuberi
иваново,이바노보,ivanovo,ibanobo
пенза,펜자,penza,penja
рязань,랴잔,ryazan,ryajan
зеленоградск,젤레노그라츠크,zelenogradsk,jelrenogeuraceukeu
казань,카잔,kazan,kajan
омск,옴스크,omsk,omseukeu
челябинск,첼랴빈스크,chelyabinsk,celryabinseukeu
чебоксары,체복사리,cheboksary,cebogsari
ростовнадону,로스토프나도누,rostovnadonu,roseutopeunadonu
брянск,브랸스크,bryansk,beuryanseukeu
тула,툴라,tula,tulra
уфа,우파,ufa,upa
калининградский,비스툴라,kaliningradskiy,biseutulra
залив,석호,zaliv,seogho
зеленогорск,젤레노고르스크,zelenogorsk,jelrenogoreuseukeu
ардон,아르돈,ardon,areudon
куршский,쿠로니아,kurshskiy,kuronia
орск,오르스크,orsk,oreuseukeu
мир,미르,mir,mireu
торопец,토로페츠,toropec,toropeceu
толбачик,톨바치크,tolbachik,tolbacikeu
московский,모스크바,moskovskiy,moseukeuba
метрополитен,지하철,metropoliten,jihaceol
байкал,바이칼호,baykal,baikalho
волгоград,볼고그라드,volgograd,bolgogeuradeu
пермь,페름,perm,pereum
калуга,칼루가,kaluga,kalruga
орёл,오룔,oryol,oryol
ульяновск,울리야놉스크,ulyanovsk,ulriyanobseukeu
виштынецкое,비슈티티스호,vishtyneckoe,bisyutitiseuho
красноярск,크라스노야르스크,krasnoyarsk,keuraseunoyareuseukeu
курск,쿠르스크,kursk,kureuseukeu
балтийск,발티스크,baltiysk,baltiseukeu
советск,소베츠크,sovetsk,sobeceukeu
черняховск,체르냐홉스크,chernyahovsk,cereunyahobseukeu
гвардейск,그바르데이스크,gvardeysk,geubareudeiseukeu
неман,네만,neman,neman
владивосток,블라디보스토크,vladivostok,beulradiboseutokeu
мариинск,마린스크,mariinsk,marinseukeu
олонец,올로네츠,olonec,olroneceu
камчатка,캄차카반도,kamchatka,kamcakabando
томск,톰스크,tomsk,tomseukeu
курильское,오야시오,kurilskoe,oyasio
течение,해류,techenie,haeryu
аэрофлот,아에로플로트,aeroflot,aeropeulroteu
тюмень,튜멘,tyumen,tyumen
светлый,스베틀리,svetlyy,seubeteulri
гусев,구세프,gusev,gusepeu
белгород,벨고로드,belgorod,belgorodeu
тольятти,톨리야티,tolyatti,tolriyati
тольяттиазот,톨리야티아조,tolyattiazot,tolriyatiajo
липецк,리페츠크,lipeck,ripeceukeu
краснодар,크라스노다르,krasnodar,keuraseunodareu
сибирские,시베리아,sibirskie,siberia
траппы,트랩,trappy,teuraeb
калининград,칼리닌그라드,kaliningrad,kalriningeuradeu
короча,코로차,korocha,koroca
кызыл,크즐,kyzyl,keujeul
элиста,옐리스타,elista,yelriseuta
кемерово,케메로보,kemerovo,kemerobo
шебекино,셰베키노,shebekino,syebekino
республика,알타이,respublika,altai
алтай,공화국,altay,gonghwagug
тамбов,탐보프,tambov,tambopeu
архангельск,아르한겔스크,arhangelsk,areuhangelseukeu
майкоп,마이코프,maykop,maikopeu
мурманск,무르만스크,murmansk,mureumanseukeu
лапландия,사프미,laplandiya,sapeumi
горноалтайск,고르노알타이스크,gornoaltaysk,goreunoaltaiseukeu
барнаул,바르나울,barnaul,bareunaul
хантымансийск,한티만시스크,hantymansiysk,hantimansiseukeu
астрахань,아스트라한,astrahan,aseuteurahan
петрозаводск,페트로자보츠크,petrozavodsk,peteurojaboceukeu
вологда,볼로그다,vologda,bolrogeuda
салехард,살레하르트,salehard,salrehareuteu
череповец,체레포베츠,cherepovec,cerepobeceu
хабаровск,하바롭스크,habarovsk,habarobseukeu
дзержинск,제르진스크,dzerzhinsk,jereujinseukeu
дмитриев,드미트리예프리고프스키,dmitriev,deumiteuriyepeurigopeuseuki
беловежские,벨라베자,belovezhskie,belrabeja
соглашения,조약,soglasheniya,joyag
внешняя,러시아의,vneshnyaya,reosiayi
политика,대외,politika,daeoe
россии,목록,rossii,mogrog
нарьянмар,나리얀마르,naryanmar,nariyanmareu
теракт,모스크바,terakt,moseukeuba
на,극장,na,geugjang
дубровке,인질극,dubrovke,injilgeug
коми,공화국,komi,gonghwagug
надым,나딤,nadym,nadim
тотьма,토트마,totma,toteuma
сыктывкар,식팁카르,syktyvkar,sigtibkareu
иркутск,이르쿠츠크,irkutsk,ireukuceukeu
железногорск,젤레즈노고르스크,zheleznogorsk,jelrejeunogoreuseukeu
евразийская,유라시아,evraziyskaya,yurasia
степь,스텝,step,seuteb
уланудэ,울란우데,ulanude,ulranude
курильские,쿠릴,kurilskie,kuril
острова,제도,ostrova,jedo
псков,프스코프,pskov,peuseukopeu
якутск,야쿠츠크,yakutsk,yakuceukeu
сызрань,시즈란,syzran,sijeuran
махачкала,마하치칼라,mahachkala,mahacikalra
ставрополь,스타브로폴,stavropol,seutabeuropol
грозный,그로즈니,groznyy,geurojeuni
единая,통합,edinaya,tonghab
лакинск,라킨스크,lakinsk,rakinseukeu
благовещенск,블라고베셴스크,blagoveshchensk,beulragobesyenseukeu
новая,노바야제믈랴,novaya,nobayajemeulrya
земля,제도,zemlya,jedo
магас,마가스,magas,magaseu
северная,북오세티야,severnaya,bugosetiya
осетия,공화국,osetiya,gonghwagug
владикавказ,블라디캅카스,vladikavkaz,beulradikabkaseu
кировск,키롭스크,kirovsk,kirobseukeu
кировочепецк,키로보체페츠크,kirovochepeck,kirobocepeceukeu
кировград,키로브그라드,kirovgrad,kirobeugeuradeu
киренск,키렌스크,kirensk,kirenseukeu
киржач,키르자치,kirzhach,kireujaci
киров,키로프,kirov,kiropeu
киреевск,키레옙스크,kireevsk,kireyebseukeu
кинешма,키네시마,kineshma,kinesima
убсунур,우브스호,ubsunur,ubeuseuho
севастополь,세바스토폴,sevastopol,sebaseutopol
дальнегорск,달네고르스크,dalnegorsk,dalnegoreuseukeu
гатчина,가치나,gatchina,gacina
нальчик,날치크,nalchik,nalcikeu
кисловодск,키슬로보츠크,kislovodsk,kiseulroboceukeu
климовск,클리몹스크,klimovsk,keulrimobseukeu
клин,클린,klin,keulrin
клинцы,클린치,klincy,keulrinci
яндекс,얀덱스,yandeks,yandegseu
черкесск,체르케스크,cherkessk,cereukeseukeu
саратов,사라토프,saratov,saratopeu
кольчугино,콜추기노,kolchugino,kolcugino
колпино,콜피노,kolpino,kolpino
сахалин,사할린섬,sahalin,sahalrinseom
новокузнецк,노보쿠즈네츠크,novokuzneck,nobokujeuneceukeu
волчанск,볼찬스크,volchansk,bolcanseukeu
братья,스트루가츠키,bratya,seuteurugaceuki
стругацкие,형제,strugackie,hyeongje
козельск,코젤스크,kozelsk,kojelseukeu
когалым,코갈림,kogalym,kogalrim
оренбург,오렌부르크,orenburg,orenbureukeu
биробиджан,비로비잔,birobidzhan,birobijan
российскофранцузские,러시아프랑스,rossiyskofrancuzskie,reosiapeurangseu
отношения,관계,otnosheniya,gwangye
российская,러시아,rossiyskaya,reosia
академия,과학,akademiya,gwahag
наук,아카데미,nauk,akademi
академгородок,아카뎀고로도크,akademgorodok,akademgorodokeu
козьмодемьянск,코지모데미얀스크,kozmodemyansk,kojimodemiyanseukeu
кола,콜라,kola,kolra
кологрив,콜로그리프,kologriv,kolrogeuripeu
саранск,사란스크,saransk,saranseukeu
судак,수다크,sudak,sudakeu
южносахалинск,유즈노사할린스크,yuzhnosahalinsk,yujeunosahalrinseukeu
пушкин,푸시킨,pushkin,pusikin
сибирь,시베리아,sibir,siberia
крым,크림반도,krym,keurimbando
комсомольск,콤소몰스크,komsomolsk,komsomolseukeu
комсомольскнаамуре,콤소몰스크나아무레,komsomolsknaamure,komsomolseukeunaamure
конаково,코나코보,konakovo,konakobo
ижевск,이젭스크,izhevsk,ijebseukeu
кондопога,콘도포가,kondopoga,kondopoga
вязьма,뱌지마,vyazma,byajima
