álvaro,阿尔瓦罗
gaxiola,加克西奥拉
andrépierre,安德雷皮埃尔
gignac,吉尼亚克
gerónimo,杰罗尼莫
frida,芙烈达
kahlo,卡萝
pável,帕韦尔
pardo,帕尔多
plutarco,普卢塔科
elías,埃利亚斯
calles,卡列斯
héctor,赫克托
moreno,莫雷诺
jorge,豪尔赫
campos,坎波斯
lila,利拉
downs,唐斯
lorena,洛雷娜
ochoa,奥乔亚
porfirio,波菲里奥
díaz,迪亚斯
lupe,卢佩
vélez,贝莱斯
alberto,阿尔贝托
valdés,巴尔德斯
ramos,拉莫斯
carlos,卡洛斯
fuentes,富恩特斯
norberto,诺伯
rivera,里维拉
carrera,卡雷拉
lucas,卢卡斯
barrios,巴里奥斯
josé,何塞
lópez,洛佩斯
portillo,波蒂略
katy,凯蒂
jurado,胡拉多
antonio,安东尼奥
jasso,哈索
adolfo,阿道弗
bautista,包蒂斯塔
pedro,佩德罗
lascuráin,拉斯库赖因
manuel,曼努埃尔
ávila,阿维拉
camacho,卡马乔
andrés,安德烈斯
guardado,瓜尔达多
mario,马里奥
molina,莫利纳
vicente,比森特
guerrero,格雷罗
miguel,米格尔
alemán,阿莱曼
esteban,埃斯特万
gutiérrez,古铁雷斯
diego,迭戈
luna,卢纳
jared,哈雷德
borgetti,博尔格蒂
guadalupe,瓜达卢佩
victoria,维多利亚
venustiano,贝努斯蒂亚诺
carranza,卡兰萨
edith,埃迪特
gonzález,冈萨雷斯
carbajal,卡瓦哈尔
pablo,巴勃罗
barrera,巴雷拉
omar,奥马尔
bravo,布拉沃
gerardo,赫拉尔多
torrado,托拉多
alfonso,阿方索
cuarón,柯朗
javier,哈维尔
lozano,洛萨诺
barragán,巴拉甘
león,莱昂
trotski,托洛茨基
ricardo,里卡多
osorio,奥索里奥
david,大卫
alfaro,阿尔法罗
siqueiros,西凯罗斯
efraín,埃弗拉因
juárez,华雷斯
gustavo,古斯塔沃
ordaz,奥尔达斯
magdaleno,马格达莱诺
mercado,梅尔卡多
joaquín,华金
de,德
herrera,埃雷拉
francisco,弗朗西斯科
carvajal,卡瓦哈尔
sebastián,塞巴斯蒂安
lerdo,莱尔多
tejada,特哈达
dolores,多洛雷斯
heredia,埃雷迪亚
ximena,希梅纳
navarrete,纳瓦雷特
oscar,奥斯卡
pérez,佩雷斯
rojas,罗哈斯
horacio,奥拉西奥
salgado,萨尔加多
slim,斯利姆
adrián,阿德里安
chávez,查韦斯
israel,伊斯雷尔
castro,卡斯特罗
nezahualcóyotl,内萨瓦尔科约特尔
bora,维利博尔
milutinović,米卢蒂诺维奇
obrador,奥夫拉多尔
ruiz,鲁伊斯
cortines,科尔蒂内斯
emiliano,埃米利亚诺
zapata,萨帕塔
lázaro,拉萨罗
cárdenas,卡德纳斯
victoriano,维多利亚诺
huerta,韦尔塔
clemente,克莱门特
orozco,奥罗斯科
thalía,坦莉雅
enrique,恩里克
peña,培尼亚
nieto,涅托
ernesto,埃内斯托
zedillo,塞迪略
emilio,埃米利奥
portes,波特斯
gil,吉尔
montalbán,蒙塔尔万
silvestre,西尔维斯特里
revueltas,雷维尔塔斯
vela,贝拉
octavio,奥克塔维奥
paz,帕斯
jessica,杰西卡
alba,阿尔瓦
sandra,桑德拉
cisneros,西斯内罗斯
maría,玛丽亚
santos,桑托斯
gorrostieta,戈罗斯蒂埃塔
salazar,萨拉萨尔
del,德尔
río,里奥
mateos,马特奥斯
bernardo,贝尔纳多
segura,塞古拉
gabriel,加布里埃尔
quadri,夸德里
reygadas,雷加达斯
anthony,安东尼
quinn,奎恩
hubertus,胡贝图斯
von,冯
hohenlohe,霍恩洛厄
rafael,拉斐尔
márquez,马尔克斯
rolando,罗兰度
villazón,维拉臣
sergio,塞尔吉奥
