マツモトユキヒロ,松本行弘,matsumotoyukihiro
セッシュウ,雪舟,sesshuu
ミヤコハルミ,都春美,miyakoharumi
ブリキ,马口铁,buriki
マド,窗,mado
ミチオ,道雄,michio
タマキノゾム,环望,tamakinozomu
ビートタケシ,北野武,bītotakeshi
ナツサイ,夏菜,natsusai
クルルヤナ,枢梁,kururuyana
シュンカン,俊宽,shunkan
アキヒト,明仁,akihito
アルベルト,阿尔韦托,aruberuto
フジモリ,藤森,fujimori
タマヒ,珠妃,tamahi
キョウマチコ,京町子,kyoumachiko
トクヒトシ,德仁,tokuhitoshi
リキヨシ,李清,rikiyoshi
アダチタカシ,安达充,adachitakashi
マサムネ,正宗,masamune
カシワクラツトム,柏仓努,kashiwakuratsutomu
シンゼイ,信西,shinzei
クボタマコト,久保田诚,kubotamakoto
ダンレイ,檀丽,danrei
モリタケシ,森赳,moritakeshi
ハルナアイ,春菜爱,harunaai
アズマキヨヒコ,东清彦,azumakiyohiko
ジエン,慈圆,jien
チャフトシ,茶太,chafutoshi
ホウネン,法然,hounen
ローラ,劳拉,rōra
シギハラ,鴫原,shigihara
シンラン,亲鸾,shinran
アヤカ,绚香,ayaka
リョウベン,良弁,ryouben
ニシアマネ,西周,nishiamane
ヤマト,前田大和,yamato
ミチアキ,道昭,michiaki
チャールズ,查尔斯,chāruzu
ペダーセン,佩德森,pedāsen
キャリーパミュパミュ,凯莉葩缪葩缪,kyarīpamyupamyu
ハラタイラ,原平,harataira
サカシゲル,坂茂,sakashigeru
ソウギ,宗祇,sougi
エンニン,圆仁,ennin
ヨドドノ,淀殿,yododono
セミマル,蝉丸,semimaru
キセン,喜撰,kisen
シュレッダー,施莱德,shureddā
ダルビッシュユウ,达比修有,darubisshuyuu
クマイモトコ,熊井统子,kumaimotoko
リョウゲン,良源,ryougen
コナミカナタ,湖南彼方,konamikanata
ルールーコウ,如如哥,rūrūkou
ミノリコウ,稔幸,minorikou
ホッタユミ,堀田由美,hottayumi
ゴハル,松村吴春,goharu
アカホリサトル,赤堀悟,akahorisatoru
モリアキラ,森章,moriakira
カンザキヒロ,神崎广,kanzakihiro
タニヒガシ,谷东,tanihigashi
ダンミツ,坛蜜,danmitsu
カデナレオン,嘉那蕾音,kadenareon
イセ,伊势,ise
ヒイラギアオイ,柊葵,hiiragiaoi
ヒグチアサ,樋口朝,higuchiasa
ヤマダムラサキ,山田紫,yamadamurasaki
モリカオル,森薰,morikaoru
コオリアオ,冰青,kooriao
ナオヒロシ,尚裕,naohiroshi
コユキ,小雪,koyuki
モリミノル,森稔,moriminoru
ワタルスケ,弥助,watarusuke
タチバナサクラ,橘樱,tachibanasakura
ヤナセナツミ,柳濑夏美,yanasenatsumi
イトウカナコ,伊藤香奈子,itoukanako
エノキアヅサ,榎梓,enokiadzusa
サカイカナ,酒井香奈,sakaikana
ヒダリ,左,hidari
ヤスダスズヒト,安田典生,yasudasuzuhito
オダギリジョー,小田切让,odagirijō
カゼカオリ,风香,kazekaori
アレックス,亚力克斯,arekkusu
ラミレス,拉米瑞兹,ramiresu
キナツミ,树夏实,kinatsumi
サトウフミヤ,佐藤文也,satoufumiya
ヤマグチノボル,山口升,yamaguchinoboru
ヨウジュン,要润,youjun
タモリ,塔摩利,tamori
ハイムラキヨタカ,灰村清孝,haimurakiyotaka
アキラエリー,晶爱丽,akiraerī
ツボミ,蕾,tsubomi
タケユタカ,武丰,takeyutaka
ハセガワケイスケ,长谷川启介,hasegawakeisuke
ツダミキヨ,津田美树代,tsudamikiyo
ヤマネアヤノ,山根绫乃,yamaneayano
シイナエイヒ,椎名英姬,shiinaeihi
イロドリオン,彩音,irodorion
ツジアヤノ,辻亚弥乃,tsujiayano
マツモトトモ,松本友,matsumototomo
カレン,罗伯特,karen
ロバート,库伦,robāto
セキツトム,关勉,sekitsutomu
サイチョウ,最澄,saichou
ナガヤスタクミ,永安巧,nagayasutakumi
アサギサクラ,浅木樱,asagisakura
ミナモトノマコト,源信,minamotonomakoto
ワタナベヒロシ,渡边浩,watanabehiroshi
イズミピンコ,泉平子,izumipinko
ヤマトタケル,日本武尊,yamatotakeru
ケンニョ,显如,kennyo
フジアヤコ,藤彩子,fujiayako
スティーヴ,史蒂夫,sutīvu
アオキ,青木,aoki
ヘンジョウ,遍昭,henjou
ナツホ,夏帆,natsuho
ナカツカサ,中务,nakatsukasa
ワタナベマサコ,渡边雅子,watanabemasako
フクシマハルカ,福岛春佳,fukushimaharuka
レイシャ,蕾莎,reisha
ヘイリー,海利,heirī
トドロキユウ,轰悠,todorokiyuu
トクヒメ,德姬,tokuhime
ハツネ,奥村初音,hatsune
ニチレン,日莲,nichiren
サクラモモコ,樱桃子,sakuramomoko
サダマサシ,佐田雅志,sadamasashi
アンズ,杏,anzu
ササキムツミ,佐佐木睦美,sasakimutsumi
ヤナギナギ,柳凪,yanaginagi
ハーフナー,迈克,hāfunā
マイク,哈维纳尔,maiku
ハラエリコ,原荣里子,haraeriko
オカキヨシ,冈洁,okakiyoshi
メグミケイ,惠庆,megumikei
テンモン,天门,tenmon
ハラタカシ,原敬,haratakashi
ソセイ,素性,sosei
ヨシナガフミ,吉永史,yoshinagafumi
コヤマキミコ,古山贵实子,koyamakimiko
ヤマグチリク,山口理红,yamaguchiriku
クジラ,鲸,kujira
チョー,长,chō
デンツウ,电通,dentsuu
スガシカオ,菅止戈男,sugashikao
レンニョ,莲如,rennyo
トモサカリエ,友坂理惠,tomosakarie
シマミヤエイコ,岛宫荣子,shimamiyaeiko
ジョウミチル,城直夫,joumichiru
ササキイサオ,佐佐木功,sasakiisao
カナイミカ,金井美香,kanaimika
アイダユア,爱田由,aidayua
シオリサイ,有原栞菜,shiorisai
マツモトイズミ,松本泉,matsumotoizumi
ミナモトノシタゴウ,源顺,minamotonoshitagou
ツカサシノブ,司忍,tsukasashinobu
リオオ,理多,rioo
アヤ,亚矢,aya
ウエダユウジ,上田祐司,uedayuuji
イマサトシ,今敏,imasatoshi
チョウイサム,长勇,chouisamu
アイソウ,爱奏,aisou
エンチン,圆珍,enchin
ユウキマサミ,结城正美,yuukimasami
サヤ,纱绫,saya
アサギリユウ,朝雾夕,asagiriyuu
ミナモトヒトシ,源等,minamotohitoshi
スズキケイコ,铃木惠子,suzukikeiko
ディド,哈维纳尔,dido
リュウ,隆,ryuu
ドナルド,唐纳德,donarudo
キーン,基恩,kīn
ミナミ,美波,minami
ビメイ,美名,bimei
ソウチョウ,宗长,souchou
ヨシタダシ,由规,yoshitadashi
カワラリョク,瓦力,kawararyoku
タクミフネ,巧舟,takumifune
ギョウキ,行基,gyouki
ニワミキホ,丹羽未来帆,niwamikiho
ハヤシタダシ,林董,hayashitadashi
ウンケイ,运庆,unkei
ドウキョウ,道镜,doukyou
ミナモトトオル,源融,minamototooru
エルサムニー,奥沙玛,erusamunī
オサマ,艾森尼,osama
アキエ,明惠,akie
ジャクレン,寂莲,jakuren
マツタカコ,松隆子,matsutakako
ミコマロ,福田花音,mikomaro
コオロギサトミ,兴梠里美,koorogisatomi
イカリシンジ,碇真嗣,ikarishinji
カワグチカイジ,川口开治,kawaguchikaiji
ナルヒロ,成寻,naruhiro
エンクウ,圆空,enkuu
キャシー,凯茜,kyashī
リード,里德,rīdo
クリス,克里斯,kurisu
アオキサヤカ,青木沙耶香,aokisayaka
モリマサコ,森雅子,morimasako
アヤサイ,彩菜,ayasai
ユカナ,尤加奈,yukana
ヨシモトキンジ,吉本欣司,yoshimotokinji
ケイチュウ,契冲,keichuu
モリカンナ,森矢宽和,morikanna
スギチャン,杉山英司,sugichan
ムラタダシ,村正,muratadashi
ヤマザキマリ,山崎麻里,yamazakimari
タカ,铃木崇大,taka
トキタヒロコ,时田广子,tokitahiroko
