김일,金日
강건,姜健
김정,金仲
김철,金哲
남일,南日
백석,白石
허담,许锬
김책,金策
김무정,武亭
서휘,徐辉
최휘,崔辉
최광,崔光
박열,朴烈
허헌,许宪
김옥,金玉
찰스,查尔斯
로버트,罗伯特
젱킨스,詹金斯
최현,崔贤
안길,安吉
장철,张哲
이찬,李灿
반디,潘迪
임화,林和
배철,裴哲
김웅,金雄
김,金
한솔,汉率
정일,正日
이,李
한영,韩永
최,崔
덕신,德新
명순,明淳
백,白
남순,南淳
광협,光侠
박,朴
성철,成哲
승진,承振
리,李
찬명,昌明
철민,哲民
주성,柱成
량,梁
춘화,春华
영춘,永春
일성,日成
지,迪
윤남,尹南
안,安
금애,琴爱
현숙,贤淑
홍,洪
은정,恩情
양건,养建
병률,炳律
원홍,元弘
병철,炳哲
도춘,道春
변,边
영립,永立
정,郑
명도,明道
격식,格植
장,张
성우,成禹
영남,永南
정숙,贞淑
명준,明俊
철호,哲镐
명호,敏镐
오,吴
진우,振宇
성옥,成玉
경희,庆喜
고,高
용희,容姬
국진,国榛
영일,英日
허,许
가이,嘉谊
대세,大世
향미,香美
영대,英大
황,黄
성수,诚秀
국태,国泰
임,尹
용수,永洙
형무,亨武
성혁,成赫
영철,永哲
창옥,昌玉
봉한,凤汉
영순,英顺
조,赵
명록,明禄
혁철,赫哲
광혁,光赫
영림,永林
영조,映早
일진,日进
정남,正男
성관,成冠
사량,史良
보현,辅铉
금철,金喆
려,吕
춘석,春石
창만,昌满
영옥,英玉
문,文
예봉,艺峰
권,权
혁봉,赫峰
광민,光民
영숙,容淑
세광,世光
미경,美庆
림,林
철명,哲敏
익제,益济
헌영,宪永
승혁,成赫
일범,日范
한,韩
광복,光福
정심,贞心
국철,国哲
창애,昌爱
창섭,昌燮
계,桂
병호,炳镐
병훈,炳勋
형봉,炯奉
약수,若水
전,全
하철,河哲
문석,文锡
양모,阳模
응상,应祥
기영,箕永
성,成
혜림,蕙琳
근모,根模
설야,雪野
만식,晚植
연,延
형묵,亨默
신,申
동혁,东赫
의춘,义春
정은,正恩
춘히,春姬
석형,锡亨
기남,基南
현희,贤姬
우,禹
동측,东测
승기,升基
규창,奎昌
원봉,元凤
창익,昌益
노,卢
금석,今锡
성택,成泽
정애,正爱
용호,龙浩
경,庆
남,南
남철,南哲
순희,顺姬
철환,哲焕
종옥,钟玉
일관,日冠
로,卢
학수,学洙
철만,哲万
윤,尹
공흠,公钦
영호,英浩
수헌,寿宪
명진,明进
명찬,明灿
태원,泰远
응태,应泰
창봉,昌奉
연준,延俊
종만,宗万
용범,镕范
여정,与正
호균,浩钧
정순,正淳
용철,勇哲
재경,在京
상건,相建
정천,正天
승길,承吉
종관,钟宽
룡남,龙男
승무,承武
서헌,瑞宪
춘룡,春龙
태,太
형철,亨彻
철웅,哲雄
길수,吉寿
선옥,仙玉
용남,勇男
상관,相官
용광,勇光
태성,泰成
주식,柱植
상원,尚源
승두,胜斗
만수,万秀
학철,学哲
차,车
희림,熙林
일환,日焕
중협,重协
류,柳
경수,京洙
창선,昌善
의순,义淳
종무,从茂
마,马
원춘,元春
태철,泰哲
철혁,哲赫
정혁,正赫
성남,成南
