krzysztof,克日什托夫
kieślowski,基斯洛夫斯基
andrzej,安杰伊
wajda,华依达
laurent,罗伦
koscielny,哥斯尼
lech,莱赫
kaczyński,卡钦斯基
zbigniew,兹比格涅夫
zamachowski,查马修瓦斯基
otylia,奥蒂利娅
jędrzejczak,延杰伊恰克
aleksander,亚历山大
kwaśniewski,克瓦希涅夫斯基
agata,阿加塔
kulesza,库雷札
zygmunt,齐格蒙特
chychła,黑赫瓦
tomasz,托马什
wylenzek,维伦热克
bogdan,波格丹
musiol,穆肖乌
donald,唐纳德
tusk,图斯克
tadeusz,塔德乌什
reichstein,赖希施泰因
julius,朱利叶斯
axelrod,阿克塞尔罗德
alana,阿兰娜
beard,比尔德
wałęsa,瓦文萨
marian,马里安
woronin,沃罗宁
ryszard,理夏德
kaczorowski,卡丘罗夫斯基
wojciech,沃伊切赫
jaruzelski,雅鲁泽尔斯基
stanisław,斯坦尼斯瓦夫
ostrowski,奥斯特洛夫斯基
leszek,莱谢克
miller,米莱尔
franciszek,弗朗齐歇克
macharski,马哈尔斯基
jerzy,耶日
buzek,布泽克
edward,爱德华
bernard,伯纳德
raczyński,拉陈斯基
wojciechowski,沃伊切霍日夫斯基
władysław,瓦迪斯瓦夫
raczkiewicz,拉茨凯维奇
august,奥古斯特
zaleski,扎列斯基
jan,扬
bielecki,别莱茨基
marek,马雷克
belka,贝尔卡
emil,埃米尔
hirschfeld,希施费尔德
jarosław,雅罗斯瓦夫
majewski,马耶夫斯基
boniek,博涅克
paul,保罗
baran,巴兰
przemysław,普热梅斯瓦夫
prusinkiewicz,普鲁辛凯维奇
raymond,雷蒙
kopa,科帕
leon,莱昂
jogiches,约基希斯
marcin,马尔钦
możdżonek,莫兹德兹雷克
jennifer,詹尼弗
suhr,苏尔
eugen,欧根
polanski,波兰斯基
lem,莱姆
anita,安妮塔
włodarczyk,沃达尔奇克
mazowiecki,马佐维耶茨基
maria,玛丽亚
skłodowskacurie,居里
kazimierz,卡齐米日
marcinkiewicz,马尔钦凯维奇
waldemar,瓦尔德马
pawlak,帕夫拉克
hanna,汉娜
suchocka,苏霍茨卡
michał,米哈乌
jeliński,耶林斯基
smalcerz,斯马尔采日
małgorzata,马乌戈热塔
bela,贝拉
sypytkowski,瑟佩特科夫斯基
bezprym,贝斯普里姆
anna,安娜
rybicka,雷比茨卡
szeptycki,萧普提斯基
piotr,彼得
kiełpikowski,凯乌皮科夫斯基
sobczak,索布恰克
rodzewicz,罗泽维奇
anni,安妮
friesingerpostma,弗里辛格波斯特马
wojtek,沃伊泰克
wolski,沃尔斯基
anczok,安乔克
bolesław,博莱斯瓦夫
prus,普鲁斯
adam,亚当
kszczot,克什乔特
suzanna,苏珊娜
von,冯
nathusius,纳特修斯
stephanie,斯蒂芬妮
kwolek,克沃勒克
funk,冯克
szurkowski,舒尔科夫斯基
janowicz,雅诺维茨
strasburger,斯特拉斯伯格
charles,查尔斯
kowal,科瓦尔
wałdoch,瓦乌多赫
radosław,拉多斯瓦夫
kawęcki,卡域斯基
katarzyna,卡塔日娜
piter,皮特尔
menachem,梅纳赫姆
begin,贝京
lukas,卢卡斯
podolski,波多尔斯基
henryk,亨里克
kasperczak,卡斯佩尔恰克
arkadiusz,阿尔卡迪乌什
milik,米利克
kamil,卡米尔
glik,格里克
smarzowski,斯马乔夫斯基
karol,卡罗尔
radek,拉狄克
isaac,艾萨克
bashevis,巴什维斯
singer,辛格
kokoszka,科科斯卡
korol,科罗尔
maida,梅达
krzesiński,克热辛斯基
barbara,芭芭拉
wolnicka,沃尔尼茨卡谢夫奇克
magdalena,玛格达莱娜
mroczkiewicz,姆罗奇凯维奇
sikorski,西科尔斯基
victor,维克多
klemperer,克伦佩勒
józef,约瑟夫
gosławski,高斯瓦夫斯基
lestek,莱谢克
mickiewicz,密茨凯维奇
robert,罗伯特
lewandowski,莱万多夫斯基
łukasz,卢卡斯
fabiański,法比安斯基
miroslav,米罗斯拉夫
klose,克洛泽
benoît,本华
mandelbrot,曼德博
jakub,雅库布
błaszczykowski,布瓦什奇科夫斯基
jopek,约佩克
sandurski,桑杜尔斯基
robak,罗巴克
rapacki,拉帕茨基
marcel,马塞尔
reichranicki,莱希拉尼基
ryłko,里尔科
herkules,埃尔科莱
dembowski,登博夫斯基
cielecka,切莱茨卡
cezary,塞萨里
siess,谢斯
sypniewski,瑟普涅夫斯基
rob,罗伯
van,凡
dam,达姆
felisiak,费利西亚克
filip,菲利普
adamski,亚当斯基
czesław,切斯瓦夫
miłosz,米沃什
samuel,塞缪尔
eilenberg,艾伦伯格
sienkiewicz,显克微支
piszczek,皮什切克
georges,乔治
charpak,夏帕克
irena,伊雷娜
sendlerowa,森德勒
penderecki,潘德列茨基
wiercioch,维尔乔赫
wisława,维斯瓦娃
szymborska,辛波丝卡
nycz,内兹
ludwik,路德维克
hirszfeld,希尔斯菲尔德
bronisław,布罗尼斯瓦夫
komorowski,科莫罗夫斯基
baszczyński,巴什琴斯基
adrian,阿德里安
mierzejewski,梅泽耶夫斯基
skolimowski,斯科利莫夫斯基
geremek,盖莱梅克
leonid,里奥尼德
hurwicz,赫维克兹
roman,罗曼
polański,波兰斯基
sebastian,塞巴斯蒂安
boenisch,伯尼施
popiełuszko,波比耶乌什科
witold,维托尔德
lutosławski,卢托斯瓦夫斯基
