angela,aŋeːlaː
merkel,meɐkel
martin,maɐtin
schulz,ʃult͡s
franz,fʁant͡s
mehring,meːʀiŋk
luise,luisə
rainer,ʁainɐ
roman,ʁoːman
neustädter,noystetɐ
klaus,klaus
ernst,eɐnst
paul,paul
deussen,doysən
konrad,konʁat
adenauer,adeːnauɐ
emre,emʁə
can,kan
james,jaːmes
krüss,kʁys
franzl,fʁant͡sl
lang,laŋk
von,fon
stuck,ʃtuk
bernhard,beɐnhaɐt
langer,laŋɐ
rudolf,ʁuːdolf
kriß,kʁis
bonhof,bonhof
albert,albeɐt
einstein,ainstain
robert,ʁoːbeɐt
harting,haɐtiŋk
andreas,antʁeas
eschbach,eʃbax
fritz,fʁit͡s
gerhard,ɡeɐhaɐt
schröder,ʃʁødɐ
katja,katjaː
ebstein,ebstain
joachim,joaːxim
gauck,ɡauk
christian,xʁistian
wulff,vulf
karl,kaɐl
albrecht,alpʁext
sepp,zep
maier,maiɐ
max,maks
klinger,kliŋɐ
jürgen,jyɐɡən
grabowski,kʁaːbovskiː
helmut,helmut
kohl,koːl
patrick,patʁik
ebert,ebeɐt
silvio,zilfioː
gesell,ɡeːsel
ludwig,lutvik
erhard,eɐhaɐt
christoph,xʁistof
schlingensief,ʃliŋənsiːf
meisner,maisnɐ
gonzalo,ɡont͡saːloː
castro,kastʁoː
ferdinand,feɐdiːnant
tönnies,tøniːs
marc,maɐk
forster,foɐstɐ
ulrike,ulʁikə
nassemeyfarth,naseːmaifaɐt
dirk,diɐk
nowitzki,noːvit͡skiː
hanna,hanaː
schygulla,ʃyɡulaː
hans,hans
wilsdorf,vilsdoɐf
bayern,baieɐn
zedd,t͡set
peter,petɐ
sloterdijk,sloːteɐdijk
thomas,toːmas
kraft,kʁaft
mößbauer,møsbauɐ
valentin,faːləntin
kurt,kuɐt
georg,ɡeoɐk
kiesinger,kiːsiŋɐ
bernd,beɐnt
hölzenbein,hølt͡sənbain
schmidt,ʃmit
eugen,oyhɡən
roth,ʁot
rupert,ʁuːpeɐt
mayer,maiɐ
tom,tom
wlaschiha,vlaːʃiːaː
walter,valtɐ
trixi,tʁiksiː
worrack,voɐʁak
hartwig,haɐtvik
reinhold,ʁainholt
schünzel,ʃynt͡sel
carl,kaɐl
orff,oɐf
werner,veɐnɐ
herzog,heɐt͡sok
horst,hoɐst
köhler,køːlɐ
johannes,joːhanes
rau,ʁauh
stefan,ʃteːfan
bötticher,bøtixɐ
manfred,manfʁet
wolf,volf
xaver,ksafɐ
schwarz,ʃvaɐt͡s
bloch,plox
günter,ɡyntɐ
netzer,net͡sɐ
bastian,bastian
schweinsteiger,ʃvainstaiɡɐ
uli,uːliː
hoeneß,hoeːnes
schuster,ʃustɐ
richard,ʁiːxaɐt
weizsäcker,vait͡ssekɐ
scheel,ʃeːl
carstens,kaɐstəns
