françois,fʀɑ̃swa
hollande,ɔlɑ̃
chrétien,ʃʀəsʒɛn
de,də
troyes,tʀwajɛ
pierre,piʀ
abélard,abəlaʀ
maryse,maʀi
bastié,basʒ
joachim,ʒɔaʃɛ̃
du,dy
bellay,bəlɛ
le,lə
corbusier,kɔʀbysjɛʀ
adrien,adʀjɛn
rabiot,ʀabjo
luce,ly
irigaray,iʀiɡaʀɛ
arthur,aʀtyʀ
rimbaud,ʀɛ̃bo
luigi,lɥiɡi
cherubini,ʃəʀybɛ̃i
yassine,jazɛ̃
benzia,bɑ̃zja
yves,ivɛ
mariot,maʀjo
rémi,ʀɑ̃i
garde,ɡaʀ
georges,ʒɔʀɡɛ
brassens,bʀazɑ̃
nicolas,nikɔla
sarkozy,saʀkozi
claude,klo
debussy,dəbyzi
henry,ɛ̃ʀi
dunant,dœ̃ɑ̃
michel,miʃɛl
hazanavicius,azanavikjy
sławomir,słoɔmiʀ
mrożek,mʀożɛ
philippe,fili
bourgogne,buʀɡɔɲ
aly,ali
cissokho,sizɔko
monet,mõɛt
paul,pol
morand,mɔʀɑ̃
sarah,saʀa
bernhardt,bəʀnaʀt
bafétimbi,bafətɛ̃bi
gomis,ɡɔmi
vilfredo,vilfʀədo
pareto,paʀəto
marcellin,maʀkəlɛ̃
berthelot,bəʀtəlo
maurice,mɔʀi
broglie,bʀɔɡli
léon,ləɔ̃
blum,blœ̃
bérénice,bəʀəni
marlohe,maʀlo
landry,lɑ̃dʀi
bonnefoi,bɔ̃nəfwa
bejo,bəʒo
charles,ʃaʀlɛ
baudelaire,bodəlɛʀ
gace,ɡa
brulé,bʀyl
jean,ʒɛ̃
bodel,bɔdɛl
auguste,oɡys
comte,kɔ̃
jaurès,ʒɔʀɛ
doumer,dume
stendhal,stɑ̃dal
duhamel,dɥɑ̃ɛl
geoffroi,ʒɔfʀwa
villehardouin,vʒəaʀdwɛ̃
gaëtan,ɡaɛtɑ̃
vestris,vəstʀi
félix,fəlis
tisserand,sʒsəʀɑ̃
sylvain,silvɛ̃
marveaux,maʀvjyɡ
arlette,aʀlə
laguiller,laɡile
olivier,ɔlivjɛʀ
besancenot,bəsɑ̃kəno
élisée,əlisə
reclus,ʀəklys
louis,lwi
pasteur,pastœʀ
henri,ɛ̃ʀi
matisse,masʒ
gustave,ɡystav
eiffel,ɛfɛl
émile,ɑ̃il
zola,zɔla
éric,əʀi
cayrolle,sɛjʀɔl
marine,maʀɛ̃
pen,pɛn
rocard,ʀɔkaʀ
farman,faʀmɑ̃
