제임스,t͡ɕeimsɯ
드레스녹,tɯɾesɯnok̚
김책,kimt͡ɕʰɛk̚
강건,kaŋkʌn
박열,pagjʌl
허헌,hʌhʌn
장웅,t͡ɕaŋuŋ
김철,kimt͡ɕʰʌl
최광,t͡ɕʰwegwaŋ
최현,t͡ɕʰwehjʌn
김억,kimʌk̚
김옥,kimok̚
최휘,t͡ɕʰwehwi
백석,pɛk̚s͈ʌk̚
김웅,kimuŋ
서휘,sʌhwi
김무정,kimmudʑʌŋ
홍창수,hoŋt͡ɕʰaŋsu
최원,t͡ɕʰwewʌn
안길,ankil
장철,t͡ɕaŋt͡ɕʰʌl
임훈,imhun
임화,imhwa
여정,jʌdʑʌŋ
박훈,pakʰun
장혁,t͡ɕaŋhjʌk̚
이,i
한영,hanjʌŋ
최,t͡ɕʰwe
덕신,tʌk̚s͈in
조,t͡ɕo
영남,jʌŋnam
김,kim
명순,mjʌŋsun
백,pɛk̚
남순,namsun
박,pak̚
성철,sʌŋt͡ɕʰʌl
한솔,hansol
승진,sɯŋt͡ɕin
장,t͡ɕaŋ
성택,sʌŋtʰɛk̚
리,li
승기,sɯŋki
홍,hoŋ
용호,joŋho
영일,jʌŋil
허,hʌ
정,t͡ɕʌŋ
대세,tɛse
사량,saɾjaŋ
창만,t͡ɕʰaŋman
문,mun
예봉,jeboŋ
영숙,jʌŋsuk̚
정숙,t͡ɕʌŋsuk̚
오,o
영순,jʌŋsun
명록,mjʌŋnok̚
려,ljʌ
춘석,t͡ɕʰunsʌk̚
달준,talt͡ɕun
지,t͡ɕi
윤남,junnam
안,an
금애,kɯmɛ
영대,jʌŋtɛ
국태,kuk̚tʰɛ
정애,t͡ɕʌŋɛ
성옥,sʌŋok̚
금숙,kɯmsuk̚
경희,kjʌŋhi
고,ko
용희,joŋhi
국진,kuk̚t͡ɕ͈in
철명,t͡ɕʰʌlmjʌŋ
한,han
광복,kwaŋpok̚
세광,segwaŋ
미경,migjʌŋ
림,lim
정심,t͡ɕʌŋsim
영림,jʌŋnim
영조,jʌŋt͡ɕo
정남,t͡ɕʌŋnam
일진,ilt͡ɕin
헌영,hʌnjʌŋ
차,t͡ɕʰa
성남,sʌŋnam
남운,namun
열리,jʌlli
신,sin
신조,sint͡ɕo
원,wʌn
정화,t͡ɕʌŋhwa
내성,nɛsʌŋ
상성,saŋsʌŋ
성애,sʌŋɛ
학림,haŋnim
현,hjʌn
영철,jʌŋt͡ɕʰʌl
계관,kjegwan
양건,jaŋkʌn
원홍,wʌnhoŋ
도춘,tot͡ɕʰun
천해,t͡ɕʰʌnhɛ
변,pjʌn
영립,jʌŋnip̚
명도,mjʌŋto
격식,kjʌk̚s͈ik̚
영춘,jʌŋt͡ɕʰun
일성,ilsʌŋ
정은,t͡ɕʌŋɯn
원봉,wʌnpoŋ
창익,t͡ɕʰaŋik̚
노,no
금석,kɯmsʌk̚
동측,toŋt͡ɕʰɯk̚
의춘,ɰit͡ɕʰun
용익,joŋik̚
봉철,poŋt͡ɕʰʌl
정순,t͡ɕʌŋsun
용철,joŋt͡ɕʰʌl
락겸,lak̚k͈jʌm
재경,t͡ɕɛgjʌŋ
계,kje
순희,sunhi
영재,jʌŋt͡ɕɛ
선호,sʌnho
명식,mjʌŋsik̚
명희,mjʌŋhi
민철,mint͡ɕʰʌl
인식,insik̚
성덕,sʌŋtʌk̚
송철,soŋt͡ɕʰʌl
평해,pʰjʌŋhɛ
형봉,hjʌŋpoŋ
전,t͡ɕʌn
하철,hat͡ɕʰʌl
