kārlis,kɑːrlĭs
ulmanis,ulmɑnĭs
ernests,ernesʦ
gulbis,ɡulbĭs
mihails,mixɑ͜ils
barišņikovs,bɑriʃɲikɔ͜us
jānis,ʝɑːnĭs
lūsis,luːsĭs
jēkabs,ʝæːkɑps
ketlers,ketlers
frīdrihs,friːdrixs
romāns,rɔmɑːns
vainšteins,vɑ͜inʃte͜ins
elīna,eliːnɑ̆
garanča,ɡɑrɑnʧɑ̆
leo,leɔ
mihelsons,mixælsɔns
māris,mɑːrĭs
verpakovskis,værpɑkɔ͜uskĭs
valdis,vɑldĭs
zatlers,zɑtlers
anastasija,ɑnɑstɑsiʝɑ̆
sevastova,sævɑstɔvɑ̆
ivars,ivɑrs
godmanis,ɡɔdmɑnĭs
aigars,ɑ͜iɡɑrs
kalvītis,kɑlviːtĭs
ainārs,ɑ͜inɑːrs
kovals,kɔvɑls
gidons,ɡidɔns
krēmers,kreːmers
mariss,mɑrisː
jansons,ʝɑnsɔns
vilhelms,vilxelms
fon,fɔn
fermors,færmɔrs
pēteris,peːterĭs
vasks,vɑsks
artjoms,ɑrtʝɔms
rudņevs,rudɲe͜us
valters,vɑlters
caps,ʦɑps
aleksandrs,ɑlæksɑndrs
koliņko,kɔliɲku͜o
staņislavs,stɑɲislɑ͜us
olijars,ɔliʝɑrs
raivis,rɑ͜ivĭs
belohvoščiks,bælɔxvɔʃʧiks
kučinskis,kuʧinskĭs
aleksejs,ɑlekse͜is
saramotins,sɑrɑmɔtins
igors,iɡɔrs
vihrovs,vixrɔ͜us
stučka,stuʧkɑ̆
mediņš,mediɲʃ
ivanovs,ivɑnɔ͜us
juris,ʝurĭs
silovs,silɔ͜us
larisa,lɑrisɑ̆
neilande,neilɑndĕ
luīze,luiːzĕ
šarlote,ʃɑrlɔtĕ
no,nu͜o
brandenburgas,brɑndænburɡɑ̆s
inese,inesĕ
galante,ɡɑlɑntĕ
jāzeps,ʝɑːzeps
vītols,viːtɔls
andris,ɑndrĭs
biedriņš,bi͜edriɲʃ
čakste,ʧɑkstĕ
afanasijs,ɑfɑnɑsiʝs
kuzmins,kuzmins
miša,miʃːɑ̆
maiskis,mɑ͜iskĭs
bērziņš,beːrziɲʃ
edvīns,edviːns
šnore,ʃnɔrĕ
marians,mɑriɑns
pahars,pɑxɑrs
dombrovskis,du͜ombrɔ͜uskĭs
guntis,ɡuntĭs
pauls,pɑ͜uls
valdens,vɑldens
hartmanis,xɑrtmɑnĭs
tāls,tɑːls
egils,eɡils
levits,leviʦ
andrejs,ɑndre͜is
rubins,rubins
balodis,bɑlɔdĭs
oskars,ɔskɑrs
kļava,kʎɑvɑ̆
dāvis,dɑːvĭs
bertāns,bærtɑːns
mairis,mɑ͜irĭs
briedis,bri͜edĭs
aija,ɑ͜iʝɑ̆
klakocka,klɑkɔʦkɑ̆
ugrjumovs,uɡrʝumɔ͜us
kaspars,kɑspɑrs
gorkšs,ɡɔrkʃ
cauņa,ʦɑ͜uɲɑ̆
rūdolfs,ruːdɔlfs
bangerskis,bɑňɡerskĭs
nelsons,nelsɔns
vaņins,vɑɲins
gatis,ɡɑtːĭs
smukulis,smukulĭs
moriss,mɔrisː
halle,xɑlːĕ
laizāns,lɑ͜izɑːns
mārtiņš,mɑːrtiɲʃ
rubenis,rubenĭs
herberts,xerberʦ
cukurs,ʦukurs
vitālijs,vitɑːliʝs
maksimenko,mɑksimæňku͜o
vladislavs,vlɑdislɑ͜us
gutkovskis,ɡutkɔ͜uskĭs
kurzemes,kurzemĕs
marija,mɑriʝɑ̆
amālija,ɑmɑːliʝɑ̆
deandrē,deɑndreː
jedlins,ʝedlins
edgars,edɡɑrs
bertuks,bærtuks
štrombergs,ʃtrɔmberks
dainis,dɑ͜inĭs
kūla,kuːlɑ̆
gustavs,ɡustɑ͜us
klucis,kluʦĭs
stalte,stɑltĕ
eduards,eduɑrʦ
ksenija,kseniʝɑ̆
sidorova,sidɔrɔvɑ̆
genadijs,ɡænɑdiʝs
paršins,pɑrʃins
oļegs,ɔʎeks
antropovs,ɑntrɔpɔ͜us
romualds,rɔmuɑlʦ
jermaks,ʝærmɑks
apinis,ɑpinĭs
artūrs,ɑrtuːrs
silgailis,silɡɑ͜ilĭs
alma,ɑlmɑ̆
lepinalāce,lepinɑlɑːʦĕ
ilze,ilzĕ
jaunalksne,ʝɑ͜unɑlksnĕ
ako,ɑku͜o
imants,imɑnʦ
freibergs,fre͜iberks
vsevolods,vsævɔlɔʦ
zeļonijs,zeʎɔniʝs
raimonds,rɑ͜imɔnʦ
vējonis,veːʝɔnĭs
heinrihs,xe͜inrixs
skuja,skuʝɑ̆
ģirts,ɟirʦ
karlsons,kɑrlsɔns
rolands,rɔlɑnʦ
kalniņš,kɑlniɲʃ
ikaunieks,ikɑ͜uni͜eks
arturs,ɑrturs
ozoliņš,ɔzɔliɲʃ
krists,krisʦ
neilands,neilɑnʦ
ēriks,eːriks
ešenvalds,eʃænvɑlʦ
lūcija,luːʦiʝɑ̆
garūta,ɡɑruːtɑ̆
korabļovs,kɔrɑbʎɔ͜us
pjotrs,pʝɔtrs
avens,ɑvæns
anžejs,ɑnʓe͜is
pasečņiks,pɑseʧɲiks
alise,ɑlisĕ
dzeguzekļaviņa,ʣæɡuzekʎɑviɲɑ̆
arvīds,ɑrviːʦ
diāna,diɑːnɑ̆
ņikitina,ɲikitinɑ̆
jackēvičs,ʝɑʦkeːviʧs
kristers,kristers
aparjods,ɑpɑrʝɔʦ
dāvids,dɑːviʦ
beika,be͜ikɑ̆
laimdota,lɑ͜imdɔtɑ̆
straujuma,strɑ͜uʝumɑ̆
antons,ɑntɔns
jemeļins,ʝemeʎins
kristaps,kristɑps
porziņģis,pɔrziɲɟĭs
rutanja,rutɑnʝɑ̆
olda,ɔldɑ̆
toms,tɔms
skujiņš,skuʝiɲʃ
ingūna,iňɡuːnɑ̆
butāne,butɑːnĕ
aļona,ɑʎɔnɑ̆
ostapenko,ɔstɑpæňku͜o
zommers,zɔmːers
