andrzej,andʐɛj
wajda,vajda
zygmunt,zɨɡmunt
chychła,xɨxwa
margareta,marɡarɛta
kozuch,kɔzux
paul,pavl
baran,baran
laurent,lavrɛnt
koscielny,kɔst͡ɕɛlnɨ
krzysztof,kʂɨʂtɔf
kieślowski,kʲɛɕlɔfskʲi
jerzy,jɛʐɨ
stuhr,stuxr
hermann,xɛrmann
friedmann,frjɛdmann
zbigniew,zbiɡɲɛf
boniek,bɔɲɛk
emil,ɛmil
hirschfeld,xirsxfɛlt
zanussi,zanusɕi
zamachowski,zamaxɔfskʲi
donald,dɔnalt
tusk,tusk
julius,julifs
axelrod,axɛlrɔt
kacper,kat͡spɛr
przybyłko,pʂɨbɨwkɔ
tomasz,tɔmaʂ
majewski,majɛfskʲi
aleksander,alɛksandɛr
kwaśniewski,kfaɕɲɛfskʲi
isaac,isaat͡s
bashevis,basxɛvis
singer,ɕinɡɛr
ignace,iɡnat͡sɛ
gelb,ɡɛlp
benoît,bɛnɔît
mandelbrot,mandɛlbrɔt
raymond,rajmɔnt
kopa,kɔpa
leon,lɛɔn
jogiches,jɔɡʲixɛs
otylia,ɔtɨlja
jędrzejczak,jɛndʐɛjt͡ʂak
anni,anɲi
friesingerpostma,frjɛɕinɡɛrpɔstma
kevin,kɛvin
mirocha,mirɔxa
lech,lɛx
kaczyński,kat͡ʂɨɲskʲi
krystyna,krɨstɨna
feldman,fɛldman
maciej,mat͡ɕɛj
kozłowski,kɔzwɔfskʲi
wałęsa,vawɛ̃sa
alexander,alɛxandɛr
granach,ɡranax
adam,adam
mickiewicz,mit͡skʲɛvit͡ʂ
edyta,ɛdɨta
piecha,pjɛxa
miroslav,mirɔslaf
klose,klɔsɛ
harry,xarrɨ
warner,varnɛr
olek,ɔlɛk
krupa,krupa
moris,mɔris
rosenfeld,rɔsɛnfɛlt
ryksa,rɨksa
śląska,ɕlɔ̃ska
henryk,xɛnrɨk
kasperczak,kaspɛrt͡ʂak
anita,aɲita
włodarczyk,vwɔdart͡ʂɨk
stanisław,staɲiswaf
lem,lɛm
eugen,ɛvɡɛn
polanski,pɔlanskʲi
jennifer,jɛnɲifɛr
suhr,suxr
tadeusz,tadɛfʂ
reichstein,rɛjxstɛjn
małgorzata,mawɡɔʐata
musierowicz,muɕɛrɔvit͡ʂ
marian,marjan
woronin,vɔrɔɲin
harasiewicz,xaraɕɛvit͡ʂ
maria,marja
skłodowskacurie,skwɔdɔfskat͡surjɛ
ryszard,rɨʂart
kaczorowski,kat͡ʂɔrɔfskʲi
wojciech,vɔjt͡ɕɛx
jaruzelski,jaruzɛlskʲi
marek,marɛk
belka,bɛlka
buzek,buzɛk
józef,juzɛf
oleksy,ɔlɛksɨ
mazowiecki,mazɔvjɛt͡skʲi
stephanie,stɛpxaɲɛ
kwolek,kfɔlɛk
kazimierz,kaʑimjɛʂ
marcinkiewicz,mart͡ɕinkʲɛvit͡ʂ
jarosław,jarɔswaf
roman,rɔman
giertych,ɡʲɛrtɨx
karol,karɔl
radek,radɛk
rathaus,ratxafs
josef,jɔsɛf
jadassohn,jadassɔxn
leszek,lɛʂɛk
balcerowicz,balt͡sɛrɔvit͡ʂ
hanna,xanna
suchocka,suxɔt͡ska
kokoszka,kɔkɔʂka
lidia,lidja
zamenhof,zamɛnxɔf
bein,bɛjn
sławomir,swavɔmir
mrożek,mrɔʐɛk
edward,ɛdvart
strasburger,strasburɡɛr
menachem,mɛnaxɛm
begin,bɛɡʲin
chasyd,xasɨt
wielgus,vjɛlɡus
matysek,matɨsɛk
przeworski,pʂɛvɔrskʲi
rapacki,rapat͡skʲi
paulina,pavlina
ligocka,liɡɔt͡ska
wróblewski,vrublɛfskʲi
wałdoch,vawdɔx
korfanty,kɔrfantɨ
herr,xɛrr
kamil,kamil
glik,ɡlik
arkadiusz,arkadifʂ
milik,milik
lukas,lukas
podolski,pɔdɔlskʲi
bolesław,bɔlɛswaf
prus,prus
sarota,sarɔta
stefan,stɛfan
sapieha,sapjɛxa
marcin,mart͡ɕin
matkowski,matkɔfskʲi
ingarden,inɡardɛn
zagajewski,zaɡajɛfskʲi
szarmach,ʂarmax
krystian,krɨstjan
zimerman,ʑimɛrman
rafał,rafaw
wolski,vɔlskʲi
robert,rɔbɛrt
lewandowski,lɛvandɔfskʲi
jakub,jakup
błaszczykowski,bwaʂt͡ʂɨkɔfskʲi
saganowski,saɡanɔfskʲi
gortat,ɡɔrtat
makula,makula
bartosz,bartɔʂ
kurek,kurɛk
tansman,tansman
messing,mɛsɕink
baird,bajrt
mirosław,mirɔswaf
hermaszewski,xɛrmaʂɛfskʲi
mariusz,marifʂ
jop,jɔp
marcel,mart͡sɛl
witeczek,vitɛt͡ʂɛk
irena,irɛna
sendlerowa,sɛndlɛrɔva
władysław,vwadɨswaf
sikorski,ɕikɔrskʲi
emmanuel,ɛmmanuɛl
olisadebe,ɔlisadɛbɛ
janowicz,janɔvit͡ʂ
funk,funk
szurkowski,ʂurkɔfskʲi
paweł,pavɛw
klecki,klɛt͡skʲi
bezprym,bɛsprɨm
łukasz,wukaʂ
piszczek,piʂt͡ʂɛk
georges,ɡɛɔrɡɛs
charpak,xarpak
penderecki,pɛndɛrɛt͡skʲi
feldhendler,fɛltxɛndlɛr
daniel,daɲɛl
libeskind,libɛskʲint
sebastian,sɛbastjan
boenisch,bɔɛɲisx
popiełuszko,pɔpjɛwuʂkɔ
witold,vitɔlt
lutosławski,lutɔswafskʲi
szpilman,ʂpilman
romain,rɔmajn
gary,ɡarɨ
grechuta,ɡrɛxuta
magdalena,maɡdalɛna
abakanowicz,abakanɔvit͡ʂ
marczewski,mart͡ʂɛfskʲi
kozierowski,kɔʑɛrɔfskʲi
teodor,tɛɔdɔr
leszetycki,lɛʂɛtɨt͡skʲi
dudziak,dud͡ʑak
gabriel,ɡabrjɛl
chmura,xmura
artur,artur
rodziński,rɔd͡ʑiɲskʲi
fabiański,fabjaɲskʲi
leonid,lɛɔɲit
hurwicz,xurvit͡ʂ
anna,anna
jopek,jɔpɛk
bronisław,brɔɲiswaf
geremek,ɡɛrɛmɛk
kołakowski,kɔwakɔfskʲi
sienkiewicz,ɕɛnkʲɛvit͡ʂ
kubica,kubit͡sa
janusz,januʂ
kamiński,kamiɲskʲi
bauman,bavman
wisława,viswava
szymborska,ʂɨmbɔrska
rob,rɔp
van,van
dam,dam
komorowski,kɔmɔrɔfskʲi
rejewski,rɛjɛfskʲi
iwaszkiewicz,ivaʂkʲɛvit͡ʂ
czesław,t͡ʂɛswaf
miłosz,miwɔʂ
szymon,ʂɨmɔn
askenazy,askɛnazɨ
edelman,ɛdɛlman
kawalerowicz,kavalɛrɔvit͡ʂ
jan,jan
urban,urban
konstanty,kɔnstantɨ
czartoryski,t͡ʂartɔrɨskʲi
ernest,ɛrnɛst
wilimowski,vilimɔfskʲi
david,davit
seymour,sɛjmɔvr
zdzisław,zd͡ʑiswaf
hoffmann,xɔffmann
kuratowski,kuratɔfskʲi
wyszyński,vɨʂɨɲskʲi
wit,vit
stwosz,stfɔʂ
michał,mixaw
żyro,ʐɨrɔ
anders,andɛrs
bąkiewicz,bɔŋkʲɛvit͡ʂ
fyrstenberg,fɨrstɛnbɛrk
cybulski,t͡sɨbulskʲi
piotr,pjɔtr
kowalski,kɔvalskʲi
żyła,ʐɨwa
cyganiewicz,t͡sɨɡaɲɛvit͡ʂ
pohl,pɔxl
rowicki,rɔvit͡skʲi
semkow,sɛmkɔf
majka,majka
stojowski,stɔjɔfskʲi
matyjaszewski,matɨjaʂɛfskʲi
dariusz,darifʂ
etgar,ɛtɡar
keret,kɛrɛt
skolimowski,skɔlimɔfskʲi
adrian,adrjan
mierzejewski,mjɛʐɛjɛfskʲi
zajonc,zajɔnt͡s
pyrkosz,pɨrkɔʂ
słowiński,swɔviɲskʲi
polański,pɔlaɲskʲi
gerson,ɡɛrsɔn
anderszewski,andɛrʂɛfskʲi
ansgar,ansɡar
pichen,pixɛn
bohdan,bɔxdan
paczyński,pat͡ʂɨɲskʲi
paczoski,pat͡ʂɔskʲi
mieczysław,mjɛt͡ʂɨswaf
horszowski,xɔrʂɔfskʲi
zenon,zɛnɔn
jankowski,jankɔfskʲi
kakowski,kakɔfskʲi
jacek,jat͡sɛk
zieliński,ʑɛliɲskʲi
zabriskie,zabriskʲɛ
benedykt,bɛnɛdɨkt
dybowski,dɨbɔfskʲi
skupień,skupjɛɲ
jodłowiec,jɔdwɔvjɛt͡s
preisner,prɛjsnɛr
namysłowski,namɨswɔfskʲi
ławrynowicz,wavrɨnɔvit͡ʂ
acquafresca,at͡squafrɛst͡sa
serge,sɛrɡɛ
silberman,ɕilbɛrman
rybczyński,rɨpt͡ʂɨɲskʲi
seifert,sɛjfɛrt
gimpel,ɡʲimpɛl
kaper,kapɛr
victor,vit͡stɔr
sikora,ɕikɔra
mikusiński,mikuɕiɲskʲi
przybyszewski,pʂɨbɨʂɛfskʲi
klabiński,klabiɲskʲi
wycech,vɨt͡sɛx
rząsa,ʐɔ̃sa
werner,vɛrnɛr
bakst,bakst
świerczewski,ɕfjɛrt͡ʂɛfskʲi
mark,mark
grudzielanek,ɡrud͡ʑɛlanɛk
dan,dan
dickau,dit͡skaf
beksiński,bɛkɕiɲskʲi
jack,jat͡sk
tramiel,tramjɛl
szalom,ʂalɔm
asz,aʂ
alain,alajn
finkielkraut,finkʲɛlkraft
siudek,ɕudɛk
sadlok,sadlɔk
meir,mɛjr
wilner,vilnɛr
pawlikowski,pavlikɔfskʲi
timothée,timɔtxɛ́ɛ
kolodziejczak,kɔlɔd͡ʑɛjt͡ʂak
skalski,skalskʲi
stańko,staɲkɔ
boris,bɔris
sawinkow,savinkɔf
stępiński,stɛmpiɲskʲi
dorota,dɔrɔta
medyńska,mɛdɨɲska
wójtowicz,vujtɔvit͡ʂ
franciszek,frant͡ɕiʂɛk
gąsienica,ɡɔ̃ɕɛɲit͡sa
groń,ɡrɔɲ
huelle,xuɛllɛ
bartoszewski,bartɔʂɛfskʲi
michel,mixɛl
jazy,jazɨ
odonic,ɔdɔɲit͡s
możdżer,mɔʐd͡ʐɛr
emerson,ɛmɛrsɔn
fittipaldi,fittipaldi
stanisława,staɲiswava
walasiewicz,valaɕɛvit͡ʂ
kusociński,kusɔt͡ɕiɲskʲi
załuska,zawuska
szukała,ʂukawa
żygadło,ʐɨɡadwɔ
kurtyka,kurtɨka
julia,julja
hartwig,xartfik
michałowski,mixawɔfskʲi
żeleński,ʐɛlɛɲskʲi
chmielnik,xmjɛlɲik
agata,aɡata
poniatowski,pɔɲatɔfskʲi
antoni,antɔɲi
łaciak,wat͡ɕak
kalinowski,kalinɔfskʲi
weiss,vɛjss
makarczyk,makart͡ʂɨk
radziwiłł,rad͡ʑiviww
urbaniak,urbaɲak
zubel,zubɛl
agenor,aɡɛnɔr
romuald,rɔmualt
gołuchowski,ɡɔwuxɔfskʲi
agnieszka,aɡɲɛʂka
duczmal,dut͡ʂmal
filip,filip
bednarek,bɛdnarɛk
przysiężny,pʂɨɕɛ̃ʐnɨ
adamek,adamɛk
jarosz,jarɔʂ
harald,xaralt
konopka,kɔnɔpka
szczęsny,ʂt͡ʂɛ̃snɨ
łeonid,wɛɔɲit
krawczuk,kraft͡ʂuk
icchok,it͡sxɔk
lejb,lɛjp
perec,pɛrɛt͡s
słomczyński,swɔmt͡ʂɨɲskʲi
jaskuła,jaskuwa
peszko,pɛʂkɔ
marino,marinɔ
rubinstein,rubinstɛjn
komeda,kɔmɛda
buncol,bunt͡sɔl
igor,iɡɔr
mitoraj,mitɔraj
fortuna,fɔrtuna
