vika,vika
jigulina,ʒiɡulina
lidia,lidia
șimon,ʃimon
inna,inna
alexandra,aleksandra
stan,stan
ikechi,ikeki
anya,anja
george,d͡ʒeord͡ʒe
emil,emil
palade,palade
itzik,itzik
manger,mand͡ʒer
ecaterina,ekaterina
szabó,szabó
elena,elena
gheorghe,ɡeorɡe
mircea,mirt͡ʃea
lucescu,lut͡ʃesku
viorel,viorel
moldovan,moldovan
angela,and͡ʒela
gheorghiu,ɡeorɡiu
paul,paul
celan,t͡ʃelan
andreea,andreea
grigore,ɡriɡore
viorica,viorika
ursuleac,ursuleak
liviu,liviu
librescu,libresku
răzvan,rəzvan
raț,rat͡s
popescu,popesku
helmut,helmut
duckadam,dukkadam
vali,vali
ionescu,ionesku
băsescu,bəsesku
iulian,iulian
filipescu,filipesku
boc,bok
cristian,kristian
mungiu,mund͡ʒiu
dan,dan
balan,balan
victor,viktor
hănescu,hənesku
petre,petre
roman,roman
edward,edward
maya,maja
angelica,and͡ʒelika
adelsteinrozeanu,adelsteinrozeanu
anamaria,anamaria
marinca,marinka
alma,alma
gluck,ɡlukk
tristan,tristan
tzara,tzara
eugen,eud͡ʒen
coșeriu,koʃeriu
nicolae,nikolae
văcăroiu,vəkəroiu
bogdan,boɡdan
lobonț,lobont͡s
ceaușescu,t͡ʃeauʃesku
simona,simona
halep,halep
iolanda,iolanda
balaș,balaʃ
ion,ion
antonescu,antonesku
alina,alina
plugaru,pluɡaru
herta,herta
müller,müller
gabriela,ɡabriela
drăgoi,drəɡoi
daniel,daniel
prodan,prodan
irina,irina
spîrlea,spɨrlea
monica,monika
roșu,roʃu
nadia,nadia
comăneci,komənet͡ʃi
iasmin,iasmin
latovlevici,latovlevit͡ʃi
mihai,mihai
dinu,dinu
lipatti,lipatti
florian,florian
pop,pop
vlad,vlad
munteanu,munteanu
dudu,dudu
georgescu,d͡ʒeord͡ʒesku
györgy,ɡjörɡj
kurtág,kurtáɡ
dima,dima
marțian,mart͡sian
negrea,neɡrea
traian,traian
timofti,timofti
ungureanu,unɡureanu
sorana,sorana
cîrstea,t͡ʃɨrstea
niculescu,nikulesku
constantinescu,konstantinesku
ciprian,t͡ʃiprian
marica,marika
ana,ana
pauker,pauker
dulgheru,dulɡeru
aurelia,aurelia
dobre,dobre
ruxandra,ruksandra
dragomir,draɡomir
adrian,adrian
năstase,nəstase
beatrice,beatrit͡ʃe
câșlaru,kɨʃlaru
constantin,konstantin
brâncuși,brɨnkuʃi
cleopatra,kleopatra
stratan,stratan
henri,henri
coandă,koandə
zamfir,zamfir
gabriel,ɡabriel
tamaș,tamaʃ
filat,filat
ponta,ponta
andrei,andrei
pavel,pavel
florica,florika
musicescu,musit͡ʃesku
maia,maia
morgenstern,mord͡ʒenstern
iliescu,iliesku
maria,maria
brânză,brɨnzə
paula,paula
ivan,ivan
doina,doina
melinte,melinte
blandiana,blandiana
sorin,sorin
ghionea,ɡionea
amânar,amɨnar
seling,selinɡ
daniela,daniela
silivaș,silivaʃ
linda,linda
baros,baros
hagi,had͡ʒi
sandra,sandra
romain,romain
larisa,larisa
iordache,iordake
virginia,vird͡ʒinia
ruzici,ruzit͡ʃi
ștefan,ʃtefan
radu,radu
sergiu,serd͡ʒiu
celibidache,t͡ʃelibidake
ladislau,ladislau
bölöni,bölöni
lászló,lászló
sepsi,sepsi
ovidiu,ovidiu
cernăuțeanu,t͡ʃernəut͡seanu
harvey,harvej
keitel,keitel
cioncan,t͡ʃionkan
ileana,ileana
cotrubaș,kotrubaʃ
jean,ʒean
negulesco,neɡulesko
cioran,t͡ʃioran
badea,badea
panait,panait
istrati,istrati
mutu,mutu
zoia,zoia
arthur,arthur
segal,seɡal
chivu,kivu
maricica,marit͡ʃika
puică,puikə
liane,liane
de,de
pougy,pouɡj
anișoara,aniʃoara
cușmirstanciu,kuʃmirstant͡ʃiu
mihaela,mihaela
peneș,peneʃ
diana,diana
mocanu,mokanu
camelia,kamelia
potec,potek
alexandru,aleksandru
averescu,averesku
rose,rose
ausländer,ausländer
artur,artur
phleps,phleps
astafei,astafei
ursuleasa,ursuleasa
emeric,emerik
jenei,ʒenei
niculae,nikulae
walter,walter
zenga,zenɡa
cosmin,kosmin
contra,kontra
ghimpu,ɡimpu
petru,petru
lucinschi,lut͡ʃinski
florin,florin
răducioiu,rədut͡ʃioiu
ilie,ilie
lara,lara
diaconu,diakonu
constantina,konstantina
dițătomescu,dit͡sətomesku
dumitrescu,dumitresku
tănase,tənase
viscopoleanu,viskopoleanu
julia,ʒulia
varady,varadj
ionela,ionela
târlea,tɨrlea
lia,lia
manoliu,manoliu
cristea,kristea
crișan,kriʃan
robert,robert
vancea,vant͡ʃea
stelea,stelea
neșu,neʃu
marius,marius
urzică,urzikə
joseph,ʒoseph
schmidt,skhmidt
săpunaru,səpunaru
dacian,dat͡ʃian
cioloș,t͡ʃioloʃ
colin,kolin
kolles,kolles
enescu,enesku
stefan,stefan
hell,hell
adalbert,adalbert
deșu,deʃu
pulhac,pulhak
florescu,floresku
hermann,hermann
oberth,oberth
cociș,kot͡ʃiʃ
klein,klein
silviu,silviu
lung,lunɡ
dorin,dorin
goian,ɡoian
pițurcă,pit͡surkə
gigel,d͡ʒid͡ʒel
bucur,bukur
deac,deak
prunea,prunea
luchian,lukian
raul,raul
rusescu,rusesku
robot,robot
chipciu,kipt͡ʃiu
saul,saul
steinberg,steinberɡ
dică,dikə
lusztig,lusztiɡ
kovács,kováks
dragoș,draɡoʃ
laurențiu,laurent͡siu
rus,rus
nicolao,nikolao
dumitru,dumitru
valerică,valerikə
găman,ɡəman
eric,erik
bicfalvi,bikfalvi
