глюкоза,ɡlʲukoza
борис,borʲis
акунин,akunin
носорог,nosoroɡ
александра,alʲeksandra
маринина,marʲinina
земфира,zʲemfʲira
алсу,alsu
полина,polʲina
дашкова,daʂkova
иларион,ilarʲion
хамелеон,xamʲelʲeon
лео,lʲeo
хао,xao
витас,vʲitas
александр,alʲeksandr
иван,ivan
александрович,alʲeksandrovʲit͡ɕʲ
жасмин,ʒasmʲin
света,svʲeta
данг,danɡ
ван,van
лам,lam
револьвер,rʲevolʲvʲer
оцелот,ot͡selot
витя,vʲitʲa
вронски,vronskʲi
джина,d͡ʒina
джерсон,d͡ʒerson
владлен,vladlʲen
татарский,tatarskʲij
шара,ʂara
буллет,bullʲet
россия,rossʲia
автоваз,avtovaz
нижегородская,niʒeɡorodskaa
область,oblastʲ
жигули,ʒiɡulʲi
смоленск,smolʲensk
тверь,tvʲerʲ
москва,moskva
чебоксары,t͡ɕʲeboksarɨ
санктпетербург,sanktpʲetʲerburɡ
новосибирск,novosʲibʲirsk
абакан,abakan
ярославль,jaroslavlʲ
кострома,kostroma
туманная,tumannaa
екатеринбург,jekatʲerʲinburɡ
нижний,niʒnij
новгород,novɡorod
самара,samara
иваново,ivanovo
байкал,bajkal
омск,omsk
пенза,pʲenza
казань,kazanʲ
челябинск,t͡ɕʲelʲabʲinsk
зеленоградск,zʲelʲenoɡradsk
академгородок,akadʲemɡorodok
волгоград,volɡoɡrad
ульяновск,ulʲanovsk
рязань,rʲazanʲ
сибирские,sʲibʲirskʲie
траппы,trappɨ
пермь,pʲermʲ
брянск,brʲansk
виштынецкое,vʲiʂtɨnet͡skoe
уфа,ufa
тула,tula
нивхи,nivxʲi
владивосток,vladʲivostok
красноярск,krasnoarsk
орёл,orʲol
калуга,kaluɡa
светлый,svʲetlɨj
курск,kursk
томск,tomsk
советск,sovʲetsk
черняховск,t͡ɕʲernaxovsk
лапландия,laplandʲia
балтийск,baltʲijsk
гусев,ɡusʲev
белгород,bʲelɡorod
тольятти,tolʲattʲi
гвардейск,ɡvardʲejsk
неман,neman
воронеж,voroneʒ
тюмень,tʲumʲenʲ
тамбов,tambov
дзержинск,dzʲerʒinsk
липецк,lʲipʲet͡sk
мурманск,murmansk
калининград,kalʲininɡrad
краснодар,krasnodar
архангельск,arxanɡelʲsk
евразийская,jevrazʲijskaa
степь,stʲepʲ
барнаул,barnaul
янтарный,jantarnɨj
кызыл,kɨzɨl
кемерово,kʲemʲerovo
петрозаводск,pʲetrozavodsk
майкоп,majkop
вологда,voloɡda
маньчжурия,manʲt͡ɕʲʒurʲia
астрахань,astraxanʲ
салехард,salʲexard
череповец,t͡ɕʲerʲepovʲet͡s
тотьма,totʲma
сыктывкар,sɨktɨvkar
элиста,elʲista
