douglas,dʌɡləs
adams,ædəmz
john,d͡ʒɑn
barnes,bɑɹnz
patrick,pætɹɪk
stewart,stuɹ̩t
charlie,t͡ʃɑɹli
chaplin,t͡ʃæplən
jack,d͡ʒæk
clayton,klejtən
virginia,vɹ̩d͡ʒɪnjə
woolf,wʊlf
frank,fɹæŋk
lloyd,lojd
hans,hɑns
wilsdorf,wɪlsdɔɹf
alex,æləks
salmond,sælmənd
gordon,ɡɔɹdən
brown,bɹawn
sacha,sæt͡ʃə
baron,bæɹən
cohen,kowən
harold,hɛɹəld
pinter,pajntɹ̩
jimmy,d͡ʒɪmi
wales,wejlz
adrian,ejdɹiən
mariappa,mɛɹiɑpə
danny,dæni
graham,ɡɹejəm
tom,tɑm
cleverley,klɛvɹ̩li
ben,bɛn
foster,fɑstɹ̩
gavin,ɡævɪn
mahon,mejən
han,hɑn
suyin,səajɪn
monty,mɔnti
python,pajθɑn
scott,skɑt
adkins,ædkɪnz
eddie,ɛdi
redmayne,ɹɛdmejn
henry,hɛnɹi
gray,ɡɹej
david,dejvɪd
cameron,kæmɹ̩ən
judi,d͡ʒudi
dench,dɛnt͡ʃ
simon,sajmən
wells,wɛlz
kate,kejt
bush,bʊʃ
sean,ʃɔn
dyche,dajt͡ʃ
ashley,æʃli
young,jʌŋ
marvin,mɑɹvɪn
sordell,sɔɹdəl
sophie,sowfi
wilson,wɪlsən
hertha,hɹ̩θə
ayrton,ɛɹtən
stephen,stivən
hawking,hɔkɪŋ
mitchell,mɪt͡ʃəl
nicky,nɪki
hopkins,hɑpkɪnz
ralph,ɹælf
fiennes,fiɛnnz
doris,dɔɹəs
lessing,lɛsɪŋ
kieran,kiɹən
gibbs,ɡɪbz
james,d͡ʒejmz
degale,dɪɡɑl
ince,ɪns
arthur,ɑɹθɹ̩
balfour,bælfɔɹ
percival,pɹ̩sɪvəl
neville,nɛvɪl
chamberlain,t͡ʃejmbɹ̩lən
chris,kɹɪs
smalling,smɔlɪŋ
jonny,d͡ʒɑni
evans,ɛvənz
desmond,dɛzmənd
llewelyn,luɪlɪn
lampard,læmpɹ̩d
timothy,tɪməθi
dalton,dɔltən
theo,θiow
walcott,wɔlkɑt
carl,kɑɹl
jenkinson,d͡ʒɛŋkɪnsən
friedrich,fɹidɹɪk
hayek,hejɪk
lennon,lɛnən
robert,ɹɑbɹ̩t
louis,luɪs
stevenson,stivənsən
ikechi,ajkejt͡ʃi
anya,ɛnajə
rupert,ɹupɹ̩t
grint,ɡɹɪnt
ellie,ɛli
goulding,ɡuldɪŋ
george,d͡ʒɔɹd͡ʒ
bernard,bɹ̩nɑɹd
shaw,ʃɔ
victoria,vɪktɔɹiə
beckham,bɛkhæm
key,ki
h,ejt͡ʃ
g,d͡ʒi
mikes,majks
karl,kɑɹl
michael,majkəl
carrick,kɛɹɪk
martyn,mɑɹtɪn
lloydjones,lojd͡ʒownz
roshan,ɹɑʃən
seth,sɛθ
keira,kɹə
knightley,najtli
kenny,kɛni
miller,mɪlɹ̩
hugo,hjuɡow
weaving,wivɪŋ
richard,ɹɪt͡ʃɹ̩d
dawkins,dɔkɪnz
kim,kɪm
wilde,wajld
mike,majk
hawthorn,hɔθɔɹn
loach,lowt͡ʃ
fitz,fɪts
hall,hɔl
nathaniel,nəθænjəl
chalobah,t͡ʃəlowbə
lee,li
hodson,hɑdsən
troy,tɹoj
deeney,dini
jonathan,d͡ʒɑnəθən
hogg,hɑɡ
mo,mow
farah,fɛɹə
stanley,stænli
kubrick,kjubɹɪk
adele,ədɛlej
angus,æŋɡəs
pritchard,pɹɪt͡ʃɹ̩d
hilton,hɪltən
audrey,ɔdɹi
hepburn,hɛpbɹ̩n
patten,pætən
ricky,ɹɪki
gervais,ʒɹ̩vej
mark,mɑɹk
millar,mɪlɹ̩
matthew,mæθju
vaughn,vɔn
paul,pɔl
mccartney,məkɑɹtni
rocco,ɹɑkow
kylie,kajli
minogue,minɔɡ
rowan,ɹowən
atkinson,ætkənsən
rudyard,ɹʌdjɹ̩d
kipling,kɪplɪŋ
slash,slæʃ
gabrielle,ɡæbɹiɛl
aplin,æplɪn
luigi,luid͡ʒi
cherubini,kɹ̩ubini
jane,d͡ʒejn
goldman,ɡowldmən
bertrand,bɹ̩tɹənd
russell,ɹʌsəl
laura,lɔɹə
bassett,bæsɪt
farnham,fɑɹnəm
geri,d͡ʒɛɹi
halliwell,hælɪwɛl
peter,pitɹ̩
lilley,lɪli
william,wɪljəm
golding,ɡowldɪŋ
ringo,ɹiŋɡow
starr,stɑɹ
harrison,hɛɹɪsən
jackie,d͡ʒæki
lance,læns
tingay,tɪŋej
brian,bɹajən
may,mej
conan,kownən
doyle,dojl
elizabeth,ɪlɪzəbəθ
taylor,tejlɹ̩
elton,ɛltən
amy,ejmi
johnson,d͡ʒɑnsən
oldfield,owldfild
eric,ɛɹɪk
hobsbawm,hɑbsbɔm
salman,sæmən
rushdie,ɹʌʃdi
fit,fɪt
finlay,fɪnli
keith,kiθ
campbell,kæmbəl
ferguson,fɹ̩ɡəsən
auld,ɔld
daniel,dænjəl
tammet,tæmɪt
ebenezer,ɛbɪnizɹ̩
howard,hawɹ̩d
clive,klajv
sinclair,sɪnklɛɹ
cleese,klis
roger,ɹɑd͡ʒɹ̩
andrew,ændɹu
garfield,ɡɑɹfild
terry,tɛɹi
gilliam,ɡɪliəm
d,di
lawrence,lɔɹəns
orlando,ɔɹlændow
bloom,blum
jim,d͡ʒɪm
clark,klɑɹk
surtees,sɹ̩tiz
ramsay,ɹæmzi
w,dʌbəlju
hamilton,hæməltən
barrowman,bæɹowmən
freddie,fɹɛdi
mercury,mɹ̩kjɹ̩i
agatha,æɡəθə
christie,kɹɪsti
uri,jɹ̩i
geller,ɡɛlɹ̩
hill,hɪl
cozy,kowzi
powell,pawəl
gascoigne,ɡæskojɪɡnj
wilshere,wɪlʃɛɹ
chapman,t͡ʃæpmən
cox,kɑks
frances,fɹænsɪs
fisher,fɪʃɹ̩
ryan,ɹajən
fraser,fɹejzɹ̩
burdon,bɹ̩dən
winehouse,wajnhaws
roald,ɹowld
dahl,dɑl
orwell,ɔɹwɛl
macdonald,məkdɑnəld
christopher,kɹɪstəfɹ̩
nolan,nowlən
jocky,d͡ʒɑki
pattinson,pætɪnsən
acker,ækɹ̩
bilk,bɪlk
colin,kowlɪn
crouch,kɹawt͡ʃ
dave,dejv
scholes,skowlz
craig,kɹejɡ
justin,d͡ʒʌstən
chadwick,t͡ʃædwɪk
katz,kæts
barbieri,bɑɹbɪɹi
steven,stivən
caulker,kɔlkɹ̩
shaun,ʃɔn
maloney,məlowni
alexander,æləɡzændɹ̩
fleming,flɛmɪŋ
bowie,bowi
bolt,bowlt
hawkins,hɔkɪnz
wood,wʊd
radcliffe,ɹædklɪf
roy,ɹoj
budd,bʌd
margaret,mɑɹɡɹ̩ɪt
wycherly,wajkɹ̩li
calum,kæləm
chambers,t͡ʃejmbɹ̩z
tinie,tajni
tempah,tɛmpə
connery,kɑnɹ̩i
mervyn,mɹ̩vɪn
peake,pik
alan,ælən
turing,tʊɹɪŋ
marsan,mɑɹsən
christian,kɹɪst͡ʃən
bale,bejl
mcafee,mækəfi
cates,kejts
christine,kɹɪstin
ohuruogu,owʊɹwɑɡʌ
cale,kejl
pratchett,pɹɑt͡ʃɪt
dunn,dʌn
hugh,hju
laurie,lɔɹi
archer,ɑɹt͡ʃɹ̩
martin,mɑɹtən
attwood,ætwʊd
jamie,d͡ʒejmi
carragher,kæɹəɡhɹ̩
alfred,ælfɹəd
hitchcock,hɪt͡ʃkɑk
thatcher,θæt͡ʃɹ̩
welby,wɛlbi
pete,pit
townshend,tawnʃhɛnd
gaël,ɡɑëɛl
bigirimana,bɪɡɪɹəmænə
ernest,ɹ̩nəst
payne,pejn
clarence,klɛɹəns
kingsbury,kɪŋzbɛɹi
edmund,ɛdmənd
dulac,dəlæk
mcmahon,məkmejən
denis,dɛnɪs
alvin,ælvɪn
rebecca,ɹəbɛkə
adlington,ədlɪŋtən
robinson,ɹɑbənsən
j,d͡ʒej
thomson,tɑmsən
anne,æn
anderson,ændɹ̩sən
toby,towbi
stephens,stivənz
claire,klɛɹ
forlani,fɔɹlɑni
daphne,dæfni
oram,ɔɹəm
hitchens,hɪt͡ʃənz
runciman,ɹʌnsəmən
joe,d͡ʒow
fry,fɹaj
craft,kɹæft
ian,iən
heilbron,hajlbɹən
ed,ɛd
sheeran,ʃɪɹən
tiff,tɪf
needell,nidəl
rees,ɹiz
williams,wɪljəmz
brook,bɹʊk
emma,ɛmə
watson,wɑtsən
willoughby,wɪləbi
graeme,ɡɹejm
sharp,ʃɑɹp
ken,kɛn
susan,suzən
cooper,kupɹ̩
philippa,fɪlɪpə
of,ʌv
lancaster,lænkæstɹ̩
frears,fɹiɹz
natalie,nætəli
dormer,dɔɹmɹ̩
winston,wɪnstən
churchill,t͡ʃɹ̩t͡ʃɪl
rosalind,ɹɑzəlɪnd
franklin,fɹæŋklɪn
robbie,ɹɑbi
sid,sɪd
vicious,vɪʃəs
dorothy,dɔɹəθi
hodgkin,hɑd͡ʒkɪn
bernie,bɹ̩ni
ecclestone,ɛklstown
parminder,pɑɹmajndɹ̩
nagra,nejɡɹə
aleister,əlajstɹ̩
crowley,kɹawli
korda,kɔɹdə
attenborough,ætʌnbɹ̩ow
nicolas,nɪkələs
roeg,ɹowɡ
tim,tɪm
curry,kʌɹi
tony,towni
richardson,ɹɪt͡ʃɹ̩dsən
maggie,mæɡi
smith,smɪθ
dirac,dɪɹæk
gerald,d͡ʒɛɹəld
du,du
maurier,mɔɹiɹ̩
steve,stiv
redgrave,ɹɛdɡɹejv
dorothea,dɔɹəθiə
lambert,læmbɹ̩t
hayder,hejdɹ̩
glen,ɡlɛn
matlock,mætlɑk
kelly,kɛli
reilly,ɹajli
petula,pət͡ʃulə
dawn,dɔn
french,fɹɛnt͡ʃ
bat,bæt
ye'or,jɛɹ̩
corbould,kɔɹbowd
wyatt,wajət
nick,nɪk
