ana,ana
de,de
la,la
reguera,ɾeɡeɾa
juventud,xubentud
guerrera,ɡereɾa
fray,fɾai
tormenta,toɾmenta
lucas,lukas
barrios,barjos
carlos,kaɾlos
fuentes,fwentes
pablo,pablo
barrera,bareɾa
omar,omaɾ
bravo,bɾabo
gerardo,xeɾaɾdo
torrado,torado
porfirio,poɾfiɾjo
díaz,djas
ángel,anxel
zárraga,saraɡa
stephen,stepen
austin,austin
pedro,pedɾo
lascuráin,laskuɾain
manuel,manwel
ávila,abila
camacho,kamat͡ʃo
vicente,bisente
guerrero,ɡereɾo
gustavo,ɡwstabo
ordaz,oɾdas
salinas,salinas
gortari,ɡoɾtaɾi
kuno,kuno
becker,bekkeɾ
tania,tanja
libertad,libeɾtad
francisco,fɾansisko
león,leon
barra,bara
lorenzo,loɾenso
barcelata,baɾselata
ramón,ɾamon
vargas,baɾɡas
carvajal,kaɾbaxal
frida,fɾida
kahlo,kalo
cara,kaɾa
buono,bwono
héctor,ektoɾ
rebaque,ɾebake
paul,paul
aguilar,aɡilaɾ
efraín,efɾain
juárez,xwaɾes
egidio,exidjo
arévalo,aɾebalo
ríos,ɾjos
pável,pabel
pardo,paɾdo
martín,maɾtin
luis,lwis
guzmán,ɡwsman
dr,dɾ
atl,at͡ɬ
lupe,lupe
vélez,beles
ricardo,ɾikaɾdo
osorio,osoɾjo
david,dabid
alfaro,alfaɾo
siqueiros,sikeiɾos
silvestre,silbestɾe
revueltas,ɾebweltas
josé,xose
clemente,klemente
orozco,oɾosko
abraham,abɾaam
nicolás,nikolas
nezahualcóyotl,nesawalkojot͡ɬ
laboriel,laboɾjel
bora,boɾa
milutinović,milutinobik
místico,mistiko
andrés,andɾes
lópez,lopes
obrador,obɾadoɾ
katy,kati
jurado,xuɾado
dominika,dominika
paleta,paleta
rosario,ɾosaɾjo
castellanos,kasteʝanos
elena,elena
poniatowska,ponjatowska
antonio,antonjo
carbajal,kaɾbaxal
guadalupe,ɡwadalupe
victoria,biktoɾja
diego,djeɡo
luna,luna
venustiano,benustjano
carranza,karansa
jared,xaɾed
borgetti,boɾxetti
moreno,moɾeno
jorge,xoɾxe
campos,kampos
plutarco,plutaɾko
elías,eljas
calles,kaʝes
portillo,poɾtiʝo
miguel,miɡel
bernal,beɾnal
jiménez,ximenes
adolfo,adolfo
bautista,bautista
armendáriz,aɾmendaɾis
gerónimo,xeɾonimo
anahí,anaʝ
alexander,aleksandeɾ
salkind,salkind
leonardo,leonaɾdo
márquez,maɾkes
donaldo,donaldo
colosio,kolosjo
margo,maɾɡo
glantz,ɡlant͡s
slim,slim
thalía,talja
rivera,ɾibeɾa
reygadas,ɾeiɡadas
gloria,ɡloɾja
trevi,tɾebi
bernardo,beɾnaɾdo
segura,seɡwɾa
israel,isɾael
castro,kastɾo
lila,lila
downs,downs
guillermo,ɡiʝeɾmo
franco,fɾanko
guardado,ɡwaɾdado
mario,maɾjo
molina,molina
lázaro,lasaɾo
cárdenas,kaɾdenas
enrique,enɾike
peña,peɲa
nieto,njeto
montalbán,montalban
victoriano,biktoɾjano
huerta,ueɾta
ernesto,eɾnesto
zedillo,sediʝo
maribel,maɾibel
domínguez,dominɡes
jonathan,xonatan
dos,dos
santos,santos
filippa,filippa
giordano,xioɾdano
esteban,esteban
gutiérrez,ɡwtjeres
mateos,mateos
guido,ɡido
pizarro,pisaro
carlton,kaɾlton
cuse,kuse
oscar,oskaɾ
pérez,peɾes
rojas,ɾoxas
yolanda,iolanda
ramírez,ɾamiɾes
leo,leo
santa,santa
cruz,kɾus
agustín,aɡwstin
iturbide,ituɾbide
y,i
green,ɡɾeen
óscar,oskaɾ
hoya,oja
valdez,baldes
saturnino,satuɾnino
herrán,eran
mariano,maɾjano
arista,aɾista
hernández,eɾnandes
herrera,ereɾa
fuente,fwente
verónica,beɾonika
orlando,oɾlando
salido,salido
lorena,loɾena
ochoa,ot͡ʃoa
abner,abneɾ
mares,maɾes
gael,ɡael
garcía,ɡaɾsia
alfonso,alfonso
cuarón,kwaɾon
benito,benito
aarón,aaɾon
galindo,ɡalindo
rafael,ɾafael
claudio,klaudjo
suárez,swaɾes
demián,demjan
bichir,bit͡ʃiɾ
kitten,kitten
natividad,natibidad
nery,neɾi
castillo,kastiʝo
miramón,miɾamon
ignacio,iɡnasio
comonfort,komonfoɾt
trotski,tɾotski
salvador,salbadoɾ
contreras,kontɾeɾas
anastasio,anastasjo
bustamante,bustamante
elpidia,elpidja
carrillo,kariʝo
oswaldo,oswaldo
sánchez,sant͡ʃes
gallardo,ɡaʝaɾdo
cantinflas,kantinflas
juan,xwan
rulfo,ɾulfo
pancho,pant͡ʃo
villa,biʝa
adam,adam
mckay,mkkai
javier,xabjeɾ
aguirre,aɡire
azuela,aswela
paulina,paulina
rubio,ɾubjo
max,maks
aub,aub
chávez,t͡ʃabes
ulises,ulises
dávila,dabila
buñuel,buɲwel
jessica,xessika
alba,alba
sara,saɾa
anna,anna
emiliano,emiljano
zapata,sapata
christian,t͡ʃɾistjan
giménez,ximenes
canto,kanto
oribe,oɾibe
peralta,peɾalta
meza,mesa
víctor,biktoɾ
vucetich,busetit͡ʃ
emilio,emiljo
fernández,feɾnandes
john,xon
doeg,doeɡ
maría,maɾja
félix,feliks
super,supeɾ
caló,kalo
sam,sam
dreben,dɾeben
ilan,ilan
stavans,stabans
vela,bela
cuauhtémoc,kwautemok
blanco,blanko
salcido,salsido
robles,ɾobles
juventino,xubentino
rosas,ɾosas
césar,sesaɾ
millán,miʝan
edward,edwaɾd
james,xames
olmos,olmos
octavio,oktabjo
paz,pas
edgar,edɡaɾ
lhasa,lasa
sela,sela
enriqueta,enɾiketa
basilio,basiljo
torres,tores
nilo,nilo
van,ban
peebles,peebles
ultiminio,ultiminjo
ramos,ɾamos
adriana,adɾjana
barraza,barasa
laura,lauɾa
harring,arinɡ
danna,danna
paola,paola
flores,floɾes
magón,maɡon
salma,salma
hayek,ajek
raúl,ɾaul
dmt,dmt
azul,asul
armando,aɾmando
archundia,aɾt͡ʃundja
urrea,urea
fernando,feɾnando
valenzuela,balenswela
dolores,doloɾes
del,del
río,ɾjo
toro,toɾo
sutter,sutteɾ
alejandro,alexandɾo
gonzález,ɡonsales
iñárritu,iɲaritu
patricia,patɾisia
espinosa,espinosa
felipe,felipe
calderón,kaldeɾon
ocampo,okampo
julieta,xuljeta
venegas,beneɡas
maite,maite
perroni,peroni
leonora,leonoɾa
carrington,karinɡton
consuelo,konswelo
velázquez,belaskes
belinda,belinda
julio,xuljo
alejandra,alexandɾa
zamora,samoɾa
kirchhoff,kiɾt͡ʃoff
icaza,ikasa
marzán,maɾsan
vasconcelos,baskonselos
hugo,uɡo
anthony,antoni
quinn,kinn
sergio,seɾxio
roberto,ɾobeɾto
orci,oɾsi
álvaro,albaɾo
obregón,obɾeɡon
sicodélico,sikodeliko
jr,xɾ
rubén,ɾuben
olivares,olibaɾes
cortina,koɾtina
brazo,bɾaso
plata,plata
lamarque,lamaɾke
bárbara,baɾbaɾa
mori,moɾi
barragán,baraɡan
alfredo,alfɾedo
angulo,anɡwlo
adrián,adɾjan
federico,fedeɾiko
mena,mena
marco,maɾko
fabián,fabjan
vázquez,baskes
heavy,eabi
metal,metal
negro,neɡɾo
casas,kasas
rodolfo,ɾodolfo
moisés,moises
atlantis,at͡ɬantis
giovanni,xiobanni
fey,fei
salomé,salome
pina,pina
giovani,xiobani
casillas,kasiʝas
cien,sien
caras,kaɾas
alanís,alanis
yovani,iobani
ona,ona
grauer,ɡɾaweɾ
humberto,umbeɾto
soto,soto
adela,adela
noriega,noɾjeɡa
perfecto,peɾfekto
cos,kos
rodríguez,ɾodɾiɡes
el,el
chapo,t͡ʃapo
sinaloa,sinaloa
winston,winston
abreu,abɾeu
horacio,oɾasio
gómez,ɡomes
bolaños,bolaɲos
lothario,lotaɾjo
robinson,ɾobinson
tejeda,texeda
ponce,ponse
nigris,niɡɾis
ortega,oɾteɡa
talavera,talabeɾa
saúl,saul
álvarez,albaɾes
monsiváis,monsibais
mester,mesteɾ
tomás,tomas
édgar,edɡaɾ
villarreal,biʝareal
reinoso,ɾeinoso
rey,ɾei
bucanero,bukaneɾo
jesús,xesus
corona,koɾona
eduardo,edwaɾdo
nájera,naxeɾa
bueno,bweno
beristáin,beɾistain
echevarría,et͡ʃebarja
nepomuceno,nepomuseno
guerra,ɡera
jaime,xaime
psicosis,psikosis
averno,abeɾno
jay,xai
jáuregui,xauɾeɡi
costilla,kostiʝa
lady,ladi
apache,apat͡ʃe
rosenda,ɾosenda
monteros,monteɾos
navarro,nabaro
aceves,asebes
sulaimán,sulaiman
esparragoza,esparaɡosa
silver,silbeɾ
king,kinɡ
sandi,sandi
perro,pero
aguayo,aɡwajo
espericueta,espeɾikweta
postigo,postiɡo
moctezuma,moktesuma
usigli,usiɡli
cecilia,sesilja
cantú,kantu
treviño,tɾebiɲo
morales,moɾales
delanda,delanda
boneta,boneta
rodrigo,ɾodɾiɡo
prieto,pɾjeto
abismo,abismo
paso,paso
allende,aʝende
