lionel,lionel
messi,mesːi
massimo,masːimo
troisi,troisi
ettore,etːore
scola,ʃola
ilan,ilan
araújo,araujo
dall'igna,dalːʼiɲa
antonio,antonio
pietrangeli,pietrand͡ʒeli
gabriele,ɡabriele
salvatores,salvatores
ferzan,fersan
özpetek,öspetek
salvatore,salvatore
quasimodo,kuasimodo
nino,nino
manfredi,manfredi
augusto,auɡusto
genina,d͡ʒenina
sandro,sandro
pertini,pertini
francesco,frant͡ʃeʃo
cossiga,kosːiɡa
alessandro,alesːandro
matri,matri
robert,robert
de,de
niro,niro
vittorio,vitːorio
gassman,ɡasːman
damiano,damiano
damiani,damiani
andrea,andrea
segre,seɡre
giuseppe,d͡ʒusepːe
battiston,batːiston
guido,ɡuido
calabresi,kalabresi
angelo,and͡ʒelo
di,di
livio,livio
giovanni,d͡ʒovanːi
gronchi,ɡronki
segni,seɲi
saragat,saraɡat
leone,leone
luciano,lut͡ʃano
pavarotti,pavarotːi
romano,romano
prodi,prodi
ugo,uɡo
tognazzi,toɲat͡si
gina,d͡ʒina
lollobrigida,lolːobrid͡ʒida
luigi,luid͡ʒi
zampa,sampa
del,del
piero,piero
eugenio,eud͡ʒenio
montale,montale
marcello,mart͡ʃelːo
mastroianni,mastroianːi
elio,elio
petri,petri
tornatore,tornatore
carlo,karlo
azeglio,aseʎo
ciampi,t͡ʃampi
verdone,verdone
federico,federiko
marchetti,marketːi
giorgio,d͡ʒord͡ʒo
napolitano,napolitano
franco,franko
zeffirelli,sefːirelːi
valerio,valerio
zurlini,surlini
steno,steno
rosi,rosi
mario,mario
bava,bava
pupi,pupi
avati,avati
liliana,liliana
cavani,kavani
walter,walter
bonatti,bonatːi
michelangelo,mikeland͡ʒelo
antonioni,antonioni
sergio,serd͡ʒo
corbucci,korbut͡ʃːi
emanuele,emanuele
crialese,krialese
monica,monika
bellucci,belːut͡ʃːi
oscar,oʃar
scalfaro,ʃalfaro
camila,kamila
giorgi,d͡ʒord͡ʒi
chiellini,kielːini
gennaro,d͡ʒenːaro
gattuso,ɡatːuso
noemi,noemi
diego,dieɡo
abatantuono,abatantuono
valentina,valentina
cervi,t͡ʃervi
lopopolo,lopopolo
dario,dario
fo,fo
ludovico,ludoviko
einaudi,einaudi
liggio,lid͡ʒːo
iván,iván
piris,piris
paola,paola
ruffo,rufːo
calabria,kalabria
emiliano,emiliano
sala,sala
chiesa,kiesa
clerici,klerit͡ʃi
alfredo,alfredo
dinale,dinale
valentino,valentino
gasparella,ɡasparelːa
candreva,kandreva
lina,lina
wertmüller,wertmülːer
gustav,ɡustav
thöni,töni
deborah,debora
compagnoni,kompaɲoni
alberto,alberto
tomba,tomba
farina,farina
cesare,t͡ʃesare
pavese,pavese
sophia,sopia
loren,loren
lippi,lipːi
enrico,enriko
nicola,nikola
lattuada,latːuada
ricardo,rikardo
martinelli,martinelːi
arrighetti,arːiɡetːi
francia,frant͡ʃa
primo,primo
nebiolo,nebiolo
fabrizio,fabrisio
donato,donato
mauro,mauro
goicoechea,ɡoikoekea
anita,anita
pallenberg,palːenberɡ
danilo,danilo
gallinari,ɡalːinari
soldati,soldati
fabio,fabio
cannavaro,kanːavaro
rocco,rokːo
siffredi,sifːredi
filiberto,filiberto
savoia,savoia
kaspar,kaspar
capparoni,kapːaroni
romeo,romeo
bertini,bertini
gianni,d͡ʒanːi
infantino,infantino
arri,arːi
filippo,filipːo
inzaghi,insaɡi
oddo,odːo
martin,martin
scorsese,ʃorsese
bocelli,bot͡ʃelːi
moggi,mod͡ʒːi
roberta,roberta
vinci,vint͡ʃi
anna,anːa
magnani,maɲani
ascari,aʃari
totò,totɔ
pirlo,pirlo
tarcisio,tart͡ʃisio
bertone,bertone
marco,marko
borriello,borːielːo
pantano,pantano
christian,kristian
abbiati,abːiati
josé,jose
altafini,altafini
yves,yves
montand,montand
virna,virna
lisi,lisi
trapattoni,trapatːoni
amoruso,amoruso
paolo,paolo
canio,kanio
vitti,vitːi
olmo,olmo
silvana,silvana
mangano,manɡano
giulietta,d͡ʒulietːa
masina,masina
calabi,kalabi
sara,sara
simeoni,simeoni
pietro,pietro
mennea,menːea
anastasi,anastasi
francesca,frant͡ʃeʃa
piccinini,pit͡ʃːinini
manolo,manolo
gabbiadini,ɡabːiadini
maria,maria
montessori,montesːori
claudio,klaudio
pizarro,pisarːo
balotelli,balotelːi
renato,renato
dulbecco,dulbekːo
fellini,felːini
matteo,matːeo
renzi,rensi
pier,pier
bersani,bersani
agnolo,aɲolo
bronzino,bronsino
eddy,edːy
ottoz,otːos
darmian,darmian
alida,alida
valli,valːi
claudia,klaudia
cardinale,kardinale
quagliarella,kuaʎarelːa
gabriel,ɡabriel
heinze,einse
gundi,ɡundi
busch,busk
raffaele,rafːaele
marciello,mart͡ʃelːo
cimatti,t͡ʃimatːi
terrazzino,terːat͡sino
benassi,benasːi
roberto,roberto
baggio,bad͡ʒːo
barzagli,barsaʎ
leo,leo
ermanno,ermanːo
olmi,olmi
margola,marɡola
lola,lola
pagnani,paɲani
paloschi,paloski
benetti,benetːi
birindelli,birindelːi
bettega,betːeɡa
edmond,edmond
fischer,fisker
giampiero,d͡ʒampiero
boniperti,boniperti
berruti,berːuti
bernardino,bernardino
luini,luini
fermi,fermi
gianfranco,d͡ʒanfranko
fini,fini
brio,brio
daniel,daniel
bovet,bovet
d'alema,dʼalema
beppe,bepːe
grillo,ɡrilːo
cabrini,kabrini
gianluigi,d͡ʒanluid͡ʒi
buffon,bufːon
riccardo,rikːardo
scamarcio,ʃamart͡ʃo
julio,julio
hernán,ernán
rossi,rosːi
miccoli,mikːoli
vaio,vaio
icardi,ikardi
simone,simone
collio,kolːio
cassetti,kasːetːi
silvio,silvio
berlusconi,berluʃoni
emma,emːa
bonino,bonino
sordi,sordi
ilona,ilona
staller,stalːer
giulio,d͡ʒulio
andreotti,andreotːi
parmigianino,parmid͡ʒanino
gae,ɡae
aulenti,aulenti
ildebrando,ildebrando
d'arcangelo,dʼarkand͡ʒelo
abdul,abdul
rahman,raman
sottsass,sotːsasː
zola,sola
luis,luis
durnwalder,durnwalder
giampaolo,d͡ʒampaolo
pozzo,pot͡so
stramaccioni,stramat͡ʃːoni
potito,potito
starace,starat͡ʃe
gabrielli,ɡabrielːi
manganelli,manɡanelːi
sinopoli,sinopoli
stefano,stefano
mauri,mauri
leonardo,leonardo
sciascia,st͡ʃast͡ʃa
cunego,kuneɡo
gian,d͡ʒan
volonté,volonte
enzo,enso
maresca,mareʃa
agnelli,aɲelːi
gaetano,ɡaetano
martino,martino
tommaso,tomːaso
rocchi,rokːi
binda,binda
monti,monti
umberto,umberto
bossi,bosːi
langella,land͡ʒelːa
rocca,rokːa
giuliano,d͡ʒuliano
razzoli,rat͡soli
mancini,mant͡ʃini
giovanna,d͡ʒovanːa
mezzogiorno,met͡sod͡ʒorno
eco,eko
scarpa,ʃarpa
frank,frank
capra,kapra
sica,sika
rossellini,rosːelːini
ivan,ivan
santaromita,santaromita
alfred,alfred
duncan,dunkan
poggio,pod͡ʒːo
bracciolini,brat͡ʃːolini
fiore,fiore
giannini,d͡ʒanːini
arisa,arisa
blasetti,blasetːi
germi,d͡ʒermi
bolognini,boloɲini
bernardo,bernardo
bertolucci,bertolut͡ʃːi
bellocchio,belːokːio
argento,ard͡ʒento
brignone,briɲone
vanessa,vanesːa
beecroft,beekroft
abbado,abːado
malipiero,malipiero
arturo,arturo
benedetti,benedetːi
michelangeli,mikeland͡ʒeli
montolivo,montolivo
rodolfo,rodolfo
graziani,ɡrasiani
manuele,manuele
blasi,blasi
mussolini,musːolini
bosic,bosik
dainelli,dainelːi
filippa,filipːa
giordano,d͡ʒordano
bergonzi,berɡonsi
comencini,koment͡ʃini
toscanini,toʃanini
corsetti,korsetːi
stephan,stepan
el,el
shaarawy,saarawy
nanni,nanːi
loy,loy
carmine,karmine
gallone,ɡalːone
santis,santis
ferreri,ferːeri
levi,levi
michael,mikael
bublé,buble
oriana,oriana
fallaci,falːat͡ʃi
monicelli,monit͡ʃelːi
gillo,d͡ʒilːo
pontecorvo,pontekorvo
dino,dino
risi,risi
lanfranco,lanfranko
elsa,elsa
respighi,respiɡi
bobby,bobːy
solo,solo
gianluca,d͡ʒanluka
pessotto,pesːotːo
maur,maur
piepoli,piepoli
luchino,lukino
visconti,viʃonti
margherita,marɡerita
hack,akk
alex,alex
schwazer,skwaser
duccio,dut͡ʃːo
buoninsegna,buoninseɲa
eros,eros
ramazzotti,ramat͡sotːi
pablo,pablo
piatti,piatːi
luca,luka
lombardi,lombardi
andreas,andreas
seppi,sepːi
alcide,alt͡ʃide
gasperi,ɡasperi
veltroni,veltroni
cataldo,kataldo
castellazzi,kastelːat͡si
cigna,t͡ʃiɲa
chiara,kiara
maurizio,maurisio
damilano,damilano
domenico,domeniko
pozzovivo,pot͡sovivo
gibilisco,d͡ʒibiliʃo
vittori,vitːori
virgilio,vird͡ʒilio
mortari,mortari
boninsegna,boninseɲa
nespoli,nespoli
italo,italo
calvino,kalvino
cristian,kristian
zaccardo,sakːardo
gino,d͡ʒino
bartali,bartali
pella,pelːa
cecilia,t͡ʃet͡ʃilia
bartoli,bartoli
dallapiccola,dalːapikːola
aldo,aldo
totti,totːi
sydne,sydne
rome,rome
moreno,moreno
argentin,ard͡ʒentin
jasmine,jazmine
trinca,trinka
erika,erika
blanc,blank
lorenzo,lorenso
monaco,monako
cristina,kristina
clara,klara
calamai,kalamai
giuseppina,d͡ʒusepːina
costello,kostelːo
accardi,akːardi
maldera,maldera
baldato,baldato
goi,ɡoi
remo,remo
giazotto,d͡ʒasotːo
bertolini,bertolini
furino,furino
chirico,kiriko
felix,felix
silla,silːa
amurri,amurːi
durand,durand
la,la
penne,penːe
adorni,adorni
gobbi,ɡobːi
piccioni,pit͡ʃːoni
benigni,beniɲi
ennio,enːio
morricone,morːikone
armani,armani
pollini,polːini
vattimo,vatːimo
beniamino,beniamino
gigli,d͡ʒiʎ
pittau,pitːau
carnera,karnera
javier,javier
mascherano,maskerano
pinzi,pinsi
benarrivo,benarːivo
battiato,batːiato
nono,nono
horvat,orvat
saba,saba
manassero,manasːero
moretti,moretːi
crespo,krespo
pasolini,pasolini
cassola,kasːola
bernini,bernini
ercole,erkole
baldini,baldini
kaká,kaká
acerbi,at͡ʃerbi
anselmo,anselmo
colzani,kolsani
nunzio,nunsio
malasomma,malasomːa
maffei,mafːei
goffredo,ɡofːredo
lombardo,lombardo
giorgia,d͡ʒord͡ʒa
meloni,meloni
saviano,saviano
lizzani,lit͡sani
