hebe,ɛbɛ
camargo,kɐmɐɾɡo
gustavo,ɡʃtɐvo
tsuboi,tsubowi
joão,ʒowɐ̃w̃
carlos,kɐɾloʃ
dos,doʃ
santos,sɐntoʃ
willian,williɐ̃
borges,boɾʒɛʃ
da,dɐ
silva,silvɐ
esmeralda,ɛʃmɛɾɐldɐ
garcia,ɡɐɾsiɐ
vítor,vitoɾ
meira,mɛjɾɐ
pelé,pɛle
zinho,zino
gisele,ʒizɛlɛ
bündchen,bündkɛ̃
kevin,kɛvĩ
kurányi,kuɾanji
havelange,ɐvɛlɐnʒɛ
bernardo,bɛɾnɐɾdo
fernandes,fɛɾnɐndɛʃ
zizinho,zizino
alessandra,ɐlɛʃsɐndɾɐ
ambrósio,ɐmbɾɔzio
adriana,ɐdʁiɐnɐ
lima,limɐ
nélson,nelsõ
luís,luj́ʃ
kerchner,kɛɾknɛɾ
alexandre,ɐlɛksɐndɾɛ
paes,pɐɛʃ
lopes,lopɛʃ
austregésilo,awʃtɾɛʒezilo
de,dɛ
athayde,ɐtɐjdɛ
paulo,pawlo
coelho,kowɛlo
josé,ʒoze
bezerra,bɛzɛʁɐ
maciel,mɐziɛl
junior,ʒunioɾ
ayrton,ɐjʁtõ
senna,sɛnnɐ
neymar,nɛjmɐɾ
nelson,nɛlsõ
prudêncio,pɾudensio
kléber,klebɛɾ
laube,lawbɛ
pinheiro,pinɛjɾo
ricardo,ʁikɐɾdo
zilda,zildɐ
arns,ɐɾnʃ
claudiano,klawdiɐno
juninho,ʒunino
pernambucano,pɛɾnɐmbukɐno
augusto,awɡʃto
pestana,pɛʃtɐnɐ
oscar,oʃkɐɾ
niemeyer,niɛmɛjɛɾ
emilie,ɛmiliɛ
snethlage,snɛtlɐʒɛ
helmut,ɛlmut
sick,sikk
valdir,vɐldiɾ
benedito,bɛnɛdito
bernard,bɛɾnɐɾd
anício,ɐnizio
caldeira,kɐldɛjɾɐ
duarte,duɐɾtɛ
leandro,lɛɐndɾo
lessa,lɛʃsɐ
azevedo,ɐzɛvɛdo
reinaldo,ʁɛjnɐldo
cruz,kɾuʒ
oliveira,olivɛjɾɐ
montera,montɛɾɐ
edmilson,ɛdmilsõ
deodoro,dɛodoɾo
fonseca,fonsɛkɐ
juan,ʒuɐ̃
silveira,silvɛjɾɐ
dante,dɐntɛ
bonfim,bonfĩ
costa,koʃtɐ
mano,mɐno
menezes,mɛnɛzɛʃ
emboaba,ɛmbowɐbɐ
júnior,ʒunioɾ
ilan,ilɐ̃
araújo,ɐɾaẃʒo
dall'igna,dɐllʼiɡnɐ
felipe,fɛlipɛ
massa,mɐʃsɐ
bruno,bɾuno
barreto,bɐʁɛto
karin,kɐɾĩ
rodrigues,ʁodʁiɡʷɛʃ
nílton,niltõ
júlio,ʒulio
césar,sezɐɾ
soares,sowɐɾɛʃ
espíndola,ɛʃpindolɐ
jorge,ʒoɾʒɛ
amado,ɐmɐdo
josué,ʒozue
castro,kɐʃtɾo
nathalia,nɐtɐliɐ
dill,dill
goulart,ɡowulɐɾt
luiz,lujʒ
inácio,inazio
lula,lulɐ
amorim,ɐmoɾĩ
campos,kɐmpoʃ
alves,ɐlvɛʃ
jairzinho,ʒajɾzino
jean,ʒɛɐ̃
carlo,kɐɾlo
witte,wittɛ
alcindo,ɐlsindo
sartori,sɐɾtoɾi
diego,diɛɡo
souza,sowuzɐ
gama,ɡɐmɐ
ferreira,fɛʁɛjɾɐ
filho,filo
rafael,ʁɐfɐɛl
pereira,pɛɾɛjɾɐ
achim,ɐkĩ
steiner,stɛjnɛɾ
anunciado,ɐnunsiɐdo
aílton,aj́ltõ
gonçalves,ɡonsɐlvɛʃ
kuerten,kuɛɾtɛ̃
gilberto,ʒilbɛɾto
marcio,mɐɾsio
richardes,ʁikɐɾdɛʃ
andrade,ɐndɾɐdɛ
sandro,sɐndɾo
cardoso,kɐɾdozo
isabeli,izɐbɛli
fontana,fontɐnɐ
juscelino,ʒuʃsɛlino
kubitschek,kubitskɛk
rodolfo,ʁodolfo
amoedo,ɐmowɛdo
benny,bɛnnj
feilhaber,fɛjlɐbɛɾ
