origin,ipa,original
lv,riːɡɑ̆,rīga
lv,ʝælɡɑvɑ̆,jelgava
lv,ventspils,ventspils
lv,ʝæːkɑppils,jēkabpils
lv,siɡuldɑ̆,sigulda
lv,limbɑʓĭ,limbaži
lv,i͜eʦɑvɑ̆,iecava
lv,zilupĕ,zilupe
lv,sædɑ̆,seda
lv,ɑkniːstĕ,aknīste
lv,stɑ͜iʦelĕ,staicele
lv,ʦɔdĕ,code
lv,ʃcesterĭ,šķesteri
lv,ɑlːɑʓĭ,allaži
lv,piltenĕ,piltene
lv,evikɑ̆,evika
lv,siliɲɑ̆,siliņa
lv,kriʃʝɑːnĭs,krišjānis
lv,kɑriɲʃ,kariņš
lv,mɑːrĭs,māris
lv,kuʧinskĭs,kučinskis
lv,lɑ͜imdɔtɑ̆,laimdota
lv,strɑ͜uʝumɑ̆,straujuma
lv,vɑldĭs,valdis
lv,du͜ombrɔ͜uskĭs,dombrovskis
lv,zɑnĕ,zane
lv,biʧe͜uskɑ̆,bičevska
lv,sɑndrĭs,sandris
lv,lɑːʦĭs,lācis
lv,ʝɑːnĭs,jānis
lv,pri͜edĕ,priede
lv,vɑldɑ̆,valda
lv,kʎɑvɑ̆,kļava
lv,lindɑ̆,linda
lv,dɑni͜elɑ̆,daniela
lv,mildɑ̆,milda
lv,puːpɔlĕ,pūpole
lv,dɑ͜inĭs,dainis
lv,tukɑːns,tukāns
lv,uldĭs,uldis
lv,rɔkpelnĭs,rokpelnis
lv,mɑrutɑ̆,maruta
lv,bruːverĕ,brūvere
lv,edvɑrʦ,edvards
lv,ʝɑːnĭs,jānis
lv,reʧiʦkĭs,rečickis
