key,value
rīga,リーガ
jelgava,エルガヴァ
ventspils,ヴェンツピルス
jēkabpils,エーカブピルス
sigulda,シグルダ
limbaži,リンバジ
iecava,イエツァヴァ
zilupe,ジルペ
seda,セダ
aknīste,アクニーステ
staicele,スタイツェレ
code,ツォデ
šķesteri,シュケステリ
allaži,アッラジ
piltene,ピルテネ
evika,エヴィカ
siliņa,シリニャ
krišjānis,クリシャーニス
kariņš,カリンシュ
māris,マーリス
kučinskis,クチンスキス
laimdota,ライムドタ
straujuma,ストラウユマ
valdis,ヴァルディス
dombrovskis,ドンブロフスキス
zane,ザネ
bičevska,ビチェフスカ
sandris,サンドリス
lācis,ラーツィス
jānis,ヤーニス
priede,プリエデ
valda,ヴァルダ
kļava,クリャヴァ
linda,リンダ
daniela,ダニエラ
milda,ミルダ
pūpole,プーポレ
dainis,ダイニス
tukāns,トゥカーンス
uldis,ウルディス
rokpelnis,ロクペルニス
maruta,マルタ
brūvere,ブルーヴェレ
edvards,エドヴァルツ
rečickis,レチツキス
