key,value
rīga,リガ
jelgava,イェルガヴァ
ventspils,ヴェンツピルス
jēkabpils,イェーカブピルス
sigulda,シグゥルダ
limbaži,リムバジ
iecava,イエツァヴァ
zilupe,ジルーペ
seda,セーダ
aknīste,アクニステ
staicele,スタイチェレ
code,コーデ
šķesteri,シュケステリ
allaži,アラージ
piltene,ピルテーネ
evika,エヴィカ
krišjānis,クリシュヤーニス
māris,マーリス
laimdota,ライムドータ
valdis,ヴァルディス
zane,ザネー
sandris,サンドリス
jānis,ヤーニス
valda,ヴァルダ
linda,リンダ
milda,ミルダ
dainis,ダイニス
uldis,ウルディス
maruta,マルータ
edvards,エドヴァルズ
siliņa,シリーニャ
kariņš,カリーニュス
kučinskis,クチンスキス
straujuma,ストラウユマ
dombrovskis,ドンブロフスキス
bičevska,ビチェフスカ
lācis,ラーツィス
priede,プリエデ
kļava,クラーヴァ
daniela,ダニエラ
pūpole,プーポレ
tukāns,トゥカーンス
rokpelnis,ロクペルニス
brūvere,ブルーヴェレ
rečickis,レチツキス
