key,value
rīga,里加
jelgava,叶尔加瓦
ventspils,文茨皮尔斯
jēkabpils,耶卡布皮尔斯
sigulda,西古尔达
limbaži,林巴日
iecava,伊察瓦
zilupe,济卢佩
seda,塞达
aknīste,阿克尼斯特
staicele,斯泰策勒
code,措德
šķesteri,什克斯特里
allaži,阿拉日
piltene,皮尔特内
evika,埃维卡
siliņa,西里尼亚
krišjānis,克里夏尼斯
kariņš,卡林什
māris,马里斯
kučinskis,库钦斯基斯
laimdota,莱姆多塔
straujuma,斯特劳尤马
valdis,瓦尔迪斯
dombrovskis,多姆布罗夫斯基斯
zane,扎内
bičevska,比切夫斯卡
sandris,桑德里斯
lācis,拉齐斯
jānis,亚尼斯
priede,普列德
valda,瓦尔达
kļava,克里亚瓦
linda,琳达
daniela,达涅拉
milda,米尔达
pūpole,普波勒
dainis,戴尼斯
tukāns,图坎斯
uldis,乌尔迪斯
rokpelnis,罗克佩尔尼斯
maruta,马鲁塔
brūvere,布鲁韦雷
edvards,爱德华兹
rečickis,雷奇茨基斯
