"","origin","ipa","original","ja/ja-v12-1536-full","zh/zh-v12-1664-full","ko/ko-v12-1280-full"
0,"lv","riːɡɑ̆","rīga","リガ","里加","리가"
1,"lv","ʝælɡɑvɑ̆","jelgava","イェルガヴァ","叶尔加瓦","옐가바"
2,"lv","ventspils","ventspils","ヴェンツピルス","文茨皮尔斯","벤츠필스"
3,"lv","ʝæːkɑppils","jēkabpils","イェーカブピルス","叶卡布皮尔斯","예캅필스"
4,"lv","siɡuldɑ̆","sigulda","スィグルダ","锡古尔达","시굴다"
5,"lv","limbɑʓĭ","limbaži","リンバジ","林巴日","림바지"
6,"lv","i͜eʦɑvɑ̆","iecava","イエツァヴァ","耶察瓦","이에차바"
7,"lv","zilupĕ","zilupe","ズィルペ","济卢佩","질루페"
8,"lv","sædɑ̆","seda","セダ","塞达","세다"
9,"lv","ɑkniːstĕ","aknīste","アクニステ","阿克尼斯泰","아크니스테"
10,"lv","stɑ͜iʦelĕ","staicele","スタイツェレ","斯泰采莱","스타이첼레"
11,"lv","ʦɔdĕ","code","チョーデ","索代","초데"
12,"lv","ʃcesterĭ","šķesteri","シュケステリ","施凯斯特里","슈체스테리"
13,"lv","ɑlːɑʓĭ","allaži","アッラジ","阿拉日","알라지"
14,"lv","piltenĕ","piltene","ピルテネ","皮尔泰内","필테네"
15,"lv","evikɑ̆","evika","エビカ","艾维卡","에비카"
16,"lv","siliɲɑ̆","siliņa","シリニャ","西利尼亚","실리냐"
17,"lv","kriʃʝɑːnĭs","krišjānis","クリシュヤーニス","克里沙尼","크리샤니스"
18,"lv","kɑriɲʃ","kariņš","カリンズ","卡林斯","카리냐"
19,"lv","mɑːrĭs","māris","マーリス","马里斯","마리스"
20,"lv","kuʧinskĭs","kučinskis","クチンスキス","库钦斯基斯","쿠친스키스"
21,"lv","lɑ͜imdɔtɑ̆","laimdota","ライムドータ","莱姆多塔","라임도타"
22,"lv","strɑ͜uʝumɑ̆","straujuma","ストラウユマ","斯特劳尤马","스트라우유마"
23,"lv","vɑldĭs","valdis","ヴァルディス","瓦尔季斯","발디스"
24,"lv","du͜ombrɔ͜uskĭs","dombrovskis","ドンブロウスキス","东布罗夫斯基斯","돔브로우스키스"
25,"lv","zɑnĕ","zane","ザネ","赞恩","자네"
26,"lv","biʧe͜uskɑ̆","bičevska","ビチェフスカ","比切夫斯卡","비체우스카"
27,"lv","sɑndrĭs","sandris","サンドリス","桑德里斯","산드리스"
28,"lv","lɑːʦĭs","lācis","ラーツィス","拉齐斯","라치스"
29,"lv","ʝɑːnĭs","jānis","ヤーニス","雅尼斯","야니스"
30,"lv","pri͜edĕ","priede","プリエデ","普里代","프리에데"
31,"lv","vɑldɑ̆","valda","ヴァルダ","瓦尔达","발다"
32,"lv","kʎɑvɑ̆","kļava","クラヴァ","克拉瓦","갈라바"
33,"lv","lindɑ̆","linda","リンダ","林达","린다"
34,"lv","dɑni͜elɑ̆","daniela","ダニエラ","丹妮拉","다니엘라"
35,"lv","mildɑ̆","milda","ミルダ","米尔达","밀다"
36,"lv","puːpɔlĕ","pūpole","プーポレ","普波莱","푸폴레"
37,"lv","dɑ͜inĭs","dainis","ダイニス","戴尼斯","다이니스"
38,"lv","tukɑːns","tukāns","トゥカーンス","图坎斯","투칸스"
39,"lv","uldĭs","uldis","ウルディス","乌尔迪斯","울디스"
40,"lv","rɔkpelnĭs","rokpelnis","ロクペルニス","罗克佩尔尼斯","로크펠니스"
41,"lv","mɑrutɑ̆","maruta","マルタ","马鲁塔","마루타"
42,"lv","bruːverĕ","brūvere","ブルーヴェレ","布鲁韦雷","브루베레"
43,"lv","edvɑrʦ","edvards","エドヴァルズ","埃德瓦茨","에드바르츠"
44,"lv","ʝɑːnĭs","jānis","ヤーニス","雅尼斯","야니스"
45,"lv","reʧiʦkĭs","rečickis","レチツキス","雷奇茨基斯","레치츠키스"
