"","origin","ipa","original","ja/ja-v12-1536-full","ja-w","ja-gt","ja-d","ja-c3","ja-c4","ja-gem","ja-gema","ja-l3","ja-co"
0,"lv","riːɡɑ̆","rīga","リガ","リガ","リガ","リガ","リガ","リーガ","リーガ","リーガ","リガ","リーガ"
1,"lv","ʝælɡɑvɑ̆","jelgava","イェルガヴァ","イェルガヴァ","エルガヴァ","イェルガヴァ","エルガヴァ","イェルガヴァ","ヤーゲリャーヴァ","ヤーゲルフヴァ","イェルガヴァ","エルガヴァ"
2,"lv","ventspils","ventspils","ヴェンツピルス","ヴェンツピルス","ヴェンツピルス","ヴェンツピルス","ヴェンツピルス","ヴェンツピルス","ヴェントピルス","ヴェントスピルス","ヴェンツピルス","ヴェンツピルス"
3,"lv","ʝæːkɑppils","jēkabpils","イェーカブピルス","イェーカブピルス","イェカブピルス","イェカブピルス","イェカブピルス","イェーカブピルス","イェーカブピルス","イェーカブピルス","イェーカブピルス","エーカブピルス"
4,"lv","siɡuldɑ̆","sigulda","スィグルダ","スィグルダ","スィグルダ","シグルダ","シグルダ","シグルダ","シーグルダ","シグルダ","シグゥルダ","シグルダ"
5,"lv","limbɑʓĭ","limbaži","リンバジ"," ","リンバジ","リンバジ","リンバージ","リンバジ","リンバージ","リンバージ","リムバジ","リンバジ"
6,"lv","i͜eʦɑvɑ̆","iecava","イエツァヴァ"," ","イエチャヴァ","イエカヴァ","イエツァヴァ","イェツァヴァ","イェーツァヴァ","イェーカヴァ","イエツァヴァ","イエツァヴァ"
7,"lv","zilupĕ","zilupe","ズィルペ"," ","ジルペ","Zilupe","ジルペ","ジルペ","ジルペ","ジルペ","ジルーペ","ジルペ"
8,"lv","sædɑ̆","seda","セダ"," ","瀬田","セダ","セダ","セダ","セーダ","セーダ","セーダ","セダ"
9,"lv","ɑkniːstĕ","aknīste","アクニステ","アクニステ","アクニステ","アクニステ","アクニーステ","アクニステ","アクニーステ","アクニステ","アクニステ","アクニーステ"
