"","origin","ipa","original","zh/zh-v12-1664-full","zh-w","zh-gt","zh-d","zh-c3","zh-c4","zh-gem","zh-gema","zh-l3","zh-co"
0,"lv","riːɡɑ̆","rīga","里加","里加","里加","里加","里加","里加","里加","里加","里加","里加"
1,"lv","ʝælɡɑvɑ̆","jelgava","叶尔加瓦","叶尔加瓦","叶尔加瓦","耶尔加瓦","叶尔加瓦","叶尔加瓦","耶尔加瓦","耶尔加瓦","耶尔加瓦","叶尔加瓦"
2,"lv","ventspils","ventspils","文茨皮尔斯","文茨皮尔斯","文茨皮尔斯","文茨皮尔斯","文茨皮尔斯","文茨皮尔斯","文茨皮尔斯","文茨皮尔斯","文茨皮尔斯","文茨皮尔斯"
3,"lv","ʝæːkɑppils","jēkabpils","叶卡布皮尔斯","叶卡布皮尔斯","耶卡皮尔斯","耶卡卜皮尔斯","耶卡普尔斯","耶卡布皮尔斯","耶卡布皮尔斯","耶卡布皮尔斯","耶卡布皮尔斯","耶卡布皮尔斯"
4,"lv","siɡuldɑ̆","sigulda","锡古尔达","锡古尔达","锡古尔达","西古尔达","锡古尔达","西古尔达","锡古尔达","锡古尔达","西古尔达","西古尔达"
5,"lv","limbɑʓĭ","limbaži","林巴日","林巴日","林巴济","林巴日","林巴日","林巴兹","林巴日","林巴日","林巴日","林巴日"
6,"lv","i͜eʦɑvɑ̆","iecava","耶察瓦"," ","伊卡瓦","伊卡瓦","伊艾查瓦","艾察瓦","伊埃卡瓦","伊埃卡瓦","伊埃卡瓦","伊察瓦"
7,"lv","zilupĕ","zilupe","济卢佩","济卢佩","齐卢佩","Zilupe","齐卢佩","齐卢佩","日卢佩","兹卢佩","齐卢佩","济卢佩"
8,"lv","sædɑ̆","seda","塞达","塞达","色达","塞达","谢达","塞达","塞达","塞达","塞达","塞达"
9,"lv","ɑkniːstĕ","aknīste","阿克尼斯泰","阿克尼斯泰","阿克尼斯特","阿克尼斯特","阿克尼斯特","阿克尼斯特","阿克尼斯泰","阿克尼斯特","阿克尼斯特","阿克尼斯特"
10,"lv","stɑ͜iʦelĕ","staicele","斯泰采莱","斯泰采莱","斯塔塞莱","Staicele","斯泰策莱","斯泰策勒","斯泰策莱","斯泰策莱","斯泰采莱","斯泰策勒"
11,"lv","ʦɔdĕ","code","索代"," ","代码","代码","码","科代","科德","科德","科德","措德"
